,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,valet,timestamp_of_data_read_request,year_station_last_reported
175,0,201,active,0,201,True,0,2020-08-03 13:51:10+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
176,2,202,active,0,202,True,0,2020-08-03 14:25:42+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
177,3,203,active,0,203,True,0,2020-08-03 14:28:01+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
178,7,204,active,0,204,True,0,2020-08-03 10:52:44+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
179,5,205,active,0,205,True,0,2020-08-03 08:45:19+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
180,10,206,active,0,206,True,0,2020-08-03 13:47:55+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
181,13,208,active,0,208,True,0,2020-08-03 14:34:36+00:00,True,,0,True,2,True,,2020-08-03 14:41:15,2020
182,8,209,active,0,209,True,0,2020-08-03 08:28:58+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
183,2,210,active,0,210,True,1,2020-08-03 12:40:37+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
184,17,211,active,0,211,True,0,2020-08-03 10:36:15+00:00,True,,0,True,2,False,,2020-08-03 14:41:15,2020
185,25,212,active,0,212,True,0,2020-08-03 13:18:35+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
186,2,213,active,0,213,True,0,2020-08-03 13:32:24+00:00,True,,0,True,14,True,,2020-08-03 14:41:15,2020
187,11,214,active,0,214,True,0,2020-08-03 12:43:33+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
188,12,215,active,0,215,True,0,2020-08-03 14:10:02+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
189,13,216,active,0,216,True,0,2020-08-03 08:28:46+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
190,13,217,active,0,217,True,0,2020-08-03 12:53:09+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
191,10,218,active,0,218,True,1,2020-08-03 14:28:13+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
192,8,219,active,0,219,True,0,2020-08-03 08:53:59+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
193,4,221,active,0,221,True,0,2020-08-03 14:35:26+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
194,4,222,active,0,222,True,0,2020-08-03 14:07:32+00:00,True,,0,True,10,True,,2020-08-03 14:41:15,2020
195,5,224,active,0,224,True,0,2020-08-03 12:34:25+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
196,0,225,active,0,225,True,0,2020-08-03 13:12:42+00:00,True,,0,True,19,False,,2020-08-03 14:41:15,2020
197,1,226,active,0,226,True,1,2020-08-03 13:43:39+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
198,2,227,active,0,227,True,1,2020-08-03 14:40:43+00:00,True,,0,True,16,False,,2020-08-03 14:41:15,2020
199,4,228,active,0,228,True,1,2020-08-03 13:57:13+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
200,6,232,active,0,232,True,0,2020-08-03 08:34:07+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
201,4,233,active,0,233,True,2,2020-08-03 14:08:53+00:00,True,,0,True,9,False,,2020-08-03 14:41:15,2020
202,3,234,active,0,234,True,0,2020-08-03 14:06:07+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
203,1,235,active,0,235,True,1,2020-08-03 13:09:50+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
204,0,236,active,0,236,True,0,2020-08-03 13:51:40+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
205,10,239,active,0,239,True,0,2020-08-03 14:12:31+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
206,11,255,active,0,255,True,0,2020-08-03 14:05:41+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
207,14,258,active,0,258,True,0,2020-08-03 10:06:51+00:00,True,,0,True,1,False,,2020-08-03 14:41:15,2020
208,0,259,active,0,259,True,0,2020-08-03 08:59:04+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
209,1,260,active,0,260,True,0,2020-08-03 13:03:36+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
210,9,271,active,0,271,True,0,2020-08-03 13:18:00+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
211,7,272,active,0,272,True,0,2020-08-03 12:33:21+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
212,34,273,active,0,273,True,0,2020-08-03 13:00:33+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
213,1,279,active,0,279,True,0,2020-08-03 13:39:35+00:00,True,,0,True,18,False,,2020-08-03 14:41:15,2020
