,is_installed,is_returning,num_docks_available,legacy_id,num_docks_disabled,last_reported,is_renting,station_status,num_bikes_available,num_bikes_disabled,eightd_has_available_keys,station_id,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
321,True,True,9,435,0,2020-08-20 22:52:35+00:00,True,active,6,0,False,435,0,,,2020-08-20 23:43:50,2020
322,True,True,14,436,0,2020-08-20 23:31:59+00:00,True,active,1,0,False,436,0,,,2020-08-20 23:43:50,2020
323,True,True,9,437,0,2020-08-20 23:38:52+00:00,True,active,10,0,False,437,0,,,2020-08-20 23:43:50,2020
324,True,True,3,440,0,2020-08-20 23:43:14+00:00,True,active,14,0,False,440,0,,,2020-08-20 23:43:50,2020
325,True,True,4,441,0,2020-08-20 23:21:55+00:00,True,active,15,0,False,441,0,,,2020-08-20 23:43:50,2020
326,True,True,1,442,0,2020-08-20 23:15:38+00:00,True,active,14,0,False,442,0,,,2020-08-20 23:43:50,2020
327,True,True,13,443,0,2020-08-20 23:40:02+00:00,True,active,5,1,False,443,0,,,2020-08-20 23:43:50,2020
328,True,True,9,445,0,2020-08-20 23:34:26+00:00,True,active,10,0,False,445,0,,,2020-08-20 23:43:50,2020
329,True,True,6,446,0,2020-08-20 23:40:12+00:00,True,active,6,0,False,446,0,,,2020-08-20 23:43:50,2020
330,True,True,13,447,0,2020-08-20 22:11:49+00:00,True,active,6,0,False,447,0,,,2020-08-20 23:43:50,2020
331,True,True,6,448,0,2020-08-20 22:55:03+00:00,True,active,5,0,False,448,0,,,2020-08-20 23:43:50,2020
332,False,True,0,449,0,1970-01-02 00:00:00+00:00,True,out_of_service,0,0,False,449,0,,,2020-08-20 23:43:50,1970
333,True,True,10,450,0,2020-08-20 23:31:25+00:00,True,active,5,0,False,450,0,,,2020-08-20 23:43:50,2020
334,True,True,8,451,0,2020-08-20 23:37:17+00:00,True,active,7,0,False,451,0,,,2020-08-20 23:43:50,2020
335,True,True,5,452,0,2020-08-20 23:36:33+00:00,True,active,10,0,False,452,0,,,2020-08-20 23:43:50,2020
336,True,True,5,453,0,2020-08-20 23:06:49+00:00,True,active,10,0,False,453,0,,,2020-08-20 23:43:50,2020
337,True,True,5,454,0,2020-08-20 23:43:36+00:00,True,active,9,1,False,454,0,,,2020-08-20 23:43:50,2020
338,True,True,5,455,0,2020-08-20 22:54:21+00:00,True,active,7,0,False,455,0,,,2020-08-20 23:43:50,2020
339,True,True,17,456,0,2020-08-20 23:34:18+00:00,True,active,2,0,False,456,0,,,2020-08-20 23:43:50,2020
340,True,True,0,457,0,2020-08-20 22:41:22+00:00,True,active,11,0,False,457,0,,,2020-08-20 23:43:50,2020
341,True,True,3,458,0,2020-08-20 23:15:23+00:00,True,active,5,3,False,458,0,,,2020-08-20 23:43:50,2020
342,True,True,20,459,0,2020-08-20 23:39:37+00:00,True,active,3,0,False,459,0,,,2020-08-20 23:43:50,2020
