,eightd_has_available_keys,is_renting,is_returning,num_ebikes_available,station_status,num_bikes_disabled,station_id,num_docks_disabled,is_installed,last_reported,num_docks_available,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
163,True,True,True,0,active,0,189,0,True,2020-08-13 23:44:28+00:00,22,189,1,,,2020-08-13 23:51:30,2020
164,True,True,True,0,active,1,190,0,True,2020-08-13 23:43:22+00:00,34,190,2,,,2020-08-13 23:51:30,2020
165,False,True,True,0,active,0,191,0,True,2020-08-13 21:08:37+00:00,10,191,5,,,2020-08-13 23:51:30,2020
166,False,True,True,0,active,0,192,0,True,2020-08-13 23:23:59+00:00,18,192,1,,,2020-08-13 23:51:30,2020
167,True,True,True,0,active,1,193,0,True,2020-08-13 23:33:01+00:00,11,193,3,,,2020-08-13 23:51:30,2020
168,False,True,True,0,active,0,194,0,True,2020-08-13 23:26:51+00:00,14,194,5,,,2020-08-13 23:51:30,2020
169,False,True,True,0,active,1,195,0,True,2020-08-13 23:39:31+00:00,14,195,8,,,2020-08-13 23:51:30,2020
170,True,True,True,0,active,1,196,0,True,2020-08-13 22:31:42+00:00,9,196,0,,,2020-08-13 23:51:30,2020
171,False,True,True,0,active,1,197,0,True,2020-08-13 22:15:37+00:00,12,197,2,,,2020-08-13 23:51:30,2020
172,False,True,True,0,active,0,199,0,True,2020-08-13 23:29:12+00:00,10,199,5,,,2020-08-13 23:51:30,2020
173,False,True,True,0,active,0,200,0,True,2020-08-13 23:13:22+00:00,10,200,9,,,2020-08-13 23:51:30,2020
174,False,True,True,0,active,0,201,0,True,2020-08-13 23:19:22+00:00,6,201,9,,,2020-08-13 23:51:30,2020
175,False,True,True,0,active,0,202,0,True,2020-08-13 20:38:42+00:00,14,202,1,,,2020-08-13 23:51:30,2020
176,False,True,True,0,active,0,203,0,True,2020-08-13 14:09:27+00:00,15,203,0,,,2020-08-13 23:51:30,2020
177,False,True,True,0,active,1,204,0,True,2020-08-13 23:23:03+00:00,13,204,1,,,2020-08-13 23:51:30,2020
178,False,True,True,0,active,0,205,0,True,2020-08-13 21:21:34+00:00,13,205,2,,,2020-08-13 23:51:30,2020
179,True,True,True,0,active,1,206,0,True,2020-08-13 23:19:04+00:00,22,206,0,,,2020-08-13 23:51:30,2020
