,num_bikes_available,last_reported,is_renting,num_docks_available,legacy_id,num_docks_disabled,station_status,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,is_returning,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
186,2,2020-07-31 19:26:57+00:00,True,13,214,0,active,False,214,0,0,True,True,,,2020-07-31 21:19:50,2020
187,10,2020-07-31 20:55:39+00:00,True,5,215,0,active,False,215,0,0,True,True,,,2020-07-31 21:19:50,2020
188,16,2020-07-31 08:26:03+00:00,True,3,216,0,active,False,216,0,0,True,True,,,2020-07-31 21:19:50,2020
189,5,2020-07-31 21:16:35+00:00,True,14,217,0,active,False,217,0,0,True,True,,,2020-07-31 21:19:50,2020
190,11,2020-07-31 21:19:08+00:00,True,4,218,0,active,False,218,0,0,True,True,,,2020-07-31 21:19:50,2020
191,10,2020-07-31 15:00:03+00:00,True,4,219,0,active,False,219,1,0,True,True,,,2020-07-31 21:19:50,2020
192,2,2020-07-31 20:55:08+00:00,True,17,221,0,active,False,221,0,0,True,True,,,2020-07-31 21:19:50,2020
193,1,2020-07-31 21:16:43+00:00,True,13,222,0,active,True,222,0,0,True,True,,,2020-07-31 21:19:50,2020
194,11,2020-07-31 20:47:39+00:00,True,6,224,0,active,False,224,0,0,True,True,,,2020-07-31 21:19:50,2020
195,8,2020-07-31 21:01:58+00:00,True,11,225,0,active,False,225,0,0,True,True,,,2020-07-31 21:19:50,2020
196,3,2020-07-31 21:18:37+00:00,True,11,226,0,active,False,226,1,0,True,True,,,2020-07-31 21:19:50,2020
197,1,2020-07-31 21:08:31+00:00,True,18,227,0,active,False,227,0,0,True,True,,,2020-07-31 21:19:50,2020
198,12,2020-07-31 20:08:03+00:00,True,7,228,0,active,False,228,0,0,True,True,,,2020-07-31 21:19:50,2020
199,4,2020-07-31 08:16:55+00:00,True,7,232,0,active,False,232,0,0,True,True,,,2020-07-31 21:19:50,2020
200,7,2020-07-31 21:15:50+00:00,True,7,233,0,active,False,233,1,0,True,True,,,2020-07-31 21:19:50,2020
201,5,2020-07-31 21:15:05+00:00,True,10,234,0,active,False,234,0,0,True,True,,,2020-07-31 21:19:50,2020
202,10,2020-07-31 21:17:28+00:00,True,5,235,0,active,False,235,0,0,True,True,,,2020-07-31 21:19:50,2020
203,7,2020-07-31 20:59:29+00:00,True,8,236,0,active,False,236,0,0,True,True,,,2020-07-31 21:19:50,2020
204,5,2020-07-31 20:23:12+00:00,True,9,239,0,active,False,239,1,0,True,True,,,2020-07-31 21:19:50,2020
205,13,2020-07-31 20:48:12+00:00,True,2,255,0,active,False,255,0,0,True,True,,,2020-07-31 21:19:50,2020
206,11,2020-07-31 19:26:15+00:00,True,4,258,0,active,False,258,0,0,True,True,,,2020-07-31 21:19:50,2020
207,0,2020-07-31 08:31:40+00:00,True,15,259,0,active,False,259,0,0,True,True,,,2020-07-31 21:19:50,2020
208,6,2020-07-31 20:56:34+00:00,True,9,260,0,active,False,260,0,0,True,True,,,2020-07-31 21:19:50,2020
209,1,2020-07-31 17:16:33+00:00,True,14,271,0,active,False,271,0,0,True,True,,,2020-07-31 21:19:50,2020
210,8,2020-07-31 17:53:17+00:00,True,9,272,0,active,False,272,2,0,True,True,,,2020-07-31 21:19:50,2020
211,25,2020-07-31 21:17:20+00:00,True,15,273,0,active,False,273,0,0,True,True,,,2020-07-31 21:19:50,2020
212,3,2020-07-31 20:45:43+00:00,True,16,279,0,active,False,279,0,0,True,True,,,2020-07-31 21:19:50,2020
213,3,2020-07-31 21:16:58+00:00,True,15,280,0,active,False,280,1,0,True,True,,,2020-07-31 21:19:50,2020
214,6,2020-07-31 21:01:30+00:00,True,6,282,0,active,False,282,3,0,True,True,,,2020-07-31 21:19:50,2020
215,15,2020-07-31 21:17:51+00:00,True,8,296,0,active,False,296,0,0,True,True,,,2020-07-31 21:19:50,2020
216,13,2020-07-31 21:17:28+00:00,True,6,318,0,active,False,318,0,0,True,True,,,2020-07-31 21:19:50,2020
217,8,2020-07-31 21:18:38+00:00,True,17,319,0,active,False,319,0,0,True,True,,,2020-07-31 21:19:50,2020
