,legacy_id,last_reported,is_returning,num_ebikes_available,is_installed,num_docks_disabled,station_id,num_bikes_available,station_status,num_bikes_disabled,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
182,210,2020-08-20 09:06:47+00:00,True,0,True,0,210,2,active,1,True,False,12,,,2020-08-20 18:37:10,2020
183,211,2020-08-20 18:15:14+00:00,True,0,True,0,211,8,active,0,True,False,11,,,2020-08-20 18:37:10,2020
184,212,2020-08-20 18:33:27+00:00,True,0,True,0,212,6,active,0,True,False,27,,,2020-08-20 18:37:10,2020
185,213,2020-08-20 18:18:00+00:00,True,0,True,0,213,2,active,0,True,True,14,,,2020-08-20 18:37:10,2020
186,214,2020-08-20 18:19:05+00:00,True,0,True,0,214,7,active,0,True,False,8,,,2020-08-20 18:37:10,2020
187,215,2020-08-20 18:37:04+00:00,True,0,True,0,215,7,active,3,True,False,5,,,2020-08-20 18:37:10,2020
188,216,2020-08-20 16:50:46+00:00,True,0,True,0,216,11,active,0,True,False,8,,,2020-08-20 18:37:10,2020
189,217,2020-08-20 15:39:55+00:00,True,0,True,0,217,4,active,0,True,False,15,,,2020-08-20 18:37:10,2020
190,218,2020-08-20 18:34:54+00:00,True,0,True,0,218,3,active,0,True,False,12,,,2020-08-20 18:37:10,2020
191,219,2020-08-20 09:16:47+00:00,True,0,True,0,219,2,active,0,True,False,13,,,2020-08-20 18:37:10,2020
192,221,2020-08-20 17:45:59+00:00,True,0,True,0,221,7,active,2,True,False,10,,,2020-08-20 18:37:10,2020
193,222,2020-08-20 16:43:34+00:00,True,0,True,0,222,1,active,1,True,True,12,,,2020-08-20 18:37:10,2020
194,224,2020-08-20 18:26:26+00:00,True,0,True,0,224,13,active,2,True,False,2,,,2020-08-20 18:37:10,2020
195,225,2020-08-20 18:31:23+00:00,True,0,True,0,225,9,active,2,True,False,8,,,2020-08-20 18:37:10,2020
196,226,2020-08-20 18:29:12+00:00,True,0,True,0,226,4,active,0,True,False,11,,,2020-08-20 18:37:10,2020
197,227,2020-08-20 18:22:31+00:00,True,0,True,0,227,8,active,0,True,False,11,,,2020-08-20 18:37:10,2020
198,228,2020-08-20 18:31:56+00:00,True,0,True,0,228,9,active,0,True,False,10,,,2020-08-20 18:37:10,2020
199,232,2020-08-20 18:27:13+00:00,True,0,True,0,232,2,active,0,True,False,9,,,2020-08-20 18:37:10,2020
200,233,2020-08-20 18:32:51+00:00,True,0,True,0,233,10,active,0,True,False,5,,,2020-08-20 18:37:10,2020
201,234,2020-08-20 17:55:44+00:00,True,0,True,0,234,5,active,0,True,False,10,,,2020-08-20 18:37:10,2020
202,235,2020-08-20 15:14:09+00:00,True,0,True,0,235,7,active,0,True,False,8,,,2020-08-20 18:37:10,2020
203,236,2020-08-20 16:29:08+00:00,True,0,True,0,236,15,active,0,True,False,0,,,2020-08-20 18:37:10,2020
204,239,2020-08-20 17:45:02+00:00,True,0,True,0,239,4,active,1,True,False,10,,,2020-08-20 18:37:10,2020
205,255,2020-08-19 14:52:54+00:00,True,0,True,0,255,6,active,0,True,False,9,,,2020-08-20 18:37:10,2020
206,258,2020-08-20 17:37:25+00:00,True,0,True,0,258,11,active,0,True,False,4,,,2020-08-20 18:37:10,2020
207,259,2020-08-20 08:49:49+00:00,True,0,True,0,259,9,active,0,True,False,6,,,2020-08-20 18:37:10,2020
208,260,2020-08-20 15:48:04+00:00,True,0,True,0,260,7,active,0,True,False,8,,,2020-08-20 18:37:10,2020
209,271,2020-08-20 17:32:17+00:00,True,0,True,0,271,9,active,0,True,False,6,,,2020-08-20 18:37:10,2020
210,272,2020-08-20 17:34:45+00:00,True,0,True,0,272,11,active,0,True,False,8,,,2020-08-20 18:37:10,2020
211,273,2020-08-20 18:31:36+00:00,True,0,True,0,273,30,active,0,True,False,10,,,2020-08-20 18:37:10,2020
212,279,2020-08-20 17:57:36+00:00,True,0,True,0,279,16,active,0,True,False,3,,,2020-08-20 18:37:10,2020
213,280,2020-08-20 17:36:25+00:00,True,0,True,0,280,3,active,0,True,False,16,,,2020-08-20 18:37:10,2020
214,282,2020-08-20 18:27:25+00:00,True,0,True,0,282,6,active,1,True,False,8,,,2020-08-20 18:37:10,2020
215,296,2020-08-20 18:35:14+00:00,True,0,True,0,296,17,active,1,True,False,5,,,2020-08-20 18:37:10,2020
216,318,2020-08-20 18:33:48+00:00,True,0,True,0,318,18,active,0,True,False,1,,,2020-08-20 18:37:10,2020
217,319,2020-08-20 16:44:29+00:00,True,0,True,0,319,5,active,0,True,False,20,,,2020-08-20 18:37:10,2020
218,327,2020-08-20 17:44:51+00:00,True,0,True,0,327,12,active,0,True,False,3,,,2020-08-20 18:37:10,2020
219,328,2020-08-20 18:12:39+00:00,True,0,True,0,328,3,active,0,True,False,12,,,2020-08-20 18:37:10,2020
220,329,2020-08-20 18:15:15+00:00,True,0,True,0,329,4,active,1,True,False,10,,,2020-08-20 18:37:10,2020
221,330,2020-08-20 18:28:08+00:00,True,0,True,0,330,6,active,0,True,False,9,,,2020-08-20 18:37:10,2020
222,331,2020-08-20 18:32:19+00:00,True,0,True,0,331,6,active,0,True,False,9,,,2020-08-20 18:37:10,2020
223,332,2020-08-20 18:23:40+00:00,True,0,True,0,332,9,active,0,True,False,6,,,2020-08-20 18:37:10,2020
224,333,2020-08-20 17:03:57+00:00,True,0,True,0,333,18,active,0,True,False,7,,,2020-08-20 18:37:10,2020
225,334,2020-08-20 17:43:15+00:00,True,0,True,0,334,18,active,0,True,False,1,,,2020-08-20 18:37:10,2020
226,335,2020-08-20 18:05:25+00:00,True,0,True,0,335,7,active,0,True,False,12,,,2020-08-20 18:37:10,2020
227,336,2020-08-20 18:06:41+00:00,True,0,True,0,336,4,active,0,True,False,11,,,2020-08-20 18:37:10,2020
228,337,2020-08-20 11:47:32+00:00,True,0,True,0,337,13,active,0,True,False,2,,,2020-08-20 18:37:10,2020
229,338,2020-08-20 18:24:09+00:00,True,0,True,0,338,1,active,0,True,False,14,,,2020-08-20 18:37:10,2020
230,339,2020-08-20 15:22:04+00:00,True,0,True,0,339,15,active,0,True,False,0,,,2020-08-20 18:37:10,2020
231,340,2020-08-20 08:51:25+00:00,True,0,True,0,340,14,active,0,True,False,5,,,2020-08-20 18:37:10,2020
232,341,2020-08-20 10:20:54+00:00,True,0,True,0,341,12,active,0,True,True,3,,,2020-08-20 18:37:10,2020
233,342,2020-08-20 18:34:51+00:00,True,0,True,0,342,8,active,2,True,False,5,,,2020-08-20 18:37:10,2020
234,343,2020-08-20 05:26:24+00:00,True,0,True,0,343,3,active,0,True,False,12,,,2020-08-20 18:37:10,2020
235,344,2020-08-20 18:28:26+00:00,True,0,True,0,344,5,active,0,True,False,14,,,2020-08-20 18:37:10,2020
236,345,2020-08-20 18:29:32+00:00,True,0,True,0,345,7,active,0,True,False,12,,,2020-08-20 18:37:10,2020
237,346,2020-08-20 17:21:59+00:00,True,0,True,0,346,1,active,0,True,False,14,,,2020-08-20 18:37:10,2020
238,347,2020-08-20 11:58:38+00:00,True,0,True,0,347,10,active,0,True,False,5,,,2020-08-20 18:37:10,2020
239,348,2020-08-20 17:04:21+00:00,True,0,True,0,348,6,active,0,True,False,9,,,2020-08-20 18:37:10,2020
240,349,2020-08-20 14:18:20+00:00,True,0,True,0,349,6,active,0,True,False,11,,,2020-08-20 18:37:10,2020
241,350,2020-08-20 15:36:09+00:00,True,0,True,0,350,12,active,0,True,False,5,,,2020-08-20 18:37:10,2020
242,351,2020-08-20 16:12:15+00:00,True,0,True,0,351,11,active,0,True,False,4,,,2020-08-20 18:37:10,2020
243,352,2020-08-20 18:13:36+00:00,True,0,True,0,352,4,active,0,True,False,11,,,2020-08-20 18:37:10,2020
244,353,2020-08-20 16:48:31+00:00,True,0,True,0,353,8,active,0,True,True,7,,,2020-08-20 18:37:10,2020
245,354,2020-08-20 18:36:21+00:00,True,0,True,0,354,0,active,0,True,False,15,,,2020-08-20 18:37:10,2020
