,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,num_docks_available,is_installed,num_bikes_disabled,last_reported,num_ebikes_available,is_renting,is_returning,station_id,station_status,timestamp_of_data_read_request,year_station_last_reported
109,11,0,120,False,4,True,0,2020-08-12 21:33:24+00:00,0,True,True,120,active,2020-08-12 21:38:20,2020
110,4,0,121,False,13,True,0,2020-08-12 21:35:12+00:00,0,True,True,121,active,2020-08-12 21:38:20,2020
111,6,0,122,False,9,True,0,2020-08-12 21:34:07+00:00,0,True,True,122,active,2020-08-12 21:38:20,2020
112,6,0,124,False,9,True,0,2020-08-12 21:35:40+00:00,0,True,True,124,active,2020-08-12 21:38:20,2020
113,4,0,125,False,11,True,0,2020-08-12 21:22:28+00:00,0,True,True,125,active,2020-08-12 21:38:20,2020
114,8,0,126,False,7,True,0,2020-08-12 19:50:45+00:00,0,True,True,126,active,2020-08-12 21:38:20,2020
115,5,0,128,False,14,True,0,2020-08-12 20:52:59+00:00,0,True,True,128,active,2020-08-12 21:38:20,2020
116,12,0,129,False,7,True,0,2020-08-12 21:16:55+00:00,0,True,True,129,active,2020-08-12 21:38:20,2020
117,14,0,130,False,1,True,0,2020-08-12 21:13:11+00:00,0,True,True,130,active,2020-08-12 21:38:20,2020
118,11,0,131,False,7,True,0,2020-08-12 21:34:22+00:00,0,True,True,131,active,2020-08-12 21:38:20,2020
119,8,0,133,False,14,True,1,2020-08-12 21:21:29+00:00,0,True,True,133,active,2020-08-12 21:38:20,2020
120,4,0,135,False,13,True,0,2020-08-12 20:54:15+00:00,0,True,True,135,active,2020-08-12 21:38:20,2020
121,1,0,136,False,17,True,1,2020-08-12 21:36:12+00:00,0,True,True,136,active,2020-08-12 21:38:20,2020
122,6,0,137,False,9,True,0,2020-08-12 21:26:02+00:00,0,True,True,137,active,2020-08-12 21:38:20,2020
123,11,0,138,False,3,True,1,2020-08-12 21:28:48+00:00,0,True,True,138,active,2020-08-12 21:38:20,2020
124,5,0,139,False,14,True,0,2020-08-12 21:25:16+00:00,0,True,True,139,active,2020-08-12 21:38:20,2020
125,12,0,140,False,5,True,0,2020-08-12 21:07:51+00:00,0,True,True,140,active,2020-08-12 21:38:20,2020
126,11,0,141,False,4,True,0,2020-08-12 21:13:23+00:00,0,True,True,141,active,2020-08-12 21:38:20,2020
127,15,0,142,False,7,True,1,2020-08-12 21:19:44+00:00,0,True,True,142,active,2020-08-12 21:38:20,2020
128,17,0,143,False,6,True,0,2020-08-12 21:24:36+00:00,0,True,True,143,active,2020-08-12 21:38:20,2020
129,12,0,144,False,6,True,1,2020-08-12 21:25:59+00:00,0,True,True,144,active,2020-08-12 21:38:20,2020
130,15,0,145,False,4,True,0,2020-08-12 21:06:29+00:00,0,True,True,145,active,2020-08-12 21:38:20,2020
131,5,0,146,False,14,True,0,2020-08-12 21:28:46+00:00,0,True,True,146,active,2020-08-12 21:38:20,2020
132,4,0,149,True,14,True,0,2020-08-12 21:34:55+00:00,0,True,True,149,active,2020-08-12 21:38:20,2020
133,14,0,150,False,5,True,0,2020-08-12 21:14:36+00:00,0,True,True,150,active,2020-08-12 21:38:20,2020
134,17,0,151,False,2,True,0,2020-08-12 21:18:22+00:00,0,True,True,151,active,2020-08-12 21:38:20,2020
135,2,0,152,True,13,True,0,2020-08-12 21:18:01+00:00,0,True,True,152,active,2020-08-12 21:38:20,2020
136,4,0,156,False,11,True,0,2020-08-12 21:34:27+00:00,0,True,True,156,active,2020-08-12 21:38:20,2020
137,11,0,157,False,2,True,2,2020-08-12 21:35:56+00:00,0,True,True,157,active,2020-08-12 21:38:20,2020
138,6,0,159,False,9,True,0,2020-08-12 21:24:12+00:00,0,True,True,159,active,2020-08-12 21:38:20,2020
139,3,0,160,True,11,True,0,2020-08-12 21:28:07+00:00,0,True,True,160,active,2020-08-12 21:38:20,2020
140,7,0,161,True,15,True,1,2020-08-12 21:36:34+00:00,0,True,True,161,active,2020-08-12 21:38:20,2020
141,5,0,162,False,10,True,0,2020-08-12 21:33:01+00:00,0,True,True,162,active,2020-08-12 21:38:20,2020
142,14,0,163,True,5,True,0,2020-08-12 21:38:04+00:00,0,True,True,163,active,2020-08-12 21:38:20,2020
143,1,0,167,False,14,True,0,2020-08-12 20:07:44+00:00,0,True,True,167,active,2020-08-12 21:38:20,2020
144,11,0,169,False,8,True,0,2020-08-12 21:04:44+00:00,0,True,True,169,active,2020-08-12 21:38:20,2020
145,2,0,170,True,11,True,1,2020-08-12 20:08:48+00:00,0,True,True,170,active,2020-08-12 21:38:20,2020
146,7,0,171,True,16,True,0,2020-08-12 15:34:14+00:00,0,True,True,171,active,2020-08-12 21:38:20,2020
147,8,0,173,True,6,True,0,2020-08-12 18:31:55+00:00,0,True,True,173,active,2020-08-12 21:38:20,2020
148,0,0,174,False,14,True,1,2020-08-12 21:34:54+00:00,0,True,True,174,active,2020-08-12 21:38:20,2020
149,1,0,175,True,16,True,0,2020-08-12 21:23:12+00:00,0,True,True,175,active,2020-08-12 21:38:20,2020
150,9,0,176,False,6,True,0,2020-08-12 21:36:57+00:00,0,True,True,176,active,2020-08-12 21:38:20,2020
151,6,0,177,False,12,True,1,2020-08-12 21:36:35+00:00,0,True,True,177,active,2020-08-12 21:38:20,2020
152,2,0,178,False,17,True,0,2020-08-12 21:37:44+00:00,0,True,True,178,active,2020-08-12 21:38:20,2020
153,16,0,179,False,9,True,0,2020-08-12 21:31:26+00:00,0,True,True,179,active,2020-08-12 21:38:20,2020
154,14,0,180,False,4,True,1,2020-08-12 21:27:10+00:00,0,True,True,180,active,2020-08-12 21:38:20,2020
155,7,0,181,False,12,True,0,2020-08-12 21:13:11+00:00,0,True,True,181,active,2020-08-12 21:38:20,2020
156,1,0,182,True,18,True,0,2020-08-12 20:49:37+00:00,0,True,True,182,active,2020-08-12 21:38:20,2020
157,3,0,183,False,16,True,0,2020-08-12 21:22:01+00:00,0,True,True,183,active,2020-08-12 21:38:20,2020
158,9,0,184,False,10,True,0,2020-08-12 21:35:23+00:00,0,True,True,184,active,2020-08-12 21:38:20,2020
159,4,0,185,False,11,True,0,2020-08-12 21:36:48+00:00,0,True,True,185,active,2020-08-12 21:38:20,2020
160,4,0,186,True,11,True,0,2020-08-12 21:28:13+00:00,0,True,True,186,active,2020-08-12 21:38:20,2020
161,6,0,187,False,9,True,0,2020-08-12 20:32:21+00:00,0,True,True,187,active,2020-08-12 21:38:20,2020
162,14,0,188,False,0,True,1,2020-08-12 21:10:14+00:00,0,True,True,188,active,2020-08-12 21:38:20,2020
163,10,0,189,True,12,True,1,2020-08-12 21:28:55+00:00,0,True,True,189,active,2020-08-12 21:38:20,2020
164,18,0,190,True,19,True,0,2020-08-12 21:36:19+00:00,0,True,True,190,active,2020-08-12 21:38:20,2020
165,5,0,191,False,10,True,0,2020-08-12 21:29:07+00:00,0,True,True,191,active,2020-08-12 21:38:20,2020
166,8,0,192,False,10,True,1,2020-08-12 21:27:26+00:00,0,True,True,192,active,2020-08-12 21:38:20,2020
167,6,0,193,False,7,True,2,2020-08-12 21:35:38+00:00,0,True,True,193,active,2020-08-12 21:38:20,2020
168,2,0,194,False,17,True,0,2020-08-12 20:15:49+00:00,0,True,True,194,active,2020-08-12 21:38:20,2020
169,10,0,195,False,13,True,0,2020-08-12 21:21:32+00:00,0,True,True,195,active,2020-08-12 21:38:20,2020
170,2,0,196,True,8,True,0,2020-08-12 21:06:46+00:00,0,True,True,196,active,2020-08-12 21:38:20,2020
171,6,0,197,False,9,True,0,2020-08-12 18:44:49+00:00,0,True,True,197,active,2020-08-12 21:38:20,2020
172,3,0,199,False,12,True,0,2020-08-12 19:48:41+00:00,0,True,True,199,active,2020-08-12 21:38:20,2020
173,12,0,200,False,6,True,1,2020-08-12 21:37:48+00:00,0,True,True,200,active,2020-08-12 21:38:20,2020
174,0,0,201,False,15,True,0,2020-08-12 12:04:48+00:00,0,True,True,201,active,2020-08-12 21:38:20,2020
175,3,0,202,False,12,True,0,2020-08-12 20:11:14+00:00,0,True,True,202,active,2020-08-12 21:38:20,2020
176,1,0,203,False,14,True,0,2020-08-12 08:43:55+00:00,0,True,True,203,active,2020-08-12 21:38:20,2020
177,0,0,204,False,15,True,0,2020-08-12 12:58:21+00:00,0,True,True,204,active,2020-08-12 21:38:20,2020
178,4,0,205,False,11,True,0,2020-08-12 18:58:44+00:00,0,True,True,205,active,2020-08-12 21:38:20,2020
179,1,0,206,True,21,True,1,2020-08-12 21:30:06+00:00,0,True,True,206,active,2020-08-12 21:38:20,2020
180,3,0,208,True,11,True,1,2020-08-12 21:16:11+00:00,0,True,True,208,active,2020-08-12 21:38:20,2020
181,4,0,209,False,11,True,0,2020-08-12 19:30:28+00:00,0,True,True,209,active,2020-08-12 21:38:20,2020
182,1,0,210,False,14,True,0,2020-08-12 21:31:14+00:00,0,True,True,210,active,2020-08-12 21:38:20,2020
183,5,0,211,False,14,True,0,2020-08-12 20:53:36+00:00,0,True,True,211,active,2020-08-12 21:38:20,2020
184,30,0,212,False,3,True,0,2020-08-12 21:27:01+00:00,0,True,True,212,active,2020-08-12 21:38:20,2020
185,5,0,213,True,11,True,0,2020-08-12 18:15:14+00:00,0,True,True,213,active,2020-08-12 21:38:20,2020
186,2,0,214,False,13,True,0,2020-08-12 20:46:31+00:00,0,True,True,214,active,2020-08-12 21:38:20,2020
187,6,0,215,False,8,True,1,2020-08-12 21:26:53+00:00,0,True,True,215,active,2020-08-12 21:38:20,2020
188,18,0,216,False,0,True,1,2020-08-12 21:12:33+00:00,0,True,True,216,active,2020-08-12 21:38:20,2020
189,15,0,217,False,4,True,0,2020-08-12 21:12:57+00:00,0,True,True,217,active,2020-08-12 21:38:20,2020
190,15,0,218,False,0,True,0,2020-08-12 21:33:57+00:00,0,True,True,218,active,2020-08-12 21:38:20,2020
191,5,0,219,False,9,True,1,2020-08-12 20:23:38+00:00,0,True,True,219,active,2020-08-12 21:38:20,2020
192,7,0,221,False,12,True,0,2020-08-12 21:34:47+00:00,0,True,True,221,active,2020-08-12 21:38:20,2020
193,7,0,222,True,7,True,0,2020-08-12 21:34:11+00:00,0,True,True,222,active,2020-08-12 21:38:20,2020
194,15,0,224,False,1,True,1,2020-08-12 20:10:39+00:00,0,True,True,224,active,2020-08-12 21:38:20,2020
195,2,0,225,False,17,True,0,2020-08-12 21:33:43+00:00,0,True,True,225,active,2020-08-12 21:38:20,2020
196,7,0,226,False,8,True,0,2020-08-12 21:36:28+00:00,0,True,True,226,active,2020-08-12 21:38:20,2020
197,8,0,227,False,8,True,3,2020-08-12 21:22:10+00:00,0,True,True,227,active,2020-08-12 21:38:20,2020
198,2,0,228,False,17,True,0,2020-08-12 21:05:28+00:00,0,True,True,228,active,2020-08-12 21:38:20,2020
199,8,0,232,False,3,True,0,2020-08-12 08:08:09+00:00,0,True,True,232,active,2020-08-12 21:38:20,2020
200,6,0,233,False,9,True,0,2020-08-12 18:16:55+00:00,0,False,False,233,active,2020-08-12 21:38:20,2020
201,2,0,234,False,13,True,0,2020-08-12 21:07:05+00:00,0,True,True,234,active,2020-08-12 21:38:20,2020
202,4,0,235,False,11,True,0,2020-08-12 20:41:00+00:00,0,True,True,235,active,2020-08-12 21:38:20,2020
203,12,0,236,False,3,True,0,2020-08-12 21:33:21+00:00,0,True,True,236,active,2020-08-12 21:38:20,2020
204,1,0,239,False,14,True,0,2020-08-12 21:34:14+00:00,0,True,True,239,active,2020-08-12 21:38:20,2020
205,8,0,255,False,7,True,0,2020-08-12 08:53:35+00:00,0,True,True,255,active,2020-08-12 21:38:20,2020
206,10,0,258,False,5,True,0,2020-08-12 08:54:13+00:00,0,True,True,258,active,2020-08-12 21:38:20,2020
207,15,0,259,False,0,True,0,2020-08-12 08:53:25+00:00,0,True,True,259,active,2020-08-12 21:38:20,2020
208,12,0,260,False,3,True,0,2020-08-12 20:35:39+00:00,0,True,True,260,active,2020-08-12 21:38:20,2020
209,2,0,271,False,13,True,0,2020-08-12 21:28:13+00:00,0,True,True,271,active,2020-08-12 21:38:20,2020
210,6,0,272,False,12,True,1,2020-08-12 20:00:47+00:00,0,True,True,272,active,2020-08-12 21:38:20,2020
211,16,0,273,False,24,True,0,2020-08-12 21:36:34+00:00,0,True,True,273,active,2020-08-12 21:38:20,2020
212,17,0,279,False,2,True,0,2020-08-12 21:28:03+00:00,0,True,True,279,active,2020-08-12 21:38:20,2020
213,7,0,280,False,12,True,0,2020-08-12 21:25:53+00:00,0,True,True,280,active,2020-08-12 21:38:20,2020
214,5,0,282,False,9,True,1,2020-08-12 21:15:00+00:00,0,True,True,282,active,2020-08-12 21:38:20,2020
215,6,0,296,False,17,True,0,2020-08-12 21:29:43+00:00,0,True,True,296,active,2020-08-12 21:38:20,2020
216,9,0,318,False,10,True,0,2020-08-12 21:35:41+00:00,0,True,True,318,active,2020-08-12 21:38:20,2020
217,2,0,319,False,23,True,0,2020-08-12 20:39:26+00:00,0,True,True,319,active,2020-08-12 21:38:20,2020
218,0,0,327,False,15,True,0,2020-08-12 21:35:26+00:00,0,True,True,327,active,2020-08-12 21:38:20,2020
219,7,0,328,False,7,True,1,2020-08-12 21:27:55+00:00,0,True,True,328,active,2020-08-12 21:38:20,2020
220,5,0,329,False,10,True,0,2020-08-12 21:11:12+00:00,0,True,True,329,active,2020-08-12 21:38:20,2020
221,9,0,330,False,6,True,0,2020-08-12 21:21:27+00:00,0,True,True,330,active,2020-08-12 21:38:20,2020
222,13,0,331,False,2,True,0,2020-08-12 21:37:59+00:00,0,True,True,331,active,2020-08-12 21:38:20,2020
223,4,0,332,False,10,True,1,2020-08-12 21:36:09+00:00,0,True,True,332,active,2020-08-12 21:38:20,2020
224,21,0,333,False,4,True,0,2020-08-12 20:44:25+00:00,0,True,True,333,active,2020-08-12 21:38:20,2020
225,15,0,334,False,2,True,2,2020-08-12 21:13:26+00:00,0,True,True,334,active,2020-08-12 21:38:20,2020
226,6,0,335,False,13,True,0,2020-08-12 21:36:57+00:00,0,True,True,335,active,2020-08-12 21:38:20,2020
