,is_installed,eightd_has_available_keys,is_renting,station_status,legacy_id,is_returning,num_bikes_disabled,num_docks_available,num_docks_disabled,num_bikes_available,station_id,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
159,True,False,True,active,185,True,0,11,0,4,185,0,2020-07-31 04:00:17+00:00,,,2020-07-31 04:09:00,2020
160,True,True,True,active,186,True,0,0,0,15,186,0,2020-07-31 03:44:41+00:00,,,2020-07-31 04:09:00,2020
161,True,False,True,active,187,True,0,3,0,12,187,0,2020-07-31 03:56:02+00:00,,,2020-07-31 04:09:00,2020
162,True,False,True,active,188,True,1,1,0,13,188,0,2020-07-31 02:40:03+00:00,,,2020-07-31 04:09:00,2020
163,True,True,True,active,189,True,0,21,0,2,189,0,2020-07-31 04:08:47+00:00,,,2020-07-31 04:09:00,2020
164,True,True,True,active,190,True,3,11,0,23,190,0,2020-07-31 04:03:29+00:00,,,2020-07-31 04:09:00,2020
165,True,False,True,active,191,True,0,13,0,2,191,0,2020-07-30 23:22:30+00:00,,,2020-07-31 04:09:00,2020
166,True,False,True,active,192,True,1,17,0,1,192,0,2020-07-31 03:44:30+00:00,,,2020-07-31 04:09:00,2020
167,True,True,True,active,193,True,0,5,0,10,193,0,2020-07-31 01:52:34+00:00,,,2020-07-31 04:09:00,2020
168,True,False,True,active,194,True,0,5,0,14,194,0,2020-07-31 02:35:20+00:00,,,2020-07-31 04:09:00,2020
169,True,False,True,active,195,True,0,1,0,22,195,0,2020-07-31 02:51:57+00:00,,,2020-07-31 04:09:00,2020
170,True,True,True,active,196,True,1,8,0,1,196,0,2020-07-31 01:46:55+00:00,,,2020-07-31 04:09:00,2020
171,True,False,True,active,197,True,0,13,0,2,197,0,2020-07-30 22:08:38+00:00,,,2020-07-31 04:09:00,2020
172,True,False,True,active,199,True,0,7,0,8,199,0,2020-07-30 23:14:05+00:00,,,2020-07-31 04:09:00,2020
173,True,False,True,active,200,True,0,11,0,8,200,0,2020-07-31 03:08:34+00:00,,,2020-07-31 04:09:00,2020
174,True,False,True,active,201,True,0,15,0,0,201,0,2020-07-30 20:54:16+00:00,,,2020-07-31 04:09:00,2020
175,True,False,True,active,202,True,0,13,0,2,202,0,2020-07-31 00:58:11+00:00,,,2020-07-31 04:09:00,2020
176,True,False,True,active,203,True,0,8,0,7,203,0,2020-07-30 20:33:42+00:00,,,2020-07-31 04:09:00,2020
177,True,False,True,active,204,True,0,14,0,1,204,0,2020-07-31 01:26:06+00:00,,,2020-07-31 04:09:00,2020
178,True,False,True,active,205,True,0,7,0,8,205,0,2020-07-31 03:34:47+00:00,,,2020-07-31 04:09:00,2020
179,True,False,True,active,206,True,0,19,0,4,206,0,2020-07-31 03:52:29+00:00,,,2020-07-31 04:09:00,2020
180,True,True,True,active,208,True,0,3,0,12,208,0,2020-07-31 04:01:54+00:00,,,2020-07-31 04:09:00,2020
181,True,False,True,active,209,True,1,2,0,12,209,0,2020-07-31 00:41:02+00:00,,,2020-07-31 04:09:00,2020
182,True,False,True,active,210,True,0,12,0,3,210,0,2020-07-31 00:46:48+00:00,,,2020-07-31 04:09:00,2020
183,True,False,True,active,211,True,1,1,0,17,211,0,2020-07-30 23:24:15+00:00,,,2020-07-31 04:09:00,2020
184,True,False,True,active,212,True,0,19,0,14,212,0,2020-07-31 03:16:03+00:00,,,2020-07-31 04:09:00,2020
185,True,True,True,active,213,True,0,12,0,4,213,0,2020-07-31 02:34:53+00:00,,,2020-07-31 04:09:00,2020
186,True,False,True,active,214,True,0,9,0,6,214,0,2020-07-31 02:50:58+00:00,,,2020-07-31 04:09:00,2020
187,True,False,True,active,215,True,0,1,0,14,215,0,2020-07-31 01:39:59+00:00,,,2020-07-31 04:09:00,2020
188,True,False,True,active,216,True,1,2,0,16,216,0,2020-07-30 20:30:18+00:00,,,2020-07-31 04:09:00,2020
189,True,False,True,active,217,True,0,17,0,2,217,0,2020-07-31 03:24:16+00:00,,,2020-07-31 04:09:00,2020
190,True,False,True,active,218,True,0,7,0,8,218,0,2020-07-31 03:41:08+00:00,,,2020-07-31 04:09:00,2020
191,True,False,True,active,219,True,1,6,0,8,219,0,2020-07-31 03:31:15+00:00,,,2020-07-31 04:09:00,2020
192,True,False,True,active,221,True,0,7,0,12,221,0,2020-07-31 03:48:47+00:00,,,2020-07-31 04:09:00,2020
193,True,True,True,active,222,True,0,8,0,6,222,0,2020-07-31 02:31:53+00:00,,,2020-07-31 04:09:00,2020
194,True,False,True,active,224,True,0,4,0,13,224,0,2020-07-31 00:30:56+00:00,,,2020-07-31 04:09:00,2020
195,True,False,True,active,225,True,0,1,0,18,225,0,2020-07-31 03:58:36+00:00,,,2020-07-31 04:09:00,2020
196,True,False,True,active,226,True,0,4,0,11,226,0,2020-07-31 03:54:02+00:00,,,2020-07-31 04:09:00,2020
197,True,False,True,active,227,True,1,12,0,6,227,0,2020-07-31 02:42:34+00:00,,,2020-07-31 04:09:00,2020
198,True,False,True,active,228,True,0,13,0,6,228,0,2020-07-31 02:10:14+00:00,,,2020-07-31 04:09:00,2020
199,True,False,True,active,232,True,0,6,0,5,232,0,2020-07-30 23:23:42+00:00,,,2020-07-31 04:09:00,2020
200,True,False,True,active,233,True,1,11,0,3,233,0,2020-07-31 01:21:11+00:00,,,2020-07-31 04:09:00,2020
201,True,False,True,active,234,True,0,4,0,11,234,0,2020-07-31 03:35:50+00:00,,,2020-07-31 04:09:00,2020
202,True,False,True,active,235,True,0,4,0,11,235,0,2020-07-31 02:39:53+00:00,,,2020-07-31 04:09:00,2020
203,True,False,True,active,236,True,0,6,0,9,236,0,2020-07-31 01:15:34+00:00,,,2020-07-31 04:09:00,2020
204,True,False,True,active,239,True,1,9,0,5,239,0,2020-07-31 01:30:36+00:00,,,2020-07-31 04:09:00,2020
205,True,False,True,active,255,True,0,2,0,13,255,0,2020-07-31 00:09:34+00:00,,,2020-07-31 04:09:00,2020
206,True,False,True,active,258,True,0,4,0,11,258,0,2020-07-31 01:21:56+00:00,,,2020-07-31 04:09:00,2020
207,True,False,True,active,259,True,0,15,0,0,259,0,2020-07-30 17:16:15+00:00,,,2020-07-31 04:09:00,2020
208,True,False,True,active,260,True,0,8,0,7,260,0,2020-07-31 03:57:38+00:00,,,2020-07-31 04:09:00,2020
209,True,False,True,active,271,True,0,14,0,1,271,0,2020-07-31 02:50:52+00:00,,,2020-07-31 04:09:00,2020
210,True,False,True,active,272,True,2,11,0,6,272,0,2020-07-31 03:11:47+00:00,,,2020-07-31 04:09:00,2020
211,True,False,True,active,273,True,0,13,0,27,273,0,2020-07-31 03:22:56+00:00,,,2020-07-31 04:09:00,2020
212,True,False,True,active,279,True,0,12,0,7,279,0,2020-07-31 00:48:36+00:00,,,2020-07-31 04:09:00,2020
213,True,False,True,active,280,True,1,6,0,12,280,0,2020-07-31 02:52:16+00:00,,,2020-07-31 04:09:00,2020
214,True,False,True,active,282,True,2,0,0,13,282,0,2020-07-31 01:14:10+00:00,,,2020-07-31 04:09:00,2020
215,True,False,True,active,296,True,1,4,0,18,296,0,2020-07-31 03:43:38+00:00,,,2020-07-31 04:09:00,2020
216,True,False,True,active,318,True,0,18,0,1,318,0,2020-07-31 03:51:58+00:00,,,2020-07-31 04:09:00,2020
