,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
264,True,True,5,True,2020-08-04 22:46:46+00:00,0,10,373,373,0,active,False,0,2020-08-04 23:50:30,2020
265,True,True,12,True,2020-08-04 23:15:13+00:00,0,7,374,374,0,active,False,0,2020-08-04 23:50:30,2020
266,True,True,15,True,2020-08-04 19:07:18+00:00,0,0,376,376,0,active,False,0,2020-08-04 23:50:30,2020
267,True,True,15,True,2020-08-04 23:17:39+00:00,0,4,377,377,0,active,False,0,2020-08-04 23:50:30,2020
268,True,True,10,True,2020-08-04 23:13:09+00:00,0,9,378,378,0,active,False,0,2020-08-04 23:50:30,2020
269,True,True,5,True,2020-08-04 23:39:53+00:00,0,10,379,379,0,active,False,0,2020-08-04 23:50:30,2020
270,True,True,8,True,2020-08-04 23:27:12+00:00,0,10,380,380,0,active,False,0,2020-08-04 23:50:30,2020
271,True,True,11,True,2020-08-04 23:47:57+00:00,0,8,381,381,0,active,False,0,2020-08-04 23:50:30,2020
272,True,True,15,True,2020-08-04 23:27:33+00:00,0,4,384,384,0,active,True,0,2020-08-04 23:50:30,2020
273,True,True,13,True,2020-08-04 23:24:01+00:00,1,0,385,385,1,active,False,0,2020-08-04 23:50:30,2020
274,True,True,11,True,2020-08-04 23:46:34+00:00,0,8,386,386,0,active,False,0,2020-08-04 23:50:30,2020
275,True,True,6,True,2020-08-04 21:21:01+00:00,0,9,387,387,0,active,False,0,2020-08-04 23:50:30,2020
276,True,True,8,True,2020-08-04 23:27:59+00:00,0,3,388,388,0,active,False,0,2020-08-04 23:50:30,2020
277,True,True,3,True,2020-08-04 23:38:22+00:00,0,11,389,389,0,active,False,0,2020-08-04 23:50:30,2020
278,True,True,1,True,2020-08-04 23:50:16+00:00,0,14,390,390,0,active,False,0,2020-08-04 23:50:30,2020
279,True,True,4,True,2020-08-04 16:04:42+00:00,0,11,391,391,0,active,False,0,2020-08-04 23:50:30,2020
280,True,True,6,True,2020-08-04 22:20:08+00:00,0,9,392,392,0,active,False,0,2020-08-04 23:50:30,2020
