,station_id,is_renting,is_returning,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,num_docks_available,last_reported,legacy_id,num_docks_disabled,station_status,is_installed,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
177,204,True,True,False,0,0,15,2020-08-21 23:07:05+00:00,204,0,active,True,0,2020-08-21 23:20:50,2020
178,205,True,True,False,0,0,12,2020-08-21 22:54:25+00:00,205,0,active,True,3,2020-08-21 23:20:50,2020
179,206,True,True,False,0,0,22,2020-08-21 23:01:19+00:00,206,0,active,True,1,2020-08-21 23:20:50,2020
180,208,True,True,True,0,0,2,2020-08-21 23:07:58+00:00,208,0,active,True,13,2020-08-21 23:20:50,2020
181,209,True,True,False,0,1,12,2020-08-21 22:47:01+00:00,209,0,active,True,2,2020-08-21 23:20:50,2020
182,210,True,True,False,0,0,15,2020-08-21 22:22:28+00:00,210,0,active,True,0,2020-08-21 23:20:50,2020
183,211,True,True,False,0,0,7,2020-08-21 22:22:18+00:00,211,0,active,True,12,2020-08-21 23:20:50,2020
184,212,True,True,False,0,1,26,2020-08-21 23:18:12+00:00,212,0,active,True,6,2020-08-21 23:20:50,2020
185,213,True,True,True,0,0,10,2020-08-21 19:55:09+00:00,213,0,active,True,6,2020-08-21 23:20:50,2020
186,214,True,True,False,0,0,13,2020-08-21 23:08:47+00:00,214,0,active,True,2,2020-08-21 23:20:50,2020
187,215,True,True,False,0,1,8,2020-08-21 23:00:02+00:00,215,0,active,True,6,2020-08-21 23:20:50,2020
188,216,True,True,False,0,0,5,2020-08-21 06:54:34+00:00,216,0,active,True,14,2020-08-21 23:20:50,2020
189,217,True,True,False,0,1,17,2020-08-21 22:55:06+00:00,217,0,active,True,1,2020-08-21 23:20:50,2020
190,218,True,True,False,0,0,8,2020-08-21 23:13:42+00:00,218,0,active,True,7,2020-08-21 23:20:50,2020
191,219,True,True,False,0,0,9,2020-08-21 20:06:41+00:00,219,0,active,True,6,2020-08-21 23:20:50,2020
192,221,True,True,False,0,0,19,2020-08-21 22:39:57+00:00,221,0,active,True,0,2020-08-21 23:20:50,2020
193,222,True,True,True,0,1,11,2020-08-21 23:15:34+00:00,222,0,active,True,2,2020-08-21 23:20:50,2020
194,224,True,True,False,0,1,9,2020-08-21 23:02:08+00:00,224,0,active,True,7,2020-08-21 23:20:50,2020
195,225,True,True,False,0,2,3,2020-08-21 23:18:16+00:00,225,0,active,True,14,2020-08-21 23:20:50,2020
196,226,True,True,False,0,1,8,2020-08-21 23:13:18+00:00,226,0,active,True,6,2020-08-21 23:20:50,2020
197,227,True,True,False,0,2,17,2020-08-21 23:15:22+00:00,227,0,active,True,0,2020-08-21 23:20:50,2020
198,228,True,True,False,0,0,11,2020-08-21 23:20:18+00:00,228,0,active,True,8,2020-08-21 23:20:50,2020
199,232,True,True,False,0,0,10,2020-08-21 21:57:05+00:00,232,0,active,True,1,2020-08-21 23:20:50,2020
200,233,True,True,False,0,0,8,2020-08-21 23:17:18+00:00,233,0,active,True,7,2020-08-21 23:20:50,2020
201,234,True,True,False,0,0,15,2020-08-21 21:59:05+00:00,234,0,active,True,0,2020-08-21 23:20:50,2020
202,235,True,True,False,0,0,9,2020-08-21 22:06:28+00:00,235,0,active,True,6,2020-08-21 23:20:50,2020
203,236,True,True,False,0,0,1,2020-08-21 23:11:11+00:00,236,0,active,True,14,2020-08-21 23:20:50,2020
204,239,True,True,False,0,1,14,2020-08-21 22:57:10+00:00,239,0,active,True,0,2020-08-21 23:20:50,2020
205,255,True,True,False,0,0,10,2020-08-21 18:57:17+00:00,255,0,active,True,5,2020-08-21 23:20:50,2020
206,258,True,True,False,0,0,1,2020-08-21 23:15:29+00:00,258,0,active,True,14,2020-08-21 23:20:50,2020
207,259,True,True,False,0,0,7,2020-08-21 17:58:41+00:00,259,0,active,True,8,2020-08-21 23:20:50,2020
208,260,True,True,False,0,0,11,2020-08-21 23:00:46+00:00,260,0,active,True,4,2020-08-21 23:20:50,2020
209,271,True,True,False,0,0,12,2020-08-21 23:16:53+00:00,271,0,active,True,3,2020-08-21 23:20:50,2020
210,272,True,True,False,0,0,10,2020-08-21 20:22:33+00:00,272,0,active,True,9,2020-08-21 23:20:50,2020
211,273,True,True,False,0,0,17,2020-08-21 23:07:57+00:00,273,0,active,True,23,2020-08-21 23:20:50,2020
212,279,True,True,False,0,0,0,2020-08-21 22:09:37+00:00,279,0,active,True,19,2020-08-21 23:20:50,2020
213,280,True,True,False,0,0,5,2020-08-21 23:18:55+00:00,280,0,active,True,14,2020-08-21 23:20:50,2020
214,282,True,True,False,0,0,4,2020-08-21 23:20:26+00:00,282,0,active,True,11,2020-08-21 23:20:50,2020
215,296,True,True,False,0,1,14,2020-08-21 23:09:30+00:00,296,0,active,True,8,2020-08-21 23:20:50,2020
216,318,True,True,False,0,0,12,2020-08-21 23:20:18+00:00,318,0,active,True,7,2020-08-21 23:20:50,2020
217,319,True,True,False,0,0,23,2020-08-21 22:41:55+00:00,319,0,active,True,2,2020-08-21 23:20:50,2020
218,327,True,True,False,0,1,8,2020-08-21 23:15:07+00:00,327,0,active,True,6,2020-08-21 23:20:50,2020
219,328,True,True,False,0,0,8,2020-08-21 23:09:54+00:00,328,0,active,True,7,2020-08-21 23:20:50,2020
220,329,True,True,False,0,0,5,2020-08-21 22:54:28+00:00,329,0,active,True,10,2020-08-21 23:20:50,2020
221,330,True,True,False,0,0,7,2020-08-21 23:04:50+00:00,330,0,active,True,8,2020-08-21 23:20:50,2020
222,331,True,True,False,0,0,1,2020-08-21 23:15:09+00:00,331,0,active,True,14,2020-08-21 23:20:50,2020
223,332,True,True,False,0,0,10,2020-08-21 23:19:51+00:00,332,0,active,True,5,2020-08-21 23:20:50,2020
