,num_bikes_available,num_docks_available,station_id,num_docks_disabled,is_installed,eightd_has_available_keys,legacy_id,last_reported,num_ebikes_available,is_returning,is_renting,num_bikes_disabled,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
190,4,9,218,0,True,False,218,2020-08-18 20:05:19+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
191,4,11,219,0,True,False,219,2020-08-18 19:07:11+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
192,0,18,221,0,True,False,221,2020-08-18 19:47:29+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
193,1,13,222,0,True,True,222,2020-08-18 19:48:15+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
194,13,3,224,0,True,False,224,2020-08-18 19:31:29+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
195,9,9,225,0,True,False,225,2020-08-18 19:53:54+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
196,2,12,226,0,True,False,226,2020-08-18 20:04:12+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
197,1,16,227,0,True,False,227,2020-08-18 19:53:10+00:00,0,True,True,2,active,,,2020-08-18 20:05:40,2020
198,4,15,228,0,True,False,228,2020-08-18 19:28:42+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
199,1,10,232,0,True,False,232,2020-08-18 19:33:43+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
200,4,10,233,0,True,False,233,2020-08-18 19:22:57+00:00,0,True,True,1,active,,,2020-08-18 20:05:40,2020
201,2,13,234,0,True,False,234,2020-08-18 19:59:12+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
202,8,7,235,0,True,False,235,2020-08-18 18:35:41+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
203,10,5,236,0,True,False,236,2020-08-18 20:01:22+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
204,12,3,239,0,True,False,239,2020-08-18 19:34:28+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
205,7,8,255,0,True,False,255,2020-08-18 19:37:34+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
206,8,7,258,0,True,False,258,2020-08-18 11:20:18+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
207,10,5,259,0,True,False,259,2020-08-18 17:28:18+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
208,5,10,260,0,True,False,260,2020-08-18 20:04:13+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
209,10,5,271,0,True,False,271,2020-08-18 19:27:34+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
210,10,9,272,0,True,False,272,2020-08-18 16:44:29+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
211,21,19,273,0,True,False,273,2020-08-18 19:59:20+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
212,17,2,279,0,True,False,279,2020-08-18 19:04:23+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
213,10,9,280,0,True,False,280,2020-08-18 19:12:20+00:00,0,True,True,0,active,,,2020-08-18 20:05:40,2020
