,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
159,3,True,185,active,False,12,0,True,True,2020-08-05 21:08:08+00:00,185,0,0,,,2020-08-05 21:18:30,2020
160,10,True,186,active,True,5,0,True,True,2020-08-05 21:17:53+00:00,186,0,0,,,2020-08-05 21:18:30,2020
161,11,True,187,active,False,4,0,True,True,2020-08-05 20:38:43+00:00,187,0,0,,,2020-08-05 21:18:30,2020
162,9,True,188,active,False,6,0,True,True,2020-08-05 21:12:46+00:00,188,0,0,,,2020-08-05 21:18:30,2020
163,6,True,189,active,True,16,0,True,True,2020-08-05 21:11:05+00:00,189,0,1,,,2020-08-05 21:18:30,2020
164,13,True,190,active,True,23,0,True,True,2020-08-05 21:18:17+00:00,190,0,1,,,2020-08-05 21:18:30,2020
165,1,True,191,active,False,14,0,True,True,2020-08-05 21:15:40+00:00,191,0,0,,,2020-08-05 21:18:30,2020
166,13,True,192,active,False,6,0,True,True,2020-08-05 21:15:17+00:00,192,0,0,,,2020-08-05 21:18:30,2020
167,2,True,193,active,True,12,0,True,True,2020-08-05 21:01:17+00:00,193,0,1,,,2020-08-05 21:18:30,2020
168,4,True,194,active,False,15,0,True,True,2020-08-05 20:57:21+00:00,194,0,0,,,2020-08-05 21:18:30,2020
169,1,True,195,active,False,21,0,True,True,2020-08-05 21:08:34+00:00,195,0,1,,,2020-08-05 21:18:30,2020
170,2,True,196,active,True,8,0,True,True,2020-08-05 21:03:23+00:00,196,0,0,,,2020-08-05 21:18:30,2020
171,3,True,197,active,False,12,0,True,True,2020-08-05 20:57:11+00:00,197,0,0,,,2020-08-05 21:18:30,2020
172,14,True,199,active,False,1,0,True,True,2020-08-05 21:00:22+00:00,199,0,0,,,2020-08-05 21:18:30,2020
173,17,True,200,active,False,0,0,True,True,2020-08-05 19:07:01+00:00,200,0,2,,,2020-08-05 21:18:30,2020
174,5,True,201,active,False,10,0,True,True,2020-08-05 16:42:59+00:00,201,0,0,,,2020-08-05 21:18:30,2020
175,2,True,202,active,False,13,0,True,True,2020-08-05 19:59:22+00:00,202,0,0,,,2020-08-05 21:18:30,2020
176,5,True,203,active,False,10,0,True,True,2020-08-05 12:49:49+00:00,203,0,0,,,2020-08-05 21:18:30,2020
177,7,True,204,active,False,7,0,True,True,2020-08-05 19:56:54+00:00,204,0,1,,,2020-08-05 21:18:30,2020
178,6,True,205,active,False,9,0,True,True,2020-08-05 18:26:18+00:00,205,0,0,,,2020-08-05 21:18:30,2020
179,1,True,206,active,False,22,0,True,True,2020-08-05 21:16:56+00:00,206,0,0,,,2020-08-05 21:18:30,2020
180,11,True,208,active,True,4,0,True,True,2020-08-05 18:50:19+00:00,208,0,0,,,2020-08-05 21:18:30,2020
181,5,True,209,active,False,10,0,True,True,2020-08-05 21:16:59+00:00,209,0,0,,,2020-08-05 21:18:30,2020
182,1,True,210,active,False,14,0,True,True,2020-08-05 20:38:58+00:00,210,0,0,,,2020-08-05 21:18:30,2020
183,15,True,211,active,False,4,0,True,True,2020-08-05 20:22:30+00:00,211,0,0,,,2020-08-05 21:18:30,2020
184,19,True,212,active,False,14,0,True,True,2020-08-05 21:09:23+00:00,212,0,0,,,2020-08-05 21:18:30,2020
185,6,True,213,active,True,10,0,True,True,2020-08-05 13:33:25+00:00,213,0,0,,,2020-08-05 21:18:30,2020
186,10,True,214,active,False,5,0,True,True,2020-08-05 20:48:52+00:00,214,0,0,,,2020-08-05 21:18:30,2020
187,7,True,215,active,False,8,0,True,True,2020-08-05 21:12:16+00:00,215,0,0,,,2020-08-05 21:18:30,2020
188,13,True,216,active,False,6,0,True,True,2020-08-05 20:56:20+00:00,216,0,0,,,2020-08-05 21:18:30,2020
189,18,True,217,active,False,1,0,True,True,2020-08-05 20:53:58+00:00,217,0,0,,,2020-08-05 21:18:30,2020
190,5,True,218,active,False,9,0,True,True,2020-08-05 21:16:43+00:00,218,0,1,,,2020-08-05 21:18:30,2020
191,12,True,219,active,False,3,0,True,True,2020-08-05 19:14:33+00:00,219,0,0,,,2020-08-05 21:18:30,2020
192,8,True,221,active,False,9,0,True,True,2020-08-05 21:15:07+00:00,221,0,2,,,2020-08-05 21:18:30,2020
193,0,True,222,active,True,14,0,True,True,2020-08-05 21:13:16+00:00,222,0,0,,,2020-08-05 21:18:30,2020
194,6,True,224,active,False,10,0,True,True,2020-08-05 19:59:53+00:00,224,0,1,,,2020-08-05 21:18:30,2020
195,4,True,225,active,False,15,0,True,True,2020-08-05 21:10:41+00:00,225,0,0,,,2020-08-05 21:18:30,2020
196,8,True,226,active,False,7,0,True,True,2020-08-05 21:05:30+00:00,226,0,0,,,2020-08-05 21:18:30,2020
197,9,True,227,active,False,10,0,True,True,2020-08-05 21:10:13+00:00,227,0,0,,,2020-08-05 21:18:30,2020
198,12,True,228,active,False,7,0,True,True,2020-08-05 21:15:34+00:00,228,0,0,,,2020-08-05 21:18:30,2020
199,1,True,232,active,False,10,0,True,True,2020-08-05 08:41:18+00:00,232,0,0,,,2020-08-05 21:18:30,2020
200,5,True,233,active,False,10,0,True,True,2020-08-05 20:33:40+00:00,233,0,0,,,2020-08-05 21:18:30,2020
201,4,True,234,active,False,11,0,True,True,2020-08-05 21:14:23+00:00,234,0,0,,,2020-08-05 21:18:30,2020
202,5,True,235,active,False,9,0,True,True,2020-08-05 19:51:04+00:00,235,0,1,,,2020-08-05 21:18:30,2020
203,11,True,236,active,False,4,0,True,True,2020-08-05 20:51:30+00:00,236,0,0,,,2020-08-05 21:18:30,2020
204,8,True,239,active,False,7,0,True,True,2020-08-05 21:12:33+00:00,239,0,0,,,2020-08-05 21:18:30,2020
205,11,True,255,active,False,4,0,True,True,2020-08-05 18:30:56+00:00,255,0,0,,,2020-08-05 21:18:30,2020
206,7,True,258,active,False,8,0,True,True,2020-08-05 20:36:59+00:00,258,0,0,,,2020-08-05 21:18:30,2020
207,0,True,259,active,False,15,0,True,True,2020-08-04 09:01:37+00:00,259,0,0,,,2020-08-05 21:18:30,2020
208,7,True,260,active,False,8,0,True,True,2020-08-05 20:06:53+00:00,260,0,0,,,2020-08-05 21:18:30,2020
209,7,True,271,active,False,8,0,True,True,2020-08-05 18:45:59+00:00,271,0,0,,,2020-08-05 21:18:30,2020
210,6,True,272,active,False,13,0,True,True,2020-08-05 19:11:19+00:00,272,0,0,,,2020-08-05 21:18:30,2020
211,21,True,273,active,False,18,0,True,True,2020-08-05 21:13:54+00:00,273,0,1,,,2020-08-05 21:18:30,2020
212,5,True,279,active,False,14,0,True,True,2020-08-05 21:01:02+00:00,279,0,0,,,2020-08-05 21:18:30,2020
213,5,True,280,active,False,14,0,True,True,2020-08-05 21:15:25+00:00,280,0,0,,,2020-08-05 21:18:30,2020
