,legacy_id,num_bikes_available,num_docks_available,last_reported,num_ebikes_available,num_docks_disabled,is_returning,num_bikes_disabled,station_status,is_renting,station_id,is_installed,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
150,176,11,3,2020-08-22 03:56:16+00:00,0,0,True,1,active,True,176,True,False,2020-08-22 03:56:25,2020
151,177,5,14,2020-08-22 03:01:17+00:00,0,0,True,0,active,True,177,True,False,2020-08-22 03:56:25,2020
152,178,9,9,2020-08-22 03:46:28+00:00,0,0,True,1,active,True,178,True,False,2020-08-22 03:56:25,2020
153,179,6,19,2020-08-22 02:58:14+00:00,0,0,True,0,active,True,179,True,False,2020-08-22 03:56:25,2020
154,180,11,8,2020-08-22 01:01:08+00:00,0,0,True,0,active,True,180,True,False,2020-08-22 03:56:25,2020
155,181,7,12,2020-08-22 02:25:17+00:00,0,0,True,0,active,True,181,True,False,2020-08-22 03:56:25,2020
156,182,4,15,2020-08-22 01:22:56+00:00,0,0,True,0,active,True,182,True,True,2020-08-22 03:56:25,2020
157,183,4,15,2020-08-22 01:58:56+00:00,0,0,True,0,active,True,183,True,False,2020-08-22 03:56:25,2020
158,184,3,16,2020-08-22 00:56:11+00:00,0,0,True,0,active,True,184,True,False,2020-08-22 03:56:25,2020
159,185,7,8,2020-08-22 02:49:55+00:00,0,0,True,0,active,True,185,True,False,2020-08-22 03:56:25,2020
160,186,12,3,2020-08-22 02:10:03+00:00,0,0,True,0,active,True,186,True,True,2020-08-22 03:56:25,2020
161,187,2,12,2020-08-22 00:37:03+00:00,0,0,True,1,active,True,187,True,False,2020-08-22 03:56:25,2020
162,188,14,1,2020-08-22 02:45:15+00:00,0,0,True,0,active,True,188,True,False,2020-08-22 03:56:25,2020
163,189,1,22,2020-08-22 02:34:32+00:00,0,0,True,0,active,True,189,True,True,2020-08-22 03:56:25,2020
164,190,13,23,2020-08-22 02:44:42+00:00,0,0,True,1,active,True,190,True,True,2020-08-22 03:56:25,2020
165,191,0,15,2020-08-22 02:35:19+00:00,0,0,True,0,active,True,191,True,False,2020-08-22 03:56:25,2020
