,eightd_has_available_keys,num_ebikes_available,num_docks_disabled,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,station_status,legacy_id,is_installed,is_renting,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
130,False,0,0,12,145,True,0,7,active,145,True,True,2020-08-20 20:41:18+00:00,,,2020-08-20 21:00:20,2020
131,False,0,0,10,146,True,1,8,active,146,True,True,2020-08-20 20:55:04+00:00,,,2020-08-20 21:00:20,2020
132,True,0,0,2,149,True,1,15,active,149,True,True,2020-08-20 20:51:09+00:00,,,2020-08-20 21:00:20,2020
133,False,0,0,9,150,True,0,10,active,150,True,True,2020-08-20 20:43:48+00:00,,,2020-08-20 21:00:20,2020
134,False,0,0,3,151,True,0,16,active,151,True,True,2020-08-20 20:23:24+00:00,,,2020-08-20 21:00:20,2020
135,True,0,0,14,152,True,0,1,active,152,True,True,2020-08-20 20:57:39+00:00,,,2020-08-20 21:00:20,2020
136,False,0,0,7,156,True,1,7,active,156,True,True,2020-08-20 19:43:03+00:00,,,2020-08-20 21:00:20,2020
137,False,0,0,2,157,True,0,13,active,157,True,True,2020-08-20 20:59:24+00:00,,,2020-08-20 21:00:20,2020
138,False,0,0,1,159,True,0,14,active,159,True,True,2020-08-20 20:59:24+00:00,,,2020-08-20 21:00:20,2020
139,True,0,0,10,160,True,0,4,active,160,True,True,2020-08-20 20:59:33+00:00,,,2020-08-20 21:00:20,2020
140,True,0,0,15,161,True,0,8,active,161,True,True,2020-08-20 20:56:14+00:00,,,2020-08-20 21:00:20,2020
141,False,0,0,6,162,True,0,9,active,162,True,True,2020-08-20 19:32:17+00:00,,,2020-08-20 21:00:20,2020
142,True,0,0,13,163,True,0,6,active,163,True,True,2020-08-20 20:59:52+00:00,,,2020-08-20 21:00:20,2020
143,False,0,0,9,167,True,0,6,active,167,True,True,2020-08-20 19:43:06+00:00,,,2020-08-20 21:00:20,2020
144,False,0,0,8,169,True,0,11,active,169,True,True,2020-08-20 20:33:45+00:00,,,2020-08-20 21:00:20,2020
145,True,0,0,8,170,True,0,6,active,170,True,True,2020-08-20 18:42:46+00:00,,,2020-08-20 21:00:20,2020
