,station_status,legacy_id,eightd_has_available_keys,is_returning,num_docks_available,num_ebikes_available,is_installed,num_docks_disabled,num_bikes_disabled,last_reported,is_renting,num_bikes_available,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
150,active,176,False,True,12,0,True,0,0,2020-08-04 15:01:15+00:00,True,3,176,,,2020-08-04 15:40:10,2020
151,active,177,False,True,7,0,True,0,0,2020-08-04 15:39:55+00:00,True,12,177,,,2020-08-04 15:40:10,2020
152,active,178,False,True,15,0,True,0,0,2020-08-04 15:35:20+00:00,True,4,178,,,2020-08-04 15:40:10,2020
153,active,179,False,True,12,0,True,0,0,2020-08-04 15:35:30+00:00,True,13,179,,,2020-08-04 15:40:10,2020
154,active,180,False,True,4,0,True,0,0,2020-08-04 14:29:42+00:00,True,15,180,,,2020-08-04 15:40:10,2020
155,active,181,False,True,2,0,True,0,1,2020-08-04 13:56:35+00:00,True,16,181,,,2020-08-04 15:40:10,2020
156,active,182,True,True,14,0,True,0,1,2020-08-04 14:36:05+00:00,True,4,182,,,2020-08-04 15:40:10,2020
157,active,183,False,True,7,0,True,0,0,2020-08-04 14:08:30+00:00,True,12,183,,,2020-08-04 15:40:10,2020
158,active,184,False,True,10,0,True,0,1,2020-08-04 15:36:49+00:00,True,8,184,,,2020-08-04 15:40:10,2020
159,active,185,False,True,11,0,True,0,0,2020-08-04 15:31:09+00:00,True,4,185,,,2020-08-04 15:40:10,2020
160,active,186,True,True,14,0,True,0,0,2020-08-04 15:32:35+00:00,True,1,186,,,2020-08-04 15:40:10,2020
161,active,187,False,True,0,0,True,0,0,2020-08-04 15:00:21+00:00,True,15,187,,,2020-08-04 15:40:10,2020
162,active,188,False,True,10,0,True,0,0,2020-08-04 13:32:32+00:00,True,5,188,,,2020-08-04 15:40:10,2020
163,active,189,False,True,14,0,True,0,1,2020-08-04 15:33:23+00:00,True,8,189,,,2020-08-04 15:40:10,2020
164,active,190,True,True,37,0,True,0,0,2020-08-04 15:18:12+00:00,True,0,190,,,2020-08-04 15:40:10,2020
165,active,191,False,True,11,0,True,0,0,2020-08-04 11:17:09+00:00,True,4,191,,,2020-08-04 15:40:10,2020
166,active,192,False,True,10,0,True,0,0,2020-08-04 15:37:22+00:00,True,9,192,,,2020-08-04 15:40:10,2020
167,active,193,True,True,6,0,True,0,1,2020-08-04 13:18:58+00:00,True,8,193,,,2020-08-04 15:40:10,2020
168,active,194,False,True,12,0,True,0,0,2020-08-04 10:24:18+00:00,True,7,194,,,2020-08-04 15:40:10,2020
169,active,195,False,True,22,0,True,0,1,2020-08-04 15:23:47+00:00,True,0,195,,,2020-08-04 15:40:10,2020
170,active,196,True,True,9,0,True,0,0,2020-08-04 12:59:07+00:00,True,1,196,,,2020-08-04 15:40:10,2020
171,active,197,False,True,13,0,True,0,0,2020-08-04 08:46:23+00:00,True,2,197,,,2020-08-04 15:40:10,2020
172,active,199,False,True,3,0,True,0,0,2020-08-04 10:28:56+00:00,True,12,199,,,2020-08-04 15:40:10,2020
173,active,200,False,True,6,0,True,0,1,2020-08-04 15:06:17+00:00,True,12,200,,,2020-08-04 15:40:10,2020
174,active,201,False,True,15,0,True,0,0,2020-08-04 12:17:44+00:00,True,0,201,,,2020-08-04 15:40:10,2020
