,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
136,True,active,True,False,0,2,152,True,13,152,0,2020-08-03 13:44:00+00:00,0,,,2020-08-03 14:51:25,2020
137,True,active,True,False,0,1,156,True,14,156,0,2020-08-03 14:24:05+00:00,0,,,2020-08-03 14:51:25,2020
138,True,active,True,False,0,4,157,True,10,157,0,2020-08-03 13:44:52+00:00,1,,,2020-08-03 14:51:25,2020
139,True,active,True,False,0,0,159,True,14,159,0,2020-08-03 14:08:35+00:00,1,,,2020-08-03 14:51:25,2020
140,True,active,True,True,0,14,160,True,0,160,0,2020-08-03 13:09:01+00:00,0,,,2020-08-03 14:51:25,2020
141,True,active,True,True,0,3,161,True,20,161,0,2020-08-03 14:39:17+00:00,0,,,2020-08-03 14:51:25,2020
142,True,active,True,False,0,0,162,True,15,162,0,2020-08-03 08:53:47+00:00,0,,,2020-08-03 14:51:25,2020
143,True,active,True,True,0,11,163,True,8,163,0,2020-08-03 14:34:38+00:00,0,,,2020-08-03 14:51:25,2020
144,True,active,True,False,0,11,167,True,4,167,0,2020-08-03 13:52:09+00:00,0,,,2020-08-03 14:51:25,2020
145,True,active,True,False,0,4,169,True,15,169,0,2020-08-03 14:07:44+00:00,0,,,2020-08-03 14:51:25,2020
146,True,active,True,True,0,2,170,True,12,170,0,2020-08-03 14:37:25+00:00,0,,,2020-08-03 14:51:25,2020
147,True,active,True,True,0,1,171,True,22,171,0,2020-08-03 13:40:57+00:00,0,,,2020-08-03 14:51:25,2020
148,True,active,True,True,0,12,173,True,2,173,0,2020-08-03 14:23:53+00:00,0,,,2020-08-03 14:51:25,2020
149,True,active,True,False,0,8,174,True,7,174,0,2020-08-03 14:32:07+00:00,0,,,2020-08-03 14:51:25,2020
150,True,active,True,True,0,8,175,True,9,175,0,2020-08-03 13:51:57+00:00,0,,,2020-08-03 14:51:25,2020
151,True,active,True,False,0,7,176,True,8,176,0,2020-08-03 14:34:34+00:00,0,,,2020-08-03 14:51:25,2020
152,True,active,True,False,0,6,177,True,13,177,0,2020-08-03 14:42:10+00:00,0,,,2020-08-03 14:51:25,2020
153,True,active,True,False,0,16,178,True,2,178,0,2020-08-03 14:47:36+00:00,1,,,2020-08-03 14:51:25,2020
154,True,active,True,False,0,14,179,True,11,179,0,2020-08-03 14:43:06+00:00,0,,,2020-08-03 14:51:25,2020
155,True,active,True,False,0,12,180,True,7,180,0,2020-08-03 14:00:39+00:00,0,,,2020-08-03 14:51:25,2020
156,True,active,True,False,0,14,181,True,5,181,0,2020-08-03 14:08:05+00:00,0,,,2020-08-03 14:51:25,2020
157,True,active,True,True,0,3,182,True,16,182,0,2020-08-03 12:43:43+00:00,0,,,2020-08-03 14:51:25,2020
158,True,active,True,False,0,14,183,True,5,183,0,2020-08-03 14:10:00+00:00,0,,,2020-08-03 14:51:25,2020
159,True,active,True,False,0,11,184,True,7,184,0,2020-08-03 14:44:16+00:00,1,,,2020-08-03 14:51:25,2020
160,True,active,True,False,0,3,185,True,12,185,0,2020-08-03 14:29:59+00:00,0,,,2020-08-03 14:51:25,2020
161,True,active,True,True,0,0,186,True,15,186,0,2020-08-03 14:42:18+00:00,0,,,2020-08-03 14:51:25,2020
162,True,active,True,False,0,12,187,True,3,187,0,2020-08-03 13:18:47+00:00,0,,,2020-08-03 14:51:25,2020
163,True,active,True,False,0,11,188,True,4,188,0,2020-08-03 09:00:08+00:00,0,,,2020-08-03 14:51:25,2020
164,True,active,True,True,0,8,189,True,15,189,0,2020-08-03 14:49:20+00:00,0,,,2020-08-03 14:51:25,2020
165,True,active,True,True,0,4,190,True,30,190,0,2020-08-03 14:06:58+00:00,3,,,2020-08-03 14:51:25,2020
