,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
212,279,True,True,active,0,0,19,279,False,2020-08-20 23:20:52+00:00,True,0,0,,,2020-08-20 23:33:35,2020
213,280,True,True,active,0,2,17,280,False,2020-08-20 22:45:17+00:00,True,0,0,,,2020-08-20 23:33:35,2020
214,282,True,True,active,1,4,10,282,False,2020-08-20 23:24:45+00:00,True,0,0,,,2020-08-20 23:33:35,2020
215,296,True,True,active,1,10,12,296,False,2020-08-20 23:06:09+00:00,True,0,0,,,2020-08-20 23:33:35,2020
216,318,True,True,active,0,19,0,318,False,2020-08-20 23:24:19+00:00,True,0,0,,,2020-08-20 23:33:35,2020
217,319,True,True,active,0,20,5,319,False,2020-08-20 23:12:45+00:00,True,0,0,,,2020-08-20 23:33:35,2020
218,327,True,True,active,0,8,7,327,False,2020-08-20 22:43:42+00:00,True,0,0,,,2020-08-20 23:33:35,2020
219,328,True,True,active,1,3,11,328,False,2020-08-20 23:33:20+00:00,True,0,0,,,2020-08-20 23:33:35,2020
220,329,True,True,active,1,8,6,329,False,2020-08-20 23:16:19+00:00,True,0,0,,,2020-08-20 23:33:35,2020
221,330,True,True,active,0,13,2,330,False,2020-08-20 23:24:48+00:00,True,0,0,,,2020-08-20 23:33:35,2020
222,331,True,True,active,0,15,0,331,False,2020-08-20 23:24:10+00:00,True,0,0,,,2020-08-20 23:33:35,2020
223,332,True,True,active,0,1,14,332,False,2020-08-20 23:24:02+00:00,True,0,0,,,2020-08-20 23:33:35,2020
