,is_renting,num_bikes_disabled,last_reported,station_status,num_ebikes_available,station_id,eightd_has_available_keys,legacy_id,num_docks_available,num_docks_disabled,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
149,True,0,2020-07-11 22:01:21+00:00,active,0,174,False,174,8,0,True,True,7,,,2020-07-11 23:29:05,2020
150,True,1,2020-07-11 23:17:01+00:00,active,0,175,True,175,15,0,True,True,1,,,2020-07-11 23:29:05,2020
151,True,0,2020-07-11 23:25:36+00:00,active,0,176,False,176,6,0,True,True,9,,,2020-07-11 23:29:05,2020
152,True,0,2020-07-11 23:22:59+00:00,active,0,177,False,177,17,0,True,True,2,,,2020-07-11 23:29:05,2020
153,True,0,2020-07-11 23:20:24+00:00,active,0,178,False,178,8,0,True,True,11,,,2020-07-11 23:29:05,2020
154,True,0,2020-07-11 23:21:16+00:00,active,0,179,False,179,12,0,True,True,13,,,2020-07-11 23:29:05,2020
155,True,0,2020-07-11 23:16:32+00:00,active,0,180,False,180,12,0,True,True,7,,,2020-07-11 23:29:05,2020
156,True,0,2020-07-11 23:27:19+00:00,active,0,181,False,181,11,0,True,True,8,,,2020-07-11 23:29:05,2020
157,True,1,2020-07-11 23:27:48+00:00,active,0,182,True,182,18,0,True,True,0,,,2020-07-11 23:29:05,2020
158,True,0,2020-07-11 22:53:04+00:00,active,0,183,False,183,19,0,True,True,0,,,2020-07-11 23:29:05,2020
159,True,0,2020-07-11 23:16:26+00:00,active,0,184,False,184,5,0,True,True,14,,,2020-07-11 23:29:05,2020
160,True,0,2020-07-11 23:17:16+00:00,active,0,185,False,185,14,0,True,True,1,,,2020-07-11 23:29:05,2020
161,True,0,2020-07-11 23:27:42+00:00,active,0,186,True,186,3,0,True,True,12,,,2020-07-11 23:29:05,2020
162,True,0,2020-07-11 23:08:01+00:00,active,0,187,False,187,12,0,True,True,3,,,2020-07-11 23:29:05,2020
163,True,0,2020-07-11 23:24:17+00:00,active,0,188,False,188,13,0,True,True,2,,,2020-07-11 23:29:05,2020
164,True,0,2020-07-11 23:02:12+00:00,active,0,189,True,189,22,0,True,True,1,,,2020-07-11 23:29:05,2020
165,True,3,2020-07-11 23:20:57+00:00,active,0,190,True,190,34,0,True,True,0,,,2020-07-11 23:29:05,2020
166,True,0,2020-07-11 23:04:42+00:00,active,0,191,False,191,5,0,True,True,10,,,2020-07-11 23:29:05,2020
167,True,0,2020-07-11 23:20:39+00:00,active,0,192,False,192,10,0,True,True,9,,,2020-07-11 23:29:05,2020
168,True,0,2020-07-11 23:26:52+00:00,active,0,193,True,193,10,0,True,True,5,,,2020-07-11 23:29:05,2020
169,True,0,2020-07-11 22:16:11+00:00,active,0,194,False,194,5,0,True,True,14,,,2020-07-11 23:29:05,2020
170,True,0,2020-07-11 23:21:39+00:00,active,0,195,False,195,16,0,True,True,7,,,2020-07-11 23:29:05,2020
171,True,0,2020-07-11 23:08:43+00:00,active,0,196,True,196,9,0,True,True,1,,,2020-07-11 23:29:05,2020
172,True,0,2020-07-11 20:03:49+00:00,active,0,197,False,197,2,0,True,True,13,,,2020-07-11 23:29:05,2020
173,True,0,2020-07-11 19:14:43+00:00,active,0,199,False,199,2,0,True,True,13,,,2020-07-11 23:29:05,2020
174,True,2,2020-07-11 22:17:27+00:00,active,0,200,False,200,10,0,True,True,7,,,2020-07-11 23:29:05,2020
175,True,0,2020-07-11 22:19:38+00:00,active,0,201,False,201,11,0,True,True,4,,,2020-07-11 23:29:05,2020
176,True,0,2020-07-11 23:25:59+00:00,active,0,202,False,202,10,0,True,True,5,,,2020-07-11 23:29:05,2020
177,True,0,2020-07-11 19:00:03+00:00,active,0,203,False,203,0,0,True,True,15,,,2020-07-11 23:29:05,2020
178,True,0,2020-07-11 10:52:08+00:00,active,0,204,False,204,5,0,True,True,10,,,2020-07-11 23:29:05,2020
179,True,0,2020-07-11 22:31:46+00:00,active,0,205,False,205,1,0,True,True,14,,,2020-07-11 23:29:05,2020
180,True,0,2020-07-11 23:20:27+00:00,active,0,206,True,206,22,0,True,True,1,,,2020-07-11 23:29:05,2020
181,True,0,2020-07-11 21:07:53+00:00,active,0,208,True,208,9,0,True,True,6,,,2020-07-11 23:29:05,2020
182,True,0,2020-07-11 18:48:01+00:00,active,0,209,False,209,5,0,True,True,10,,,2020-07-11 23:29:05,2020
183,True,0,2020-07-11 23:15:19+00:00,active,0,210,False,210,14,0,True,True,1,,,2020-07-11 23:29:05,2020
184,True,1,2020-07-11 23:05:07+00:00,active,0,211,False,211,10,0,True,True,8,,,2020-07-11 23:29:05,2020
185,True,0,2020-07-11 23:25:04+00:00,active,0,212,False,212,30,0,True,True,3,,,2020-07-11 23:29:05,2020
186,True,0,2020-07-11 18:25:54+00:00,active,0,213,True,213,16,0,True,True,0,,,2020-07-11 23:29:05,2020
187,True,0,2020-07-11 23:23:55+00:00,active,0,214,False,214,8,0,True,True,7,,,2020-07-11 23:29:05,2020
188,True,1,2020-07-11 23:25:24+00:00,active,0,215,False,215,7,0,True,True,7,,,2020-07-11 23:29:05,2020
189,True,0,2020-07-11 23:23:57+00:00,active,0,216,False,216,5,0,True,True,14,,,2020-07-11 23:29:05,2020
190,True,0,2020-07-11 23:28:23+00:00,active,0,217,False,217,2,0,True,True,17,,,2020-07-11 23:29:05,2020
191,True,0,2020-07-11 23:28:46+00:00,active,0,218,False,218,1,0,True,True,14,,,2020-07-11 23:29:05,2020
192,True,0,2020-07-11 20:27:29+00:00,active,0,219,False,219,14,0,True,True,1,,,2020-07-11 23:29:05,2020
193,True,0,2020-07-11 23:22:39+00:00,active,0,221,False,221,19,0,True,True,0,,,2020-07-11 23:29:05,2020
194,True,0,2020-07-11 22:19:05+00:00,active,0,222,True,222,5,0,True,True,9,,,2020-07-11 23:29:05,2020
195,True,0,2020-07-11 23:20:45+00:00,active,0,224,False,224,12,0,True,True,5,,,2020-07-11 23:29:05,2020
196,True,1,2020-07-11 23:01:17+00:00,active,0,225,False,225,6,0,True,True,12,,,2020-07-11 23:29:05,2020
197,True,0,2020-07-11 23:25:54+00:00,active,0,226,False,226,12,0,True,True,3,,,2020-07-11 23:29:05,2020
