,is_renting,station_id,num_bikes_disabled,is_installed,legacy_id,is_returning,station_status,eightd_has_available_keys,num_docks_available,last_reported,num_bikes_available,num_docks_disabled,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
136,True,156,1,True,156,True,active,False,7,2020-08-20 15:08:36+00:00,7,0,0,,,2020-08-20 15:12:40,2020
137,True,157,0,True,157,True,active,False,3,2020-08-20 14:40:31+00:00,12,0,0,,,2020-08-20 15:12:40,2020
138,True,159,0,True,159,True,active,False,14,2020-08-20 15:07:33+00:00,1,0,0,,,2020-08-20 15:12:40,2020
139,True,160,0,True,160,True,active,True,7,2020-08-20 14:58:38+00:00,7,0,0,,,2020-08-20 15:12:40,2020
140,True,161,1,True,161,True,active,True,10,2020-08-20 15:12:20+00:00,12,0,0,,,2020-08-20 15:12:40,2020
141,True,162,0,True,162,True,active,False,8,2020-08-20 13:50:21+00:00,7,0,0,,,2020-08-20 15:12:40,2020
142,True,163,0,True,163,True,active,True,6,2020-08-20 15:02:01+00:00,13,0,0,,,2020-08-20 15:12:40,2020
143,True,167,0,True,167,True,active,False,8,2020-08-20 14:10:20+00:00,7,0,0,,,2020-08-20 15:12:40,2020
144,True,169,0,True,169,True,active,False,19,2020-08-20 13:48:17+00:00,0,0,0,,,2020-08-20 15:12:40,2020
145,True,170,0,True,170,True,active,True,5,2020-08-20 08:35:44+00:00,9,0,0,,,2020-08-20 15:12:40,2020
146,True,171,0,True,171,True,active,True,18,2020-08-20 14:32:12+00:00,5,0,0,,,2020-08-20 15:12:40,2020
147,True,173,0,True,173,True,active,True,8,2020-08-20 14:30:48+00:00,6,0,0,,,2020-08-20 15:12:40,2020
148,True,174,1,True,174,True,active,False,8,2020-08-20 14:41:45+00:00,6,0,0,,,2020-08-20 15:12:40,2020
149,True,175,2,True,175,True,active,True,9,2020-08-20 14:11:50+00:00,6,0,0,,,2020-08-20 15:12:40,2020
150,True,176,0,True,176,True,active,False,7,2020-08-20 14:44:24+00:00,8,0,0,,,2020-08-20 15:12:40,2020
151,True,177,1,True,177,True,active,False,12,2020-08-20 14:32:59+00:00,6,0,0,,,2020-08-20 15:12:40,2020
152,True,178,1,True,178,True,active,False,8,2020-08-20 15:06:54+00:00,10,0,0,,,2020-08-20 15:12:40,2020
153,True,179,1,True,179,True,active,False,17,2020-08-20 15:10:28+00:00,7,0,0,,,2020-08-20 15:12:40,2020
154,True,180,0,True,180,True,active,False,3,2020-08-20 11:37:52+00:00,16,0,0,,,2020-08-20 15:12:40,2020
155,True,181,0,True,181,True,active,False,16,2020-08-20 12:54:28+00:00,3,0,0,,,2020-08-20 15:12:40,2020
156,True,182,0,True,182,True,active,True,15,2020-08-20 12:49:48+00:00,4,0,0,,,2020-08-20 15:12:40,2020
157,True,183,0,True,183,True,active,False,11,2020-08-20 14:29:35+00:00,8,0,0,,,2020-08-20 15:12:40,2020
158,True,184,0,True,184,True,active,False,10,2020-08-20 14:51:58+00:00,9,0,0,,,2020-08-20 15:12:40,2020
159,True,185,1,True,185,True,active,False,12,2020-08-20 15:06:26+00:00,2,0,0,,,2020-08-20 15:12:40,2020
160,True,186,0,True,186,True,active,True,9,2020-08-20 14:34:25+00:00,6,0,0,,,2020-08-20 15:12:40,2020
161,True,187,0,True,187,True,active,False,12,2020-08-20 14:55:18+00:00,3,0,0,,,2020-08-20 15:12:40,2020
162,True,188,0,True,188,True,active,False,4,2020-08-20 14:07:31+00:00,11,0,0,,,2020-08-20 15:12:40,2020
163,True,189,0,True,189,True,active,True,19,2020-08-20 15:01:47+00:00,4,0,0,,,2020-08-20 15:12:40,2020
164,True,190,1,True,190,True,active,True,25,2020-08-20 14:59:50+00:00,11,0,0,,,2020-08-20 15:12:40,2020
165,True,191,0,True,191,True,active,False,15,2020-08-20 12:37:05+00:00,0,0,0,,,2020-08-20 15:12:40,2020
166,True,192,0,True,192,True,active,False,8,2020-08-20 15:07:27+00:00,11,0,0,,,2020-08-20 15:12:40,2020
167,True,193,0,True,193,True,active,True,13,2020-08-20 13:49:28+00:00,2,0,0,,,2020-08-20 15:12:40,2020
168,True,194,0,True,194,True,active,False,14,2020-08-20 14:16:46+00:00,5,0,0,,,2020-08-20 15:12:40,2020
169,True,195,0,True,195,True,active,False,22,2020-08-20 14:50:29+00:00,1,0,0,,,2020-08-20 15:12:40,2020
170,True,196,0,True,196,True,active,False,10,2020-08-20 08:35:06+00:00,0,0,0,,,2020-08-20 15:12:40,2020
171,True,197,1,True,197,True,active,False,7,2020-08-20 12:09:36+00:00,7,0,0,,,2020-08-20 15:12:40,2020
172,True,199,0,True,199,True,active,False,7,2020-08-20 14:19:54+00:00,8,0,0,,,2020-08-20 15:12:40,2020
173,True,200,0,True,200,True,active,False,7,2020-08-20 15:06:47+00:00,12,0,0,,,2020-08-20 15:12:40,2020
174,True,201,0,True,201,True,active,False,11,2020-08-20 12:47:08+00:00,4,0,0,,,2020-08-20 15:12:40,2020
175,True,202,0,True,202,True,active,False,13,2020-08-20 14:09:56+00:00,2,0,0,,,2020-08-20 15:12:40,2020
176,True,203,1,True,203,True,active,False,8,2020-08-20 08:45:01+00:00,6,0,0,,,2020-08-20 15:12:40,2020
177,True,204,0,True,204,True,active,False,9,2020-08-20 14:47:14+00:00,6,0,0,,,2020-08-20 15:12:40,2020
178,True,205,0,True,205,True,active,False,14,2020-08-20 11:38:19+00:00,1,0,0,,,2020-08-20 15:12:40,2020
179,True,206,0,True,206,True,active,True,8,2020-08-20 13:23:46+00:00,15,0,0,,,2020-08-20 15:12:40,2020
180,True,208,0,True,208,True,active,True,3,2020-08-20 14:43:44+00:00,12,0,0,,,2020-08-20 15:12:40,2020
181,True,209,1,True,209,True,active,False,1,2020-08-20 14:43:40+00:00,13,0,0,,,2020-08-20 15:12:40,2020
182,True,210,1,True,210,True,active,False,12,2020-08-20 09:06:47+00:00,2,0,0,,,2020-08-20 15:12:40,2020
183,True,211,0,True,211,True,active,False,10,2020-08-20 14:16:42+00:00,9,0,0,,,2020-08-20 15:12:40,2020
184,True,212,0,True,212,True,active,False,25,2020-08-20 15:02:08+00:00,8,0,0,,,2020-08-20 15:12:40,2020
185,True,213,0,True,213,True,active,True,15,2020-08-20 15:02:43+00:00,1,0,0,,,2020-08-20 15:12:40,2020
186,True,214,0,True,214,True,active,False,9,2020-08-20 14:54:18+00:00,6,0,0,,,2020-08-20 15:12:40,2020
187,True,215,2,True,215,True,active,False,3,2020-08-20 13:40:57+00:00,10,0,0,,,2020-08-20 15:12:40,2020
188,True,216,0,True,216,True,active,False,8,2020-08-20 11:05:27+00:00,11,0,0,,,2020-08-20 15:12:40,2020
189,True,217,0,True,217,True,active,False,16,2020-08-20 15:02:02+00:00,3,0,0,,,2020-08-20 15:12:40,2020
190,True,218,0,True,218,True,active,False,15,2020-08-20 14:54:53+00:00,0,0,0,,,2020-08-20 15:12:40,2020
191,True,219,0,True,219,True,active,False,13,2020-08-20 09:16:47+00:00,2,0,0,,,2020-08-20 15:12:40,2020
192,True,221,2,True,221,True,active,False,11,2020-08-20 14:46:19+00:00,6,0,0,,,2020-08-20 15:12:40,2020
193,True,222,1,True,222,True,active,True,10,2020-08-20 14:54:47+00:00,3,0,0,,,2020-08-20 15:12:40,2020
194,True,224,2,True,224,True,active,False,6,2020-08-20 14:31:23+00:00,9,0,0,,,2020-08-20 15:12:40,2020
195,True,225,2,True,225,True,active,False,9,2020-08-20 15:10:57+00:00,8,0,0,,,2020-08-20 15:12:40,2020
196,True,226,0,True,226,True,active,False,7,2020-08-20 14:57:13+00:00,8,0,0,,,2020-08-20 15:12:40,2020
197,True,227,0,True,227,True,active,False,9,2020-08-20 15:09:45+00:00,10,0,0,,,2020-08-20 15:12:40,2020
198,True,228,0,True,228,True,active,False,18,2020-08-20 15:02:44+00:00,1,0,0,,,2020-08-20 15:12:40,2020
199,True,232,0,True,232,True,active,False,9,2020-08-20 08:55:09+00:00,2,0,0,,,2020-08-20 15:12:40,2020
200,True,233,0,True,233,True,active,False,0,2020-08-20 14:07:15+00:00,15,0,0,,,2020-08-20 15:12:40,2020
201,True,234,0,True,234,True,active,False,11,2020-08-20 13:31:47+00:00,4,0,0,,,2020-08-20 15:12:40,2020
202,True,235,0,True,235,True,active,False,7,2020-08-20 14:59:25+00:00,8,0,0,,,2020-08-20 15:12:40,2020
203,True,236,0,True,236,True,active,False,0,2020-08-20 14:49:19+00:00,15,0,0,,,2020-08-20 15:12:40,2020
204,True,239,1,True,239,True,active,False,10,2020-08-20 15:11:39+00:00,4,0,0,,,2020-08-20 15:12:40,2020
205,True,255,0,True,255,True,active,False,9,2020-08-19 14:52:54+00:00,6,0,0,,,2020-08-20 15:12:40,2020
206,True,258,0,True,258,True,active,False,5,2020-08-20 14:05:52+00:00,10,0,0,,,2020-08-20 15:12:40,2020
207,True,259,0,True,259,True,active,False,6,2020-08-20 08:49:49+00:00,9,0,0,,,2020-08-20 15:12:40,2020
208,True,260,0,True,260,True,active,False,9,2020-08-20 14:50:42+00:00,6,0,0,,,2020-08-20 15:12:40,2020
209,True,271,0,True,271,True,active,False,9,2020-08-20 13:58:59+00:00,6,0,0,,,2020-08-20 15:12:40,2020
210,True,272,0,True,272,True,active,False,9,2020-08-20 08:59:48+00:00,10,0,0,,,2020-08-20 15:12:40,2020
211,True,273,0,True,273,True,active,False,9,2020-08-20 15:10:20+00:00,31,0,0,,,2020-08-20 15:12:40,2020
212,True,279,0,True,279,True,active,False,3,2020-08-20 13:52:45+00:00,16,0,0,,,2020-08-20 15:12:40,2020
213,True,280,0,True,280,True,active,False,17,2020-08-20 13:55:31+00:00,2,0,0,,,2020-08-20 15:12:40,2020
