,eightd_has_available_keys,num_docks_disabled,is_renting,num_docks_available,is_installed,num_ebikes_available,legacy_id,last_reported,is_returning,station_status,num_bikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
135,True,0,True,5,True,0,152,2020-07-29 20:12:38+00:00,True,active,10,152,0,,,2020-07-29 20:17:20,2020
136,False,0,True,10,True,0,156,2020-07-29 20:16:34+00:00,True,active,5,156,0,,,2020-07-29 20:17:20,2020
137,False,0,True,11,True,0,157,2020-07-29 19:50:57+00:00,True,active,3,157,1,,,2020-07-29 20:17:20,2020
138,False,0,True,8,True,0,159,2020-07-29 19:38:59+00:00,True,active,5,159,2,,,2020-07-29 20:17:20,2020
139,True,0,True,11,True,0,160,2020-07-29 19:14:28+00:00,True,active,3,160,0,,,2020-07-29 20:17:20,2020
140,True,0,True,9,True,0,161,2020-07-29 20:11:44+00:00,True,active,14,161,0,,,2020-07-29 20:17:20,2020
141,False,0,True,12,True,0,162,2020-07-29 19:38:03+00:00,True,active,3,162,0,,,2020-07-29 20:17:20,2020
142,True,0,True,12,True,0,163,2020-07-29 20:01:59+00:00,True,active,7,163,0,,,2020-07-29 20:17:20,2020
143,False,0,True,3,True,0,167,2020-07-29 19:56:18+00:00,True,active,10,167,2,,,2020-07-29 20:17:20,2020
144,False,0,True,10,True,0,169,2020-07-29 19:53:08+00:00,True,active,9,169,0,,,2020-07-29 20:17:20,2020
145,True,0,True,13,True,0,170,2020-07-29 20:02:03+00:00,True,active,1,170,0,,,2020-07-29 20:17:20,2020
146,True,0,True,16,True,0,171,2020-07-29 14:03:30+00:00,True,active,6,171,1,,,2020-07-29 20:17:20,2020
147,True,0,True,7,True,0,173,2020-07-29 19:50:01+00:00,True,active,5,173,2,,,2020-07-29 20:17:20,2020
148,False,0,True,7,True,0,174,2020-07-29 17:37:54+00:00,True,active,8,174,0,,,2020-07-29 20:17:20,2020
149,True,0,True,13,True,0,175,2020-07-29 20:01:35+00:00,True,active,4,175,0,,,2020-07-29 20:17:20,2020
150,False,0,True,8,True,0,176,2020-07-29 20:10:02+00:00,True,active,7,176,0,,,2020-07-29 20:17:20,2020
151,False,0,True,11,True,0,177,2020-07-29 20:01:27+00:00,True,active,8,177,0,,,2020-07-29 20:17:20,2020
152,False,0,True,8,True,0,178,2020-07-29 20:16:55+00:00,True,active,10,178,1,,,2020-07-29 20:17:20,2020
153,False,0,True,11,True,0,179,2020-07-29 20:13:59+00:00,True,active,14,179,0,,,2020-07-29 20:17:20,2020
154,False,0,True,9,True,0,180,2020-07-29 17:11:09+00:00,True,active,10,180,0,,,2020-07-29 20:17:20,2020
155,False,0,True,12,True,0,181,2020-07-29 18:36:09+00:00,True,active,7,181,0,,,2020-07-29 20:17:20,2020
156,True,0,True,14,True,0,182,2020-07-29 20:13:30+00:00,True,active,5,182,0,,,2020-07-29 20:17:20,2020
157,False,0,True,10,True,0,183,2020-07-29 20:11:19+00:00,True,active,9,183,0,,,2020-07-29 20:17:20,2020
158,False,0,True,8,True,0,184,2020-07-29 20:12:02+00:00,True,active,11,184,0,,,2020-07-29 20:17:20,2020
159,False,0,True,11,True,0,185,2020-07-29 20:07:16+00:00,True,active,4,185,0,,,2020-07-29 20:17:20,2020
160,True,0,True,4,True,0,186,2020-07-29 19:21:59+00:00,True,active,11,186,0,,,2020-07-29 20:17:20,2020
161,False,0,True,6,True,0,187,2020-07-29 15:08:20+00:00,True,active,9,187,0,,,2020-07-29 20:17:20,2020
162,False,0,True,5,True,0,188,2020-07-29 15:29:37+00:00,True,active,10,188,0,,,2020-07-29 20:17:20,2020
163,True,0,True,7,True,0,189,2020-07-29 20:12:01+00:00,True,active,15,189,1,,,2020-07-29 20:17:20,2020
164,True,0,True,16,True,0,190,2020-07-29 20:14:04+00:00,True,active,20,190,1,,,2020-07-29 20:17:20,2020
165,False,0,True,13,True,0,191,2020-07-29 19:58:36+00:00,True,active,2,191,0,,,2020-07-29 20:17:20,2020
166,False,0,True,6,True,0,192,2020-07-29 20:13:25+00:00,True,active,13,192,0,,,2020-07-29 20:17:20,2020
167,True,0,True,2,True,0,193,2020-07-29 18:58:59+00:00,True,active,13,193,0,,,2020-07-29 20:17:20,2020
168,False,0,True,5,True,0,194,2020-07-29 18:11:48+00:00,True,active,14,194,0,,,2020-07-29 20:17:20,2020
169,False,0,True,12,True,0,195,2020-07-29 20:07:34+00:00,True,active,10,195,1,,,2020-07-29 20:17:20,2020
170,True,0,True,10,True,0,196,2020-07-29 14:01:29+00:00,True,active,0,196,0,,,2020-07-29 20:17:20,2020
171,False,0,True,14,True,0,197,2020-07-29 18:33:42+00:00,True,active,1,197,0,,,2020-07-29 20:17:20,2020
172,False,0,True,8,True,0,199,2020-07-29 16:57:39+00:00,True,active,7,199,0,,,2020-07-29 20:17:20,2020
173,False,0,True,8,True,0,200,2020-07-29 17:39:39+00:00,True,active,11,200,0,,,2020-07-29 20:17:20,2020
174,False,0,True,15,True,0,201,2020-07-29 12:09:09+00:00,True,active,0,201,0,,,2020-07-29 20:17:20,2020
175,False,0,True,11,True,0,202,2020-07-29 18:19:18+00:00,True,active,3,202,1,,,2020-07-29 20:17:20,2020
176,False,0,True,12,True,0,203,2020-07-29 20:08:28+00:00,True,active,3,203,0,,,2020-07-29 20:17:20,2020
177,False,0,True,13,True,0,204,2020-07-29 20:09:46+00:00,True,active,2,204,0,,,2020-07-29 20:17:20,2020
178,False,0,True,10,True,0,205,2020-07-29 18:59:24+00:00,True,active,4,205,1,,,2020-07-29 20:17:20,2020
179,False,0,True,16,True,0,206,2020-07-29 20:13:15+00:00,True,active,7,206,0,,,2020-07-29 20:17:20,2020
180,True,0,True,3,True,0,208,2020-07-29 17:21:12+00:00,True,active,12,208,0,,,2020-07-29 20:17:20,2020
181,False,0,True,2,True,0,209,2020-07-29 19:43:00+00:00,True,active,12,209,1,,,2020-07-29 20:17:20,2020
182,False,0,True,15,True,0,210,2020-07-29 19:56:23+00:00,True,active,0,210,0,,,2020-07-29 20:17:20,2020
183,False,0,True,2,True,0,211,2020-07-29 20:03:03+00:00,True,active,16,211,1,,,2020-07-29 20:17:20,2020
184,False,0,True,25,True,0,212,2020-07-29 19:58:58+00:00,True,active,8,212,0,,,2020-07-29 20:17:20,2020
185,True,0,True,5,True,0,213,2020-07-29 19:52:15+00:00,True,active,11,213,0,,,2020-07-29 20:17:20,2020
186,False,0,True,6,True,0,214,2020-07-29 20:16:54+00:00,True,active,9,214,0,,,2020-07-29 20:17:20,2020
187,False,0,True,3,True,0,215,2020-07-29 16:16:33+00:00,True,active,12,215,0,,,2020-07-29 20:17:20,2020
188,False,0,True,3,True,0,216,2020-07-29 08:24:18+00:00,True,active,15,216,1,,,2020-07-29 20:17:20,2020
189,False,0,True,14,True,0,217,2020-07-29 19:30:48+00:00,True,active,5,217,0,,,2020-07-29 20:17:20,2020
190,False,0,True,8,True,0,218,2020-07-29 19:02:08+00:00,True,active,7,218,0,,,2020-07-29 20:17:20,2020
191,False,0,True,6,True,0,219,2020-07-29 17:58:44+00:00,True,active,9,219,0,,,2020-07-29 20:17:20,2020
192,False,0,True,15,True,0,221,2020-07-29 19:55:09+00:00,True,active,4,221,0,,,2020-07-29 20:17:20,2020
193,True,0,True,9,True,0,222,2020-07-29 19:33:45+00:00,True,active,5,222,0,,,2020-07-29 20:17:20,2020
194,False,0,True,9,True,0,224,2020-07-29 19:52:23+00:00,True,active,8,224,0,,,2020-07-29 20:17:20,2020
195,False,0,True,11,True,0,225,2020-07-29 20:15:08+00:00,True,active,7,225,1,,,2020-07-29 20:17:20,2020
196,False,0,True,12,True,0,226,2020-07-29 19:59:21+00:00,True,active,3,226,0,,,2020-07-29 20:17:20,2020
197,False,0,True,8,True,0,227,2020-07-29 20:05:42+00:00,True,active,11,227,0,,,2020-07-29 20:17:20,2020
198,False,0,True,13,True,0,228,2020-07-29 17:26:31+00:00,True,active,6,228,0,,,2020-07-29 20:17:20,2020
199,False,0,True,8,True,0,232,2020-07-29 17:44:10+00:00,True,active,3,232,0,,,2020-07-29 20:17:20,2020
200,False,0,True,10,True,0,233,2020-07-29 19:51:40+00:00,True,active,4,233,1,,,2020-07-29 20:17:20,2020
201,False,0,True,11,True,0,234,2020-07-29 15:34:57+00:00,True,active,4,234,0,,,2020-07-29 20:17:20,2020
202,False,0,True,5,True,0,235,2020-07-29 18:35:55+00:00,True,active,10,235,0,,,2020-07-29 20:17:20,2020
203,False,0,True,10,True,0,236,2020-07-29 20:11:20+00:00,True,active,4,236,1,,,2020-07-29 20:17:20,2020
204,False,0,True,12,True,0,239,2020-07-29 17:09:38+00:00,True,active,3,239,0,,,2020-07-29 20:17:20,2020
205,False,0,True,4,True,0,255,2020-07-29 17:50:43+00:00,True,active,11,255,0,,,2020-07-29 20:17:20,2020
206,False,0,True,7,True,0,258,2020-07-29 12:20:53+00:00,True,active,8,258,0,,,2020-07-29 20:17:20,2020
207,False,0,True,15,True,0,259,2020-07-29 10:42:10+00:00,True,active,0,259,0,,,2020-07-29 20:17:20,2020
208,False,0,True,1,True,0,260,2020-07-29 19:14:18+00:00,True,active,11,260,3,,,2020-07-29 20:17:20,2020
209,False,0,True,14,True,0,271,2020-07-29 17:00:13+00:00,True,active,0,271,1,,,2020-07-29 20:17:20,2020
210,False,0,True,5,True,0,272,2020-07-29 20:09:56+00:00,True,active,12,272,2,,,2020-07-29 20:17:20,2020
211,False,0,True,9,True,0,273,2020-07-29 19:35:44+00:00,True,active,30,273,1,,,2020-07-29 20:17:20,2020
212,False,0,True,10,True,0,279,2020-07-29 19:25:09+00:00,True,active,9,279,0,,,2020-07-29 20:17:20,2020
213,False,0,True,16,True,0,280,2020-07-29 20:05:28+00:00,True,active,3,280,0,,,2020-07-29 20:17:20,2020
