,is_returning,last_reported,station_id,eightd_has_available_keys,num_bikes_available,num_ebikes_available,num_docks_available,is_renting,legacy_id,station_status,num_docks_disabled,num_bikes_disabled,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
195,True,2020-08-15 21:09:41+00:00,225,False,5,0,13,True,225,active,0,1,True,,,2020-08-15 21:19:05,2020
196,True,2020-08-15 21:12:46+00:00,226,False,0,0,15,True,226,active,0,0,True,,,2020-08-15 21:19:05,2020
197,True,2020-08-15 21:14:26+00:00,227,False,15,0,3,True,227,active,0,1,True,,,2020-08-15 21:19:05,2020
198,True,2020-08-15 21:02:43+00:00,228,False,4,0,14,True,228,active,0,1,True,,,2020-08-15 21:19:05,2020
199,True,2020-08-15 17:01:48+00:00,232,False,3,0,8,True,232,active,0,0,True,,,2020-08-15 21:19:05,2020
200,True,2020-08-15 21:16:28+00:00,233,False,4,0,10,True,233,active,0,1,True,,,2020-08-15 21:19:05,2020
201,True,2020-08-15 21:09:39+00:00,234,False,1,0,13,True,234,active,0,1,True,,,2020-08-15 21:19:05,2020
202,True,2020-08-15 19:41:34+00:00,235,False,13,0,2,True,235,active,0,0,True,,,2020-08-15 21:19:05,2020
203,True,2020-08-15 21:17:20+00:00,236,False,11,0,4,True,236,active,0,0,True,,,2020-08-15 21:19:05,2020
204,True,2020-08-15 20:28:35+00:00,239,False,8,0,6,True,239,active,0,1,True,,,2020-08-15 21:19:05,2020
205,True,2020-08-15 14:15:01+00:00,255,False,11,0,4,True,255,active,0,0,True,,,2020-08-15 21:19:05,2020
206,True,2020-08-15 20:38:05+00:00,258,False,5,0,10,True,258,active,0,0,True,,,2020-08-15 21:19:05,2020
207,True,2020-08-15 14:02:58+00:00,259,False,11,0,4,True,259,active,0,0,True,,,2020-08-15 21:19:05,2020
208,True,2020-08-15 19:54:43+00:00,260,False,13,0,2,True,260,active,0,0,True,,,2020-08-15 21:19:05,2020
209,True,2020-08-15 20:49:38+00:00,271,False,7,0,8,True,271,active,0,0,True,,,2020-08-15 21:19:05,2020
210,True,2020-08-15 21:03:51+00:00,272,False,5,0,14,True,272,active,0,0,True,,,2020-08-15 21:19:05,2020
211,True,2020-08-15 21:17:20+00:00,273,False,19,0,21,True,273,active,0,0,True,,,2020-08-15 21:19:05,2020
212,True,2020-08-15 21:00:49+00:00,279,False,14,0,5,True,279,active,0,0,True,,,2020-08-15 21:19:05,2020
213,True,2020-08-15 21:02:22+00:00,280,False,6,0,13,True,280,active,0,0,True,,,2020-08-15 21:19:05,2020
214,True,2020-08-15 21:04:39+00:00,282,False,14,0,0,True,282,active,0,1,True,,,2020-08-15 21:19:05,2020
