,is_installed,num_bikes_available,last_reported,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_returning,station_id,station_status,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
244,True,12,2020-07-29 23:34:02+00:00,True,0,353,0,True,3,True,353,active,0,,,2020-07-30 18:37:05,2020
245,True,0,2020-07-30 17:27:10+00:00,True,0,354,0,False,15,True,354,active,0,,,2020-07-30 18:37:05,2020
246,True,11,2020-07-30 12:36:50+00:00,True,0,355,0,False,6,True,355,active,0,,,2020-07-30 18:37:05,2020
247,True,16,2020-07-30 17:13:38+00:00,True,0,356,0,False,7,True,356,active,0,,,2020-07-30 18:37:05,2020
248,True,11,2020-07-30 18:32:37+00:00,True,0,357,0,False,4,True,357,active,0,,,2020-07-30 18:37:05,2020
249,True,4,2020-07-30 18:22:01+00:00,True,0,358,0,False,15,True,358,active,0,,,2020-07-30 18:37:05,2020
250,True,3,2020-07-30 18:24:50+00:00,True,0,359,0,False,12,True,359,active,0,,,2020-07-30 18:37:05,2020
251,True,4,2020-07-30 18:18:10+00:00,True,0,360,0,False,11,True,360,active,0,,,2020-07-30 18:37:05,2020
252,True,5,2020-07-30 18:28:01+00:00,True,0,361,0,False,14,True,361,active,0,,,2020-07-30 18:37:05,2020
253,True,0,2020-07-30 18:11:14+00:00,True,0,362,0,False,19,True,362,active,0,,,2020-07-30 18:37:05,2020
254,True,9,2020-07-30 18:26:21+00:00,True,0,363,0,False,10,True,363,active,0,,,2020-07-30 18:37:05,2020
255,True,4,2020-07-30 18:26:54+00:00,True,0,364,0,False,13,True,364,active,2,,,2020-07-30 18:37:05,2020
256,True,2,2020-07-30 17:21:45+00:00,True,0,365,0,False,17,True,365,active,0,,,2020-07-30 18:37:05,2020
257,True,11,2020-07-30 18:16:26+00:00,True,0,366,0,False,4,True,366,active,0,,,2020-07-30 18:37:05,2020
258,True,17,2020-07-30 16:48:42+00:00,True,0,367,0,False,2,True,367,active,0,,,2020-07-30 18:37:05,2020
259,True,1,2020-07-30 17:07:43+00:00,True,0,368,0,False,14,True,368,active,0,,,2020-07-30 18:37:05,2020
260,True,7,2020-07-30 18:26:15+00:00,True,0,369,0,False,8,True,369,active,0,,,2020-07-30 18:37:05,2020
261,True,9,2020-07-30 18:34:00+00:00,True,0,370,0,False,10,True,370,active,0,,,2020-07-30 18:37:05,2020
262,True,8,2020-07-30 11:55:47+00:00,True,0,371,0,False,11,True,371,active,0,,,2020-07-30 18:37:05,2020
263,True,13,2020-07-30 18:28:34+00:00,True,0,372,0,False,6,True,372,active,0,,,2020-07-30 18:37:05,2020
264,True,9,2020-07-30 08:13:12+00:00,True,0,373,0,False,6,True,373,active,0,,,2020-07-30 18:37:05,2020
265,True,6,2020-07-30 18:07:13+00:00,True,0,374,0,False,13,True,374,active,0,,,2020-07-30 18:37:05,2020
266,True,13,2020-07-30 17:57:53+00:00,True,0,376,0,False,2,True,376,active,0,,,2020-07-30 18:37:05,2020
267,True,14,2020-07-30 14:56:57+00:00,True,0,377,0,False,5,True,377,active,0,,,2020-07-30 18:37:05,2020
268,True,3,2020-07-30 18:30:28+00:00,True,0,378,0,False,15,True,378,active,1,,,2020-07-30 18:37:05,2020
269,True,2,2020-07-30 18:36:45+00:00,True,0,379,0,False,13,True,379,active,0,,,2020-07-30 18:37:05,2020
270,True,14,2020-07-30 18:33:49+00:00,True,0,380,0,False,3,True,380,active,1,,,2020-07-30 18:37:05,2020
271,True,9,2020-07-30 18:12:49+00:00,True,0,381,0,False,10,True,381,active,0,,,2020-07-30 18:37:05,2020
272,True,16,2020-07-30 18:22:33+00:00,True,0,384,0,True,3,True,384,active,0,,,2020-07-30 18:37:05,2020
273,True,10,2020-07-30 17:29:21+00:00,True,0,385,1,False,4,True,385,active,0,,,2020-07-30 18:37:05,2020
274,True,8,2020-07-30 18:11:10+00:00,False,0,386,0,False,11,False,386,active,0,,,2020-07-30 18:37:05,2020
275,True,10,2020-07-30 17:53:02+00:00,True,0,387,0,False,5,True,387,active,0,,,2020-07-30 18:37:05,2020
276,True,3,2020-07-29 08:59:07+00:00,True,0,388,0,False,8,True,388,active,0,,,2020-07-30 18:37:05,2020
277,True,12,2020-07-30 16:33:56+00:00,True,0,389,0,False,2,True,389,active,0,,,2020-07-30 18:37:05,2020
278,True,13,2020-07-30 08:55:07+00:00,True,0,390,0,False,2,True,390,active,0,,,2020-07-30 18:37:05,2020
279,True,12,2020-07-30 08:01:34+00:00,True,0,391,0,False,3,True,391,active,0,,,2020-07-30 18:37:05,2020
280,True,3,2020-07-30 17:58:41+00:00,True,0,392,0,False,12,True,392,active,0,,,2020-07-30 18:37:05,2020
281,True,6,2020-07-30 08:56:58+00:00,True,0,393,0,False,9,True,393,active,0,,,2020-07-30 18:37:05,2020
282,True,0,2020-07-30 16:32:03+00:00,True,0,394,0,False,14,True,394,active,0,,,2020-07-30 18:37:05,2020
