,last_reported,num_ebikes_available,num_docks_available,legacy_id,station_status,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,station_id,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
145,2020-07-11 22:57:31+00:00,0,17,169,active,0,True,True,True,False,169,0,2,,,2020-07-11 23:27:55,2020
146,2020-07-11 17:31:39+00:00,0,14,170,active,0,True,True,True,True,170,0,0,,,2020-07-11 23:27:55,2020
147,2020-07-11 23:22:35+00:00,0,13,171,active,0,True,True,True,True,171,0,10,,,2020-07-11 23:27:55,2020
148,2020-07-11 23:04:12+00:00,0,6,173,active,0,True,True,True,True,173,0,8,,,2020-07-11 23:27:55,2020
149,2020-07-11 22:01:21+00:00,0,8,174,active,0,True,True,True,False,174,0,7,,,2020-07-11 23:27:55,2020
150,2020-07-11 23:17:01+00:00,0,15,175,active,0,True,True,True,True,175,1,1,,,2020-07-11 23:27:55,2020
151,2020-07-11 23:25:36+00:00,0,6,176,active,0,True,True,True,False,176,0,9,,,2020-07-11 23:27:55,2020
152,2020-07-11 23:22:59+00:00,0,17,177,active,0,True,True,True,False,177,0,2,,,2020-07-11 23:27:55,2020
153,2020-07-11 23:20:24+00:00,0,8,178,active,0,True,True,True,False,178,0,11,,,2020-07-11 23:27:55,2020
154,2020-07-11 23:21:16+00:00,0,12,179,active,0,True,True,True,False,179,0,13,,,2020-07-11 23:27:55,2020
155,2020-07-11 23:16:32+00:00,0,12,180,active,0,True,True,True,False,180,0,7,,,2020-07-11 23:27:55,2020
156,2020-07-11 23:27:19+00:00,0,11,181,active,0,True,True,True,False,181,0,8,,,2020-07-11 23:27:55,2020
157,2020-07-11 23:24:43+00:00,0,17,182,active,0,True,True,True,True,182,1,1,,,2020-07-11 23:27:55,2020
158,2020-07-11 22:53:04+00:00,0,19,183,active,0,True,True,True,False,183,0,0,,,2020-07-11 23:27:55,2020
159,2020-07-11 23:16:26+00:00,0,5,184,active,0,True,True,True,False,184,0,14,,,2020-07-11 23:27:55,2020
160,2020-07-11 23:17:16+00:00,0,14,185,active,0,True,True,True,False,185,0,1,,,2020-07-11 23:27:55,2020
161,2020-07-11 23:27:42+00:00,0,3,186,active,0,True,True,True,True,186,0,12,,,2020-07-11 23:27:55,2020
162,2020-07-11 23:08:01+00:00,0,12,187,active,0,True,True,True,False,187,0,3,,,2020-07-11 23:27:55,2020
163,2020-07-11 23:24:17+00:00,0,13,188,active,0,True,True,True,False,188,0,2,,,2020-07-11 23:27:55,2020
164,2020-07-11 23:02:12+00:00,0,22,189,active,0,True,True,True,True,189,0,1,,,2020-07-11 23:27:55,2020
165,2020-07-11 23:20:57+00:00,0,34,190,active,0,True,True,True,True,190,3,0,,,2020-07-11 23:27:55,2020
166,2020-07-11 23:04:42+00:00,0,5,191,active,0,True,True,True,False,191,0,10,,,2020-07-11 23:27:55,2020
167,2020-07-11 23:20:39+00:00,0,10,192,active,0,True,True,True,False,192,0,9,,,2020-07-11 23:27:55,2020
168,2020-07-11 23:26:52+00:00,0,10,193,active,0,True,True,True,True,193,0,5,,,2020-07-11 23:27:55,2020
169,2020-07-11 22:16:11+00:00,0,5,194,active,0,True,True,True,False,194,0,14,,,2020-07-11 23:27:55,2020
170,2020-07-11 23:21:39+00:00,0,16,195,active,0,True,True,True,False,195,0,7,,,2020-07-11 23:27:55,2020
171,2020-07-11 23:08:43+00:00,0,9,196,active,0,True,True,True,True,196,0,1,,,2020-07-11 23:27:55,2020
172,2020-07-11 20:03:49+00:00,0,2,197,active,0,True,True,True,False,197,0,13,,,2020-07-11 23:27:55,2020
173,2020-07-11 19:14:43+00:00,0,2,199,active,0,True,True,True,False,199,0,13,,,2020-07-11 23:27:55,2020
174,2020-07-11 22:17:27+00:00,0,10,200,active,0,True,True,True,False,200,2,7,,,2020-07-11 23:27:55,2020
175,2020-07-11 22:19:38+00:00,0,11,201,active,0,True,True,True,False,201,0,4,,,2020-07-11 23:27:55,2020
176,2020-07-11 23:25:59+00:00,0,10,202,active,0,True,True,True,False,202,0,5,,,2020-07-11 23:27:55,2020
177,2020-07-11 19:00:03+00:00,0,0,203,active,0,True,True,True,False,203,0,15,,,2020-07-11 23:27:55,2020
178,2020-07-11 10:52:08+00:00,0,5,204,active,0,True,True,True,False,204,0,10,,,2020-07-11 23:27:55,2020
179,2020-07-11 22:31:46+00:00,0,1,205,active,0,True,True,True,False,205,0,14,,,2020-07-11 23:27:55,2020
180,2020-07-11 23:20:27+00:00,0,22,206,active,0,True,True,True,True,206,0,1,,,2020-07-11 23:27:55,2020
181,2020-07-11 21:07:53+00:00,0,9,208,active,0,True,True,True,True,208,0,6,,,2020-07-11 23:27:55,2020
182,2020-07-11 18:48:01+00:00,0,5,209,active,0,True,True,True,False,209,0,10,,,2020-07-11 23:27:55,2020
183,2020-07-11 23:15:19+00:00,0,14,210,active,0,True,True,True,False,210,0,1,,,2020-07-11 23:27:55,2020
184,2020-07-11 23:05:07+00:00,0,10,211,active,0,True,True,True,False,211,1,8,,,2020-07-11 23:27:55,2020
185,2020-07-11 23:25:04+00:00,0,30,212,active,0,True,True,True,False,212,0,3,,,2020-07-11 23:27:55,2020
186,2020-07-11 18:25:54+00:00,0,16,213,active,0,True,True,True,True,213,0,0,,,2020-07-11 23:27:55,2020
187,2020-07-11 23:23:55+00:00,0,8,214,active,0,True,True,True,False,214,0,7,,,2020-07-11 23:27:55,2020
188,2020-07-11 23:25:24+00:00,0,7,215,active,0,True,True,True,False,215,1,7,,,2020-07-11 23:27:55,2020
189,2020-07-11 23:23:57+00:00,0,5,216,active,0,True,True,True,False,216,0,14,,,2020-07-11 23:27:55,2020
190,2020-07-11 23:24:18+00:00,0,1,217,active,0,True,True,True,False,217,0,18,,,2020-07-11 23:27:55,2020
191,2020-07-11 23:26:28+00:00,0,0,218,active,0,True,True,True,False,218,0,15,,,2020-07-11 23:27:55,2020
192,2020-07-11 20:27:29+00:00,0,14,219,active,0,True,True,True,False,219,0,1,,,2020-07-11 23:27:55,2020
193,2020-07-11 23:22:39+00:00,0,19,221,active,0,True,True,True,False,221,0,0,,,2020-07-11 23:27:55,2020
194,2020-07-11 22:19:05+00:00,0,5,222,active,0,True,True,True,True,222,0,9,,,2020-07-11 23:27:55,2020
195,2020-07-11 23:20:45+00:00,0,12,224,active,0,True,True,True,False,224,0,5,,,2020-07-11 23:27:55,2020
196,2020-07-11 23:01:17+00:00,0,6,225,active,0,True,True,True,False,225,1,12,,,2020-07-11 23:27:55,2020
197,2020-07-11 23:25:54+00:00,0,12,226,active,0,True,True,True,False,226,0,3,,,2020-07-11 23:27:55,2020
198,2020-07-11 23:26:17+00:00,0,10,227,active,0,True,True,True,False,227,1,8,,,2020-07-11 23:27:55,2020
199,2020-07-11 22:45:33+00:00,0,17,228,active,0,True,True,True,False,228,1,1,,,2020-07-11 23:27:55,2020
200,2020-07-11 23:13:18+00:00,0,7,232,active,0,True,True,True,False,232,1,3,,,2020-07-11 23:27:55,2020
201,2020-07-11 23:21:55+00:00,0,10,233,active,0,True,True,True,False,233,1,4,,,2020-07-11 23:27:55,2020
202,2020-07-11 23:15:49+00:00,0,14,234,active,0,True,True,True,False,234,0,1,,,2020-07-11 23:27:55,2020
203,2020-07-11 22:40:22+00:00,0,11,235,active,0,True,True,True,False,235,0,4,,,2020-07-11 23:27:55,2020
204,2020-07-11 23:19:41+00:00,0,7,236,active,0,True,True,True,False,236,0,8,,,2020-07-11 23:27:55,2020
205,2020-07-11 22:45:23+00:00,0,12,239,active,0,True,True,True,False,239,0,3,,,2020-07-11 23:27:55,2020
206,2020-07-10 15:46:21+00:00,0,15,255,active,0,True,True,True,False,255,0,0,,,2020-07-11 23:27:55,2020
207,2020-07-11 22:20:12+00:00,0,2,258,active,0,True,True,True,False,258,0,13,,,2020-07-11 23:27:55,2020
208,2020-07-11 13:06:12+00:00,0,10,259,active,0,True,True,True,False,259,0,5,,,2020-07-11 23:27:55,2020
209,2020-07-11 23:10:52+00:00,0,3,260,active,0,True,True,True,False,260,2,10,,,2020-07-11 23:27:55,2020
210,2020-07-11 22:13:50+00:00,0,6,271,active,0,True,True,True,False,271,0,9,,,2020-07-11 23:27:55,2020
211,2020-07-11 23:20:38+00:00,0,15,272,active,0,True,True,True,False,272,0,4,,,2020-07-11 23:27:55,2020
212,2020-07-11 23:20:56+00:00,0,29,273,active,0,True,True,True,False,273,0,11,,,2020-07-11 23:27:55,2020
213,2020-07-11 23:21:26+00:00,0,2,279,active,0,True,True,True,False,279,0,17,,,2020-07-11 23:27:55,2020
