,num_docks_disabled,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_id,is_installed,station_status,last_reported,num_bikes_disabled,num_docks_available,legacy_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
140,0,True,True,13,True,161,True,active,2020-08-20 20:35:06+00:00,0,10,161,0,,,2020-08-20 20:39:50,2020
141,0,True,True,6,False,162,True,active,2020-08-20 19:32:17+00:00,0,9,162,0,,,2020-08-20 20:39:50,2020
142,0,True,True,16,True,163,True,active,2020-08-20 20:39:29+00:00,0,3,163,0,,,2020-08-20 20:39:50,2020
143,0,True,True,9,False,167,True,active,2020-08-20 19:43:06+00:00,0,6,167,0,,,2020-08-20 20:39:50,2020
144,0,True,True,8,False,169,True,active,2020-08-20 20:33:45+00:00,0,11,169,0,,,2020-08-20 20:39:50,2020
145,0,True,True,8,True,170,True,active,2020-08-20 18:42:46+00:00,0,6,170,0,,,2020-08-20 20:39:50,2020
146,0,True,True,9,True,171,True,active,2020-08-20 20:37:20+00:00,0,14,171,0,,,2020-08-20 20:39:50,2020
147,0,True,True,6,True,173,True,active,2020-08-20 18:33:25+00:00,0,8,173,0,,,2020-08-20 20:39:50,2020
148,0,True,True,5,False,174,True,active,2020-08-20 18:16:08+00:00,0,10,174,0,,,2020-08-20 20:39:50,2020
149,0,True,True,6,True,175,True,active,2020-08-20 20:23:16+00:00,2,9,175,0,,,2020-08-20 20:39:50,2020
150,0,True,True,9,False,176,True,active,2020-08-20 20:34:57+00:00,0,6,176,0,,,2020-08-20 20:39:50,2020
151,0,True,True,14,False,177,True,active,2020-08-20 20:36:31+00:00,1,4,177,0,,,2020-08-20 20:39:50,2020
152,0,True,True,9,False,178,True,active,2020-08-20 20:28:12+00:00,0,10,178,0,,,2020-08-20 20:39:50,2020
153,0,True,True,7,False,179,True,active,2020-08-20 20:34:16+00:00,1,17,179,0,,,2020-08-20 20:39:50,2020
154,0,True,True,19,False,180,True,active,2020-08-20 18:53:52+00:00,0,0,180,0,,,2020-08-20 20:39:50,2020
155,0,True,True,3,False,181,True,active,2020-08-20 17:44:11+00:00,0,16,181,0,,,2020-08-20 20:39:50,2020
156,0,True,True,7,True,182,True,active,2020-08-20 19:31:54+00:00,0,12,182,0,,,2020-08-20 20:39:50,2020
157,0,True,True,12,False,183,True,active,2020-08-20 20:05:27+00:00,0,7,183,0,,,2020-08-20 20:39:50,2020
158,0,True,True,1,False,184,True,active,2020-08-20 20:25:38+00:00,0,18,184,0,,,2020-08-20 20:39:50,2020
159,0,True,True,1,False,185,True,active,2020-08-20 20:34:55+00:00,1,13,185,0,,,2020-08-20 20:39:50,2020
