,legacy_id,is_renting,num_bikes_available,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,station_id,last_reported,num_bikes_disabled,is_returning,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
290,402,True,8,active,0,False,0,True,402,2020-08-12 22:28:41+00:00,0,True,7,2020-08-12 22:59:55,2020
291,403,True,4,active,0,False,0,True,403,2020-08-12 22:55:17+00:00,1,True,10,2020-08-12 22:59:55,2020
292,404,True,3,active,0,False,0,True,404,2020-08-12 22:40:55+00:00,0,True,13,2020-08-12 22:59:55,2020
293,405,True,9,active,0,False,0,True,405,2020-08-12 22:59:17+00:00,0,True,10,2020-08-12 22:59:55,2020
294,406,True,17,active,0,False,0,True,406,2020-08-12 22:49:59+00:00,0,True,2,2020-08-12 22:59:55,2020
295,407,True,2,active,0,False,0,True,407,2020-08-12 22:48:56+00:00,1,True,16,2020-08-12 22:59:55,2020
296,408,True,3,active,0,False,0,True,408,2020-08-12 21:35:31+00:00,0,True,12,2020-08-12 22:59:55,2020
297,409,True,19,active,0,False,0,True,409,2020-08-12 22:58:26+00:00,0,True,0,2020-08-12 22:59:55,2020
298,410,True,9,active,0,False,0,True,410,2020-08-12 21:44:09+00:00,0,True,10,2020-08-12 22:59:55,2020
299,411,True,3,active,0,False,0,True,411,2020-08-12 22:49:17+00:00,1,True,11,2020-08-12 22:59:55,2020
300,412,True,12,active,0,False,0,True,412,2020-08-12 22:25:36+00:00,1,True,6,2020-08-12 22:59:55,2020
301,413,True,4,active,0,False,0,True,413,2020-08-12 22:48:37+00:00,0,True,15,2020-08-12 22:59:55,2020
302,414,True,0,active,0,False,0,True,414,2020-08-12 20:29:07+00:00,0,True,23,2020-08-12 22:59:55,2020
303,415,True,6,active,0,False,0,True,415,2020-08-12 22:44:47+00:00,2,True,11,2020-08-12 22:59:55,2020
304,416,True,3,active,0,False,0,True,416,2020-08-12 22:59:37+00:00,0,True,12,2020-08-12 22:59:55,2020
305,417,True,19,active,0,False,0,True,417,2020-08-12 22:51:25+00:00,0,True,0,2020-08-12 22:59:55,2020
306,419,True,13,active,0,False,0,True,419,2020-08-12 19:59:20+00:00,0,True,2,2020-08-12 22:59:55,2020
307,420,False,0,out_of_service,0,False,0,False,420,1970-01-02 00:00:00+00:00,0,False,0,2020-08-12 22:59:55,1970
308,421,True,14,active,0,False,0,True,421,2020-08-12 15:32:38+00:00,0,True,5,2020-08-12 22:59:55,2020
309,422,True,3,active,0,False,0,True,422,2020-08-12 22:58:55+00:00,0,True,12,2020-08-12 22:59:55,2020
310,423,True,3,active,0,False,0,True,423,2020-08-12 16:21:54+00:00,0,True,16,2020-08-12 22:59:55,2020
311,424,True,6,active,0,False,0,True,424,2020-08-12 22:18:20+00:00,0,True,13,2020-08-12 22:59:55,2020
312,425,True,3,active,0,False,0,True,425,2020-08-12 22:43:29+00:00,0,True,13,2020-08-12 22:59:55,2020
313,426,True,4,active,0,False,0,True,426,2020-08-12 22:43:49+00:00,0,True,23,2020-08-12 22:59:55,2020
314,427,True,6,active,0,False,0,True,427,2020-08-12 17:36:02+00:00,0,True,13,2020-08-12 22:59:55,2020
315,428,True,17,active,0,False,0,True,428,2020-08-12 22:41:30+00:00,0,True,2,2020-08-12 22:59:55,2020
316,430,True,15,active,0,False,0,True,430,2020-08-12 22:52:47+00:00,0,True,4,2020-08-12 22:59:55,2020
317,431,True,3,active,0,False,0,True,431,2020-08-12 19:51:22+00:00,0,True,12,2020-08-12 22:59:55,2020
318,432,True,9,active,0,False,0,True,432,2020-08-12 22:22:28+00:00,0,True,10,2020-08-12 22:59:55,2020
319,433,True,1,active,0,False,0,True,433,2020-08-12 08:57:31+00:00,0,True,18,2020-08-12 22:59:55,2020
320,434,True,0,active,0,False,0,True,434,2020-08-12 21:19:52+00:00,0,True,19,2020-08-12 22:59:55,2020
321,435,True,6,active,0,False,0,True,435,2020-08-12 10:48:20+00:00,0,True,9,2020-08-12 22:59:55,2020
322,436,True,4,active,0,False,0,True,436,2020-08-12 22:05:35+00:00,0,True,11,2020-08-12 22:59:55,2020
323,437,True,6,active,0,False,0,True,437,2020-08-12 22:58:28+00:00,1,True,12,2020-08-12 22:59:55,2020
324,440,True,8,active,0,False,0,True,440,2020-08-12 22:24:40+00:00,0,True,9,2020-08-12 22:59:55,2020
325,441,True,16,active,0,False,0,True,441,2020-08-12 21:26:16+00:00,0,True,3,2020-08-12 22:59:55,2020
326,442,True,12,active,0,False,0,True,442,2020-08-12 22:13:59+00:00,1,True,2,2020-08-12 22:59:55,2020
327,443,True,6,active,0,False,0,True,443,2020-08-12 21:25:46+00:00,0,True,13,2020-08-12 22:59:55,2020
328,445,True,9,active,0,False,0,True,445,2020-08-12 22:44:25+00:00,0,True,10,2020-08-12 22:59:55,2020
329,446,True,10,active,0,False,0,True,446,2020-08-12 22:45:02+00:00,0,True,2,2020-08-12 22:59:55,2020
330,447,True,1,active,0,False,0,True,447,2020-08-12 22:39:48+00:00,0,True,18,2020-08-12 22:59:55,2020
331,448,True,3,active,0,False,0,True,448,2020-08-12 21:56:06+00:00,0,True,8,2020-08-12 22:59:55,2020
332,449,True,0,out_of_service,0,False,0,False,449,1970-01-02 00:00:00+00:00,0,True,0,2020-08-12 22:59:55,1970
333,450,True,9,active,0,False,0,True,450,2020-08-12 22:59:39+00:00,0,True,6,2020-08-12 22:59:55,2020
334,451,True,7,active,0,False,0,True,451,2020-08-12 22:51:54+00:00,0,True,8,2020-08-12 22:59:55,2020
335,452,True,6,active,0,False,0,True,452,2020-08-12 22:53:54+00:00,0,True,9,2020-08-12 22:59:55,2020
336,453,True,1,active,0,False,0,True,453,2020-08-12 22:49:07+00:00,1,True,13,2020-08-12 22:59:55,2020
337,454,True,9,active,0,False,0,True,454,2020-08-12 22:50:10+00:00,0,True,6,2020-08-12 22:59:55,2020
338,455,True,1,active,0,False,0,True,455,2020-08-12 15:54:30+00:00,1,True,10,2020-08-12 22:59:55,2020
339,456,True,9,active,0,False,0,True,456,2020-08-12 22:44:48+00:00,1,True,9,2020-08-12 22:59:55,2020
340,457,True,2,active,0,False,0,True,457,2020-08-12 22:47:47+00:00,0,True,9,2020-08-12 22:59:55,2020
341,458,True,5,active,0,False,0,True,458,2020-08-12 18:43:37+00:00,1,True,5,2020-08-12 22:59:55,2020
