,station_status,eightd_has_available_keys,num_bikes_disabled,num_docks_available,is_returning,num_bikes_available,legacy_id,last_reported,num_docks_disabled,is_installed,num_ebikes_available,is_renting,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
192,active,False,2,14,True,3,221,2020-07-28 20:56:03+00:00,0,True,0,True,221,,,2020-07-28 21:12:55,2020
193,active,True,0,7,True,7,222,2020-07-28 20:51:58+00:00,0,True,0,True,222,,,2020-07-28 21:12:55,2020
194,active,False,0,7,True,10,224,2020-07-28 21:04:40+00:00,0,True,0,True,224,,,2020-07-28 21:12:55,2020
195,active,False,1,2,True,16,225,2020-07-28 21:04:35+00:00,0,True,0,True,225,,,2020-07-28 21:12:55,2020
196,active,False,0,12,True,3,226,2020-07-28 21:01:59+00:00,0,True,0,True,226,,,2020-07-28 21:12:55,2020
197,active,False,1,14,True,4,227,2020-07-28 20:53:47+00:00,0,True,0,True,227,,,2020-07-28 21:12:55,2020
198,active,False,0,13,True,6,228,2020-07-28 20:48:10+00:00,0,True,0,True,228,,,2020-07-28 21:12:55,2020
199,active,False,0,5,True,6,232,2020-07-28 15:47:15+00:00,0,True,0,True,232,,,2020-07-28 21:12:55,2020
200,active,False,0,4,True,11,233,2020-07-28 21:11:37+00:00,0,True,0,True,233,,,2020-07-28 21:12:55,2020
201,active,False,0,13,True,2,234,2020-07-28 20:45:33+00:00,0,True,0,True,234,,,2020-07-28 21:12:55,2020
202,active,False,0,3,True,12,235,2020-07-28 20:21:25+00:00,0,True,0,True,235,,,2020-07-28 21:12:55,2020
203,active,False,0,10,True,5,236,2020-07-28 20:43:38+00:00,0,True,0,True,236,,,2020-07-28 21:12:55,2020
204,active,False,0,13,True,2,239,2020-07-28 20:45:27+00:00,0,True,0,True,239,,,2020-07-28 21:12:55,2020
205,active,False,0,8,True,7,255,2020-07-28 16:47:53+00:00,0,True,0,True,255,,,2020-07-28 21:12:55,2020
206,active,False,0,8,True,7,258,2020-07-28 20:51:33+00:00,0,True,0,True,258,,,2020-07-28 21:12:55,2020
207,active,False,1,14,True,0,259,2020-07-28 11:55:38+00:00,0,True,0,True,259,,,2020-07-28 21:12:55,2020
208,active,False,0,2,False,13,260,2020-07-28 17:40:18+00:00,0,True,0,False,260,,,2020-07-28 21:12:55,2020
209,active,False,1,8,True,6,271,2020-07-28 17:01:28+00:00,0,True,0,True,271,,,2020-07-28 21:12:55,2020
210,active,False,0,7,True,12,272,2020-07-28 21:10:17+00:00,0,True,0,True,272,,,2020-07-28 21:12:55,2020
211,active,False,1,14,True,25,273,2020-07-28 20:30:36+00:00,0,True,0,True,273,,,2020-07-28 21:12:55,2020
212,active,False,0,10,True,9,279,2020-07-28 20:53:27+00:00,0,True,0,True,279,,,2020-07-28 21:12:55,2020
213,active,False,0,15,True,4,280,2020-07-28 21:03:22+00:00,0,True,0,True,280,,,2020-07-28 21:12:55,2020
