,is_installed,last_reported,num_bikes_available,num_ebikes_available,station_id,num_bikes_disabled,station_status,is_returning,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
259,True,2020-07-29 21:55:18+00:00,2,0,368,0,active,True,368,0,False,13,True,,,2020-07-29 22:09:40,2020
260,True,2020-07-29 22:05:41+00:00,5,0,369,0,active,True,369,0,False,10,True,,,2020-07-29 22:09:40,2020
261,True,2020-07-29 21:55:54+00:00,16,0,370,1,active,True,370,0,False,2,True,,,2020-07-29 22:09:40,2020
262,True,2020-07-29 21:18:21+00:00,7,0,371,0,active,True,371,0,False,12,True,,,2020-07-29 22:09:40,2020
263,True,2020-07-29 22:02:45+00:00,16,0,372,0,active,True,372,0,False,3,True,,,2020-07-29 22:09:40,2020
264,True,2020-07-29 21:54:14+00:00,7,0,373,0,active,True,373,0,False,8,True,,,2020-07-29 22:09:40,2020
265,True,2020-07-29 21:58:34+00:00,6,0,374,0,active,True,374,0,False,13,True,,,2020-07-29 22:09:40,2020
266,True,2020-07-29 21:59:04+00:00,11,0,376,0,active,True,376,0,False,4,True,,,2020-07-29 22:09:40,2020
267,True,2020-07-29 22:06:43+00:00,16,0,377,0,active,True,377,0,False,3,True,,,2020-07-29 22:09:40,2020
268,True,2020-07-29 22:03:00+00:00,7,0,378,0,active,True,378,0,False,12,True,,,2020-07-29 22:09:40,2020
269,True,2020-07-29 21:58:10+00:00,5,0,379,0,active,True,379,0,False,10,True,,,2020-07-29 22:09:40,2020
270,True,2020-07-29 22:07:07+00:00,2,0,380,1,active,True,380,0,False,15,True,,,2020-07-29 22:09:40,2020
271,True,2020-07-29 22:08:02+00:00,15,0,381,1,active,True,381,0,False,3,True,,,2020-07-29 22:09:40,2020
272,True,2020-07-29 22:04:49+00:00,8,0,384,1,active,True,384,0,True,10,True,,,2020-07-29 22:09:40,2020
273,True,2020-07-29 22:07:36+00:00,3,0,385,0,active,True,385,1,False,11,True,,,2020-07-29 22:09:40,2020
274,True,2020-07-29 22:02:53+00:00,9,0,386,0,active,True,386,0,False,10,True,,,2020-07-29 22:09:40,2020
275,True,2020-07-29 21:13:19+00:00,11,0,387,0,active,True,387,0,False,4,True,,,2020-07-29 22:09:40,2020
276,True,2020-07-29 08:59:07+00:00,3,0,388,0,active,True,388,0,False,8,True,,,2020-07-29 22:09:40,2020
277,True,2020-07-29 17:16:59+00:00,9,0,389,0,active,True,389,0,False,5,True,,,2020-07-29 22:09:40,2020
278,True,2020-07-29 10:46:04+00:00,15,0,390,0,active,True,390,0,False,0,True,,,2020-07-29 22:09:40,2020
279,True,2020-07-29 21:59:13+00:00,12,0,391,0,active,True,391,0,False,3,True,,,2020-07-29 22:09:40,2020
280,True,2020-07-29 21:40:08+00:00,6,0,392,0,active,True,392,0,False,9,True,,,2020-07-29 22:09:40,2020
281,True,2020-07-28 16:21:03+00:00,6,0,393,0,active,True,393,0,False,9,True,,,2020-07-29 22:09:40,2020
282,True,2020-07-29 21:46:59+00:00,0,0,394,0,active,True,394,0,False,14,True,,,2020-07-29 22:09:40,2020
283,True,2020-07-29 14:45:26+00:00,6,0,395,0,active,True,395,0,False,9,True,,,2020-07-29 22:09:40,2020
284,True,2020-07-29 17:56:52+00:00,9,0,396,0,active,True,396,0,False,6,True,,,2020-07-29 22:09:40,2020
285,True,2020-07-29 16:43:59+00:00,9,0,397,0,active,True,397,0,False,6,True,,,2020-07-29 22:09:40,2020
286,True,2020-07-29 22:04:34+00:00,5,0,398,0,active,True,398,0,False,14,True,,,2020-07-29 22:09:40,2020
287,True,2020-07-29 21:59:49+00:00,0,0,399,0,active,True,399,0,False,15,True,,,2020-07-29 22:09:40,2020
288,True,2020-07-29 21:20:00+00:00,11,0,400,0,active,True,400,0,False,16,True,,,2020-07-29 22:09:40,2020
289,True,2020-07-29 20:53:44+00:00,14,0,401,0,active,True,401,0,False,1,True,,,2020-07-29 22:09:40,2020
290,True,2020-07-29 20:16:12+00:00,2,0,402,0,active,True,402,0,False,13,True,,,2020-07-29 22:09:40,2020
291,True,2020-07-29 21:54:03+00:00,3,0,403,0,active,True,403,0,False,12,True,,,2020-07-29 22:09:40,2020
292,True,2020-07-29 22:01:45+00:00,3,0,404,0,active,True,404,0,False,13,True,,,2020-07-29 22:09:40,2020
293,True,2020-07-29 21:37:17+00:00,10,0,405,1,active,True,405,0,False,8,True,,,2020-07-29 22:09:40,2020
294,True,2020-07-29 21:52:23+00:00,2,0,406,1,active,True,406,0,False,12,True,,,2020-07-29 22:09:40,2020
295,True,2020-07-29 21:56:25+00:00,5,0,407,0,active,True,407,0,False,14,True,,,2020-07-29 22:09:40,2020
296,True,2020-07-29 21:50:28+00:00,8,0,408,0,active,True,408,0,False,7,True,,,2020-07-29 22:09:40,2020
297,True,2020-07-29 21:56:39+00:00,6,0,409,0,active,True,409,0,False,13,True,,,2020-07-29 22:09:40,2020
298,True,2020-07-29 21:53:19+00:00,15,0,410,2,active,True,410,0,False,2,True,,,2020-07-29 22:09:40,2020
299,True,2020-07-29 21:56:06+00:00,13,0,411,2,active,True,411,0,False,0,True,,,2020-07-29 22:09:40,2020
300,True,2020-07-29 21:43:07+00:00,10,0,412,0,active,True,412,0,False,9,True,,,2020-07-29 22:09:40,2020
301,True,2020-07-29 22:08:48+00:00,13,0,413,1,active,True,413,0,False,5,True,,,2020-07-29 22:09:40,2020
302,True,2020-07-29 22:08:27+00:00,4,0,414,0,active,True,414,0,False,19,True,,,2020-07-29 22:09:40,2020
303,True,2020-07-29 22:06:03+00:00,0,0,415,1,active,True,415,0,False,18,True,,,2020-07-29 22:09:40,2020
304,True,2020-07-29 22:07:45+00:00,9,0,416,0,active,True,416,0,False,6,True,,,2020-07-29 22:09:40,2020
305,True,2020-07-29 22:02:12+00:00,7,0,417,0,active,True,417,0,False,12,True,,,2020-07-29 22:09:40,2020
306,True,2020-07-29 21:23:41+00:00,12,0,419,0,active,True,419,0,False,3,True,,,2020-07-29 22:09:40,2020
307,False,1970-01-02 00:00:00+00:00,0,0,420,0,out_of_service,False,420,0,False,0,False,,,2020-07-29 22:09:40,1970
308,True,2020-07-29 14:32:21+00:00,9,0,421,1,active,True,421,0,False,9,True,,,2020-07-29 22:09:40,2020
