,eightd_has_available_keys,station_status,num_bikes_available,is_installed,is_returning,station_id,is_renting,num_docks_available,last_reported,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
144,False,active,8,True,True,167,True,5,2020-07-27 01:45:26+00:00,2,0,167,0,,,2020-07-27 02:14:45,2020
145,False,active,12,True,True,169,True,7,2020-07-26 21:32:53+00:00,0,0,169,0,,,2020-07-27 02:14:45,2020
146,True,active,1,True,True,170,True,13,2020-07-27 00:06:56+00:00,0,0,170,0,,,2020-07-27 02:14:45,2020
147,True,active,5,True,True,171,True,18,2020-07-27 02:10:08+00:00,0,0,171,0,,,2020-07-27 02:14:45,2020
148,True,active,12,True,True,173,True,1,2020-07-26 23:17:05+00:00,1,0,173,0,,,2020-07-27 02:14:45,2020
149,False,active,11,True,True,174,True,3,2020-07-27 00:32:24+00:00,1,0,174,0,,,2020-07-27 02:14:45,2020
150,True,active,0,True,True,175,True,17,2020-07-26 23:58:45+00:00,0,0,175,0,,,2020-07-27 02:14:45,2020
151,False,active,11,True,True,176,True,4,2020-07-27 01:29:46+00:00,0,0,176,0,,,2020-07-27 02:14:45,2020
152,False,active,0,True,True,177,True,17,2020-07-27 01:42:00+00:00,2,0,177,0,,,2020-07-27 02:14:45,2020
153,False,active,12,True,True,178,True,5,2020-07-27 02:13:52+00:00,2,0,178,0,,,2020-07-27 02:14:45,2020
154,False,active,8,True,True,179,True,17,2020-07-27 01:58:22+00:00,0,0,179,0,,,2020-07-27 02:14:45,2020
155,False,active,6,True,True,180,True,13,2020-07-27 01:10:50+00:00,0,0,180,0,,,2020-07-27 02:14:45,2020
156,False,active,12,True,True,181,True,7,2020-07-27 00:35:58+00:00,0,0,181,0,,,2020-07-27 02:14:45,2020
157,True,active,0,True,True,182,True,19,2020-07-26 22:37:23+00:00,0,0,182,0,,,2020-07-27 02:14:45,2020
158,False,active,5,True,True,183,True,14,2020-07-27 00:55:00+00:00,0,0,183,0,,,2020-07-27 02:14:45,2020
159,False,active,6,True,True,184,True,13,2020-07-27 01:11:01+00:00,0,0,184,0,,,2020-07-27 02:14:45,2020
160,False,active,8,True,True,185,True,7,2020-07-27 02:02:02+00:00,0,0,185,0,,,2020-07-27 02:14:45,2020
161,True,active,1,True,True,186,True,12,2020-07-27 01:46:13+00:00,2,0,186,0,,,2020-07-27 02:14:45,2020
162,False,active,5,True,True,187,True,10,2020-07-26 22:38:09+00:00,0,0,187,0,,,2020-07-27 02:14:45,2020
163,False,active,14,True,True,188,True,1,2020-07-27 02:03:47+00:00,0,0,188,0,,,2020-07-27 02:14:45,2020
164,True,active,3,True,True,189,True,20,2020-07-27 01:47:39+00:00,0,0,189,0,,,2020-07-27 02:14:45,2020
165,True,active,15,True,True,190,True,21,2020-07-27 02:06:54+00:00,1,0,190,0,,,2020-07-27 02:14:45,2020
166,False,active,8,True,True,191,True,7,2020-07-27 00:06:30+00:00,0,0,191,0,,,2020-07-27 02:14:45,2020
167,False,active,3,True,True,192,True,16,2020-07-27 01:51:19+00:00,0,0,192,0,,,2020-07-27 02:14:45,2020
