,station_id,is_returning,is_renting,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_installed,last_reported,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
108,119,True,True,active,0,6,0,9,0,True,2020-07-30 16:05:39+00:00,False,119,,,2020-07-30 16:24:25,2020
109,120,True,True,active,2,6,0,7,0,True,2020-07-30 15:44:24+00:00,False,120,,,2020-07-30 16:24:25,2020
110,121,True,True,active,2,1,0,14,0,True,2020-07-30 16:02:51+00:00,False,121,,,2020-07-30 16:24:25,2020
111,122,True,True,active,0,3,0,12,0,True,2020-07-30 16:23:38+00:00,False,122,,,2020-07-30 16:24:25,2020
112,124,True,True,active,0,5,0,10,0,True,2020-07-30 01:11:26+00:00,False,124,,,2020-07-30 16:24:25,2020
113,125,True,True,active,0,1,0,14,0,True,2020-07-30 15:33:11+00:00,False,125,,,2020-07-30 16:24:25,2020
114,126,True,True,active,0,1,0,14,0,True,2020-07-30 13:51:56+00:00,False,126,,,2020-07-30 16:24:25,2020
115,128,True,True,active,1,15,0,3,0,True,2020-07-30 14:38:39+00:00,False,128,,,2020-07-30 16:24:25,2020
116,129,True,True,active,0,6,0,13,0,True,2020-07-30 15:37:37+00:00,False,129,,,2020-07-30 16:24:25,2020
117,130,True,True,active,0,10,0,5,0,True,2020-07-30 08:51:09+00:00,False,130,,,2020-07-30 16:24:25,2020
118,131,True,True,active,2,10,0,6,0,True,2020-07-30 16:11:55+00:00,False,131,,,2020-07-30 16:24:25,2020
119,133,True,True,active,0,10,0,13,0,True,2020-07-30 16:11:14+00:00,False,133,,,2020-07-30 16:24:25,2020
120,135,True,True,active,1,9,0,7,0,True,2020-07-30 12:52:56+00:00,False,135,,,2020-07-30 16:24:25,2020
121,136,True,True,active,0,16,0,3,0,True,2020-07-30 16:14:09+00:00,False,136,,,2020-07-30 16:24:25,2020
122,137,True,True,active,0,10,0,5,0,True,2020-07-30 14:55:58+00:00,False,137,,,2020-07-30 16:24:25,2020
123,138,True,True,active,0,12,0,3,0,True,2020-07-30 16:00:01+00:00,False,138,,,2020-07-30 16:24:25,2020
124,139,True,True,active,0,8,0,11,0,True,2020-07-30 15:41:41+00:00,False,139,,,2020-07-30 16:24:25,2020
125,140,True,True,active,0,8,0,9,0,True,2020-07-30 11:41:40+00:00,False,140,,,2020-07-30 16:24:25,2020
126,141,True,True,active,0,7,0,8,0,True,2020-07-30 16:20:16+00:00,False,141,,,2020-07-30 16:24:25,2020
127,142,True,True,active,1,16,0,6,0,True,2020-07-30 12:21:38+00:00,False,142,,,2020-07-30 16:24:25,2020
128,143,True,True,active,0,4,0,19,0,True,2020-07-30 16:05:51+00:00,False,143,,,2020-07-30 16:24:25,2020
129,144,True,True,active,0,5,0,14,0,True,2020-07-30 14:57:00+00:00,False,144,,,2020-07-30 16:24:25,2020
130,145,True,True,active,0,7,0,12,0,True,2020-07-30 14:39:35+00:00,False,145,,,2020-07-30 16:24:25,2020
131,146,True,True,active,1,12,0,6,0,True,2020-07-30 16:14:51+00:00,False,146,,,2020-07-30 16:24:25,2020
132,149,True,True,active,0,9,0,9,0,True,2020-07-30 16:23:11+00:00,True,149,,,2020-07-30 16:24:25,2020
133,150,True,True,active,0,12,0,7,0,True,2020-07-30 15:47:55+00:00,False,150,,,2020-07-30 16:24:25,2020
134,151,True,True,active,1,12,0,6,0,True,2020-07-30 15:17:34+00:00,False,151,,,2020-07-30 16:24:25,2020
135,152,True,True,active,0,12,0,3,0,True,2020-07-30 16:09:22+00:00,True,152,,,2020-07-30 16:24:25,2020
136,156,True,True,active,0,1,0,14,0,True,2020-07-30 15:37:51+00:00,False,156,,,2020-07-30 16:24:25,2020
137,157,True,True,active,1,6,0,8,0,True,2020-07-30 16:22:49+00:00,False,157,,,2020-07-30 16:24:25,2020
138,159,True,True,active,1,6,0,8,0,True,2020-07-30 16:02:09+00:00,False,159,,,2020-07-30 16:24:25,2020
