,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
126,141,True,0,0,False,2020-08-01 17:43:42+00:00,0,True,141,True,7,8,active,,,2020-08-01 18:05:40,2020
127,142,True,0,0,False,2020-08-01 17:57:08+00:00,0,True,142,True,12,11,active,,,2020-08-01 18:05:40,2020
128,143,True,0,0,False,2020-08-01 17:54:15+00:00,0,True,143,True,3,20,active,,,2020-08-01 18:05:40,2020
129,144,True,0,0,False,2020-08-01 17:29:16+00:00,0,True,144,True,1,18,active,,,2020-08-01 18:05:40,2020
130,145,True,0,0,False,2020-08-01 17:31:10+00:00,0,True,145,True,13,6,active,,,2020-08-01 18:05:40,2020
131,146,True,0,0,False,2020-08-01 18:03:51+00:00,0,True,146,True,13,6,active,,,2020-08-01 18:05:40,2020
132,149,True,0,0,True,2020-08-01 18:01:03+00:00,0,True,149,True,11,7,active,,,2020-08-01 18:05:40,2020
133,150,True,0,1,False,2020-08-01 17:28:15+00:00,0,True,150,True,13,5,active,,,2020-08-01 18:05:40,2020
134,151,True,0,3,False,2020-08-01 17:54:42+00:00,0,True,151,True,14,2,active,,,2020-08-01 18:05:40,2020
135,152,True,0,0,True,2020-08-01 18:05:18+00:00,0,True,152,True,6,9,active,,,2020-08-01 18:05:40,2020
136,156,True,0,0,False,2020-08-01 16:46:23+00:00,0,True,156,True,3,12,active,,,2020-08-01 18:05:40,2020
137,157,True,0,1,False,2020-08-01 18:00:27+00:00,0,True,157,True,12,2,active,,,2020-08-01 18:05:40,2020
138,159,True,0,1,False,2020-08-01 17:58:30+00:00,0,True,159,True,1,13,active,,,2020-08-01 18:05:40,2020
139,160,True,0,0,True,2020-08-01 17:30:52+00:00,0,True,160,True,11,3,active,,,2020-08-01 18:05:40,2020
140,161,True,0,0,True,2020-08-01 17:54:49+00:00,0,True,161,True,7,16,active,,,2020-08-01 18:05:40,2020
141,162,True,0,0,False,2020-08-01 17:52:36+00:00,0,True,162,True,3,12,active,,,2020-08-01 18:05:40,2020
142,163,True,0,0,True,2020-08-01 17:24:32+00:00,0,True,163,True,17,2,active,,,2020-08-01 18:05:40,2020
143,167,True,0,1,False,2020-08-01 17:16:02+00:00,0,True,167,True,4,10,active,,,2020-08-01 18:05:40,2020
144,169,True,0,0,False,2020-08-01 17:37:17+00:00,0,True,169,True,4,15,active,,,2020-08-01 18:05:40,2020
145,170,True,0,0,True,2020-08-01 16:30:50+00:00,0,True,170,True,3,11,active,,,2020-08-01 18:05:40,2020
146,171,True,0,0,True,2020-08-01 17:57:50+00:00,0,True,171,True,9,14,active,,,2020-08-01 18:05:40,2020
147,173,True,0,2,True,2020-08-01 17:02:33+00:00,0,True,173,True,6,6,active,,,2020-08-01 18:05:40,2020
148,174,True,0,0,False,2020-08-01 17:33:00+00:00,0,True,174,True,8,7,active,,,2020-08-01 18:05:40,2020
149,175,True,0,1,True,2020-08-01 18:00:41+00:00,0,True,175,True,1,15,active,,,2020-08-01 18:05:40,2020
150,176,True,0,0,False,2020-08-01 18:00:36+00:00,0,True,176,True,3,12,active,,,2020-08-01 18:05:40,2020
151,177,True,0,0,False,2020-08-01 17:58:14+00:00,0,True,177,True,5,14,active,,,2020-08-01 18:05:40,2020
152,178,True,0,0,False,2020-08-01 17:59:18+00:00,0,True,178,True,7,12,active,,,2020-08-01 18:05:40,2020
153,179,True,0,0,False,2020-08-01 18:00:27+00:00,0,True,179,True,6,19,active,,,2020-08-01 18:05:40,2020
154,180,True,0,0,False,2020-08-01 17:12:25+00:00,0,True,180,True,10,9,active,,,2020-08-01 18:05:40,2020
155,181,True,0,1,False,2020-08-01 17:58:14+00:00,0,True,181,True,8,10,active,,,2020-08-01 18:05:40,2020
156,182,True,0,2,True,2020-08-01 18:01:14+00:00,0,True,182,True,1,16,active,,,2020-08-01 18:05:40,2020
157,183,True,0,2,False,2020-08-01 18:03:05+00:00,0,True,183,True,10,7,active,,,2020-08-01 18:05:40,2020
158,184,True,0,0,False,2020-08-01 17:33:15+00:00,0,True,184,True,4,15,active,,,2020-08-01 18:05:40,2020
159,185,True,0,0,False,2020-08-01 17:52:05+00:00,0,True,185,True,0,15,active,,,2020-08-01 18:05:40,2020
160,186,True,0,0,True,2020-08-01 18:02:48+00:00,0,True,186,True,8,7,active,,,2020-08-01 18:05:40,2020
161,187,True,0,0,False,2020-08-01 17:09:57+00:00,0,True,187,True,8,7,active,,,2020-08-01 18:05:40,2020
162,188,True,0,0,False,2020-08-01 15:31:09+00:00,0,True,188,True,3,12,active,,,2020-08-01 18:05:40,2020
163,189,True,0,0,True,2020-08-01 17:55:50+00:00,0,True,189,True,9,14,active,,,2020-08-01 18:05:40,2020
164,190,True,0,3,True,2020-08-01 17:55:59+00:00,0,True,190,True,29,5,active,,,2020-08-01 18:05:40,2020
165,191,True,0,0,False,2020-08-01 13:23:47+00:00,0,True,191,True,0,15,active,,,2020-08-01 18:05:40,2020
166,192,True,0,2,False,2020-08-01 17:55:57+00:00,0,True,192,True,8,9,active,,,2020-08-01 18:05:40,2020
167,193,True,0,0,True,2020-08-01 17:54:32+00:00,0,True,193,True,3,12,active,,,2020-08-01 18:05:40,2020
168,194,True,0,0,False,2020-08-01 17:58:34+00:00,0,True,194,True,12,7,active,,,2020-08-01 18:05:40,2020
169,195,True,0,0,False,2020-08-01 18:05:19+00:00,0,True,195,True,8,15,active,,,2020-08-01 18:05:40,2020
170,196,True,0,1,True,2020-08-01 16:23:40+00:00,0,True,196,True,0,9,active,,,2020-08-01 18:05:40,2020
171,197,True,0,0,False,2020-08-01 16:13:41+00:00,0,True,197,True,2,13,active,,,2020-08-01 18:05:40,2020
172,199,True,0,2,False,2020-08-01 16:28:06+00:00,0,True,199,True,9,4,active,,,2020-08-01 18:05:40,2020
173,200,True,0,0,False,2020-08-01 17:53:14+00:00,0,True,200,True,19,0,active,,,2020-08-01 18:05:40,2020
174,201,True,0,0,False,2020-08-01 08:17:21+00:00,0,True,201,True,0,15,active,,,2020-08-01 18:05:40,2020
