,num_bikes_available,is_returning,num_ebikes_available,eightd_has_available_keys,last_reported,station_status,is_installed,legacy_id,station_id,num_docks_available,is_renting,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
163,3,True,0,True,2020-08-01 00:50:49+00:00,active,True,189,189,20,True,0,0,,,2020-08-01 00:54:00,2020
164,19,True,0,True,2020-08-01 00:52:51+00:00,active,True,190,190,15,True,3,0,,,2020-08-01 00:54:00,2020
165,2,True,0,False,2020-07-31 20:45:59+00:00,active,True,191,191,13,True,0,0,,,2020-08-01 00:54:00,2020
166,11,True,0,False,2020-07-31 23:55:30+00:00,active,True,192,192,6,True,2,0,,,2020-08-01 00:54:00,2020
167,6,True,0,True,2020-08-01 00:43:25+00:00,active,True,193,193,9,True,0,0,,,2020-08-01 00:54:00,2020
168,14,True,0,False,2020-08-01 00:47:41+00:00,active,True,194,194,5,True,0,0,,,2020-08-01 00:54:00,2020
169,16,True,0,False,2020-08-01 00:46:36+00:00,active,True,195,195,7,True,0,0,,,2020-08-01 00:54:00,2020
170,0,True,0,True,2020-07-31 22:18:01+00:00,active,True,196,196,9,True,1,0,,,2020-08-01 00:54:00,2020
171,3,True,0,False,2020-08-01 00:15:01+00:00,active,True,197,197,12,True,0,0,,,2020-08-01 00:54:00,2020
172,9,True,0,False,2020-08-01 00:35:33+00:00,active,True,199,199,4,True,2,0,,,2020-08-01 00:54:00,2020
173,13,True,0,False,2020-08-01 00:42:39+00:00,active,True,200,200,6,True,0,0,,,2020-08-01 00:54:00,2020
174,0,True,0,False,2020-08-01 00:25:07+00:00,active,True,201,201,15,True,0,0,,,2020-08-01 00:54:00,2020
175,1,True,0,False,2020-08-01 00:06:34+00:00,active,True,202,202,14,True,0,0,,,2020-08-01 00:54:00,2020
176,6,True,0,False,2020-07-31 22:34:17+00:00,active,True,203,203,9,True,0,0,,,2020-08-01 00:54:00,2020
177,5,True,0,False,2020-07-31 23:20:00+00:00,active,True,204,204,10,True,0,0,,,2020-08-01 00:54:00,2020
178,7,True,0,False,2020-07-31 17:39:13+00:00,active,True,205,205,8,True,0,0,,,2020-08-01 00:54:00,2020
179,9,True,0,False,2020-08-01 00:40:36+00:00,active,True,206,206,14,True,0,0,,,2020-08-01 00:54:00,2020
180,12,True,0,True,2020-07-31 23:39:16+00:00,active,True,208,208,3,True,0,0,,,2020-08-01 00:54:00,2020
181,9,True,0,False,2020-07-31 23:54:16+00:00,active,True,209,209,5,True,1,0,,,2020-08-01 00:54:00,2020
182,2,True,0,False,2020-07-31 22:27:56+00:00,active,True,210,210,13,True,0,0,,,2020-08-01 00:54:00,2020
183,17,True,0,False,2020-08-01 00:22:59+00:00,active,True,211,211,1,True,1,0,,,2020-08-01 00:54:00,2020
184,19,True,0,False,2020-07-31 23:50:38+00:00,active,True,212,212,14,True,0,0,,,2020-08-01 00:54:00,2020
185,5,True,0,True,2020-08-01 00:39:13+00:00,active,True,213,213,11,True,0,0,,,2020-08-01 00:54:00,2020
186,1,True,0,False,2020-08-01 00:32:01+00:00,active,True,214,214,14,True,0,0,,,2020-08-01 00:54:00,2020
