,is_installed,is_renting,is_returning,num_ebikes_available,num_bikes_available,num_bikes_disabled,station_id,station_status,num_docks_available,legacy_id,eightd_has_available_keys,last_reported,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
160,True,True,True,0,10,0,186,active,5,186,True,2020-07-29 17:31:25+00:00,0,,,2020-07-29 17:33:50,2020
161,True,True,True,0,9,0,187,active,6,187,False,2020-07-29 15:08:20+00:00,0,,,2020-07-29 17:33:50,2020
162,True,True,True,0,10,0,188,active,5,188,False,2020-07-29 15:29:37+00:00,0,,,2020-07-29 17:33:50,2020
163,True,True,True,0,19,0,189,active,4,189,True,2020-07-29 17:26:27+00:00,0,,,2020-07-29 17:33:50,2020
164,True,True,True,0,20,1,190,active,16,190,True,2020-07-29 17:22:56+00:00,0,,,2020-07-29 17:33:50,2020
165,True,True,True,0,3,0,191,active,12,191,False,2020-07-29 17:15:59+00:00,0,,,2020-07-29 17:33:50,2020
166,True,True,True,0,18,1,192,active,0,192,False,2020-07-29 17:23:30+00:00,0,,,2020-07-29 17:33:50,2020
167,True,True,True,0,13,0,193,active,2,193,True,2020-07-29 15:07:16+00:00,0,,,2020-07-29 17:33:50,2020
168,True,True,True,0,11,0,194,active,8,194,False,2020-07-29 14:45:37+00:00,0,,,2020-07-29 17:33:50,2020
169,True,True,True,0,13,0,195,active,10,195,False,2020-07-29 17:21:17+00:00,0,,,2020-07-29 17:33:50,2020
170,True,True,True,0,0,0,196,active,10,196,True,2020-07-29 14:01:29+00:00,0,,,2020-07-29 17:33:50,2020
171,True,True,True,0,0,1,197,active,14,197,False,2020-07-29 10:28:39+00:00,0,,,2020-07-29 17:33:50,2020
172,True,True,True,0,7,0,199,active,8,199,False,2020-07-29 16:57:39+00:00,0,,,2020-07-29 17:33:50,2020
173,True,True,True,0,12,0,200,active,7,200,False,2020-07-29 17:11:11+00:00,0,,,2020-07-29 17:33:50,2020
174,True,True,True,0,0,0,201,active,15,201,False,2020-07-29 12:09:09+00:00,0,,,2020-07-29 17:33:50,2020
175,True,True,True,0,4,0,202,active,11,202,False,2020-07-29 17:02:12+00:00,0,,,2020-07-29 17:33:50,2020
176,True,True,True,0,4,0,203,active,11,203,False,2020-07-29 16:41:04+00:00,0,,,2020-07-29 17:33:50,2020
177,True,True,True,0,1,0,204,active,14,204,False,2020-07-29 15:54:56+00:00,0,,,2020-07-29 17:33:50,2020
