,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,station_status,station_id,is_renting,last_reported,num_ebikes_available,num_docks_available,is_returning,is_installed,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
189,217,0,12,False,active,217,True,2020-08-04 16:52:13+00:00,0,6,True,True,1,,,2020-08-04 18:13:25,2020
190,218,0,6,False,active,218,True,2020-08-04 18:07:06+00:00,0,8,True,True,1,,,2020-08-04 18:13:25,2020
191,219,0,7,False,active,219,True,2020-08-04 08:56:33+00:00,0,8,True,True,0,,,2020-08-04 18:13:25,2020
192,221,0,7,False,active,221,True,2020-08-04 18:06:22+00:00,0,12,True,True,0,,,2020-08-04 18:13:25,2020
193,222,0,3,True,active,222,True,2020-08-04 17:26:57+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
194,224,0,4,False,active,224,True,2020-08-04 18:07:42+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
195,225,0,1,False,active,225,True,2020-08-04 18:06:37+00:00,0,18,True,True,0,,,2020-08-04 18:13:25,2020
196,226,0,0,False,active,226,True,2020-08-04 17:51:41+00:00,0,14,True,True,1,,,2020-08-04 18:13:25,2020
197,227,0,1,False,active,227,True,2020-08-04 17:50:17+00:00,0,18,True,True,0,,,2020-08-04 18:13:25,2020
198,228,0,15,False,active,228,True,2020-08-04 17:03:22+00:00,0,3,True,True,1,,,2020-08-04 18:13:25,2020
199,232,0,3,False,active,232,True,2020-08-04 16:10:44+00:00,0,8,True,True,0,,,2020-08-04 18:13:25,2020
200,233,1,3,False,active,233,True,2020-08-04 17:11:56+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
201,234,0,1,False,active,234,True,2020-08-04 17:19:34+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
202,235,0,0,False,active,235,True,2020-08-04 16:31:05+00:00,0,15,True,True,0,,,2020-08-04 18:13:25,2020
203,236,0,8,False,active,236,True,2020-08-04 17:09:10+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
204,239,0,10,False,active,239,True,2020-08-04 17:59:42+00:00,0,5,True,True,0,,,2020-08-04 18:13:25,2020
205,255,0,11,False,active,255,True,2020-08-04 09:01:20+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
206,258,0,13,False,active,258,True,2020-08-04 17:09:26+00:00,0,2,True,True,0,,,2020-08-04 18:13:25,2020
207,259,0,0,False,active,259,True,2020-08-04 09:01:37+00:00,0,15,True,True,0,,,2020-08-04 18:13:25,2020
208,260,0,0,False,active,260,True,2020-08-04 17:52:53+00:00,0,15,True,True,0,,,2020-08-04 18:13:25,2020
209,271,0,8,False,active,271,True,2020-08-04 17:16:27+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
210,272,0,6,False,active,272,True,2020-08-04 09:00:19+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
211,273,0,26,False,active,273,True,2020-08-04 17:49:00+00:00,0,13,True,True,1,,,2020-08-04 18:13:25,2020
212,279,0,3,False,active,279,True,2020-08-04 17:53:53+00:00,0,16,True,True,0,,,2020-08-04 18:13:25,2020
213,280,0,0,False,active,280,True,2020-08-04 12:31:48+00:00,0,19,True,True,0,,,2020-08-04 18:13:25,2020
214,282,0,11,False,active,282,True,2020-08-04 18:10:31+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
215,296,0,7,False,active,296,True,2020-08-04 17:24:45+00:00,0,15,True,True,1,,,2020-08-04 18:13:25,2020
216,318,0,17,False,active,318,True,2020-08-04 18:06:38+00:00,0,2,True,True,0,,,2020-08-04 18:13:25,2020
