,station_id,last_reported,num_bikes_available,num_docks_available,is_installed,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,is_returning,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
133,150,2020-08-14 21:54:08+00:00,17,1,True,150,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
134,151,2020-08-14 21:57:19+00:00,4,15,True,151,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
135,152,2020-08-14 22:07:55+00:00,15,0,True,152,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
136,156,2020-08-14 22:09:13+00:00,7,8,True,156,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
137,157,2020-08-14 22:06:38+00:00,12,1,True,157,active,0,False,0,2,True,True,,,2020-08-14 22:09:40,2020
138,159,2020-08-14 20:49:08+00:00,15,0,True,159,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
139,160,2020-08-14 21:42:18+00:00,8,6,True,160,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
140,161,2020-08-14 22:06:06+00:00,3,20,True,161,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
141,162,2020-08-14 17:51:55+00:00,0,15,True,162,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
142,163,2020-08-14 21:41:01+00:00,7,12,True,163,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
143,167,2020-08-14 21:42:21+00:00,6,8,True,167,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
144,169,2020-08-14 21:13:15+00:00,3,16,True,169,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
145,170,2020-08-14 22:09:10+00:00,6,8,True,170,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
146,171,2020-08-14 20:19:15+00:00,9,14,True,171,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
147,173,2020-08-14 21:53:46+00:00,11,3,True,173,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
148,174,2020-08-14 22:00:26+00:00,6,8,True,174,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
149,175,2020-08-14 21:52:16+00:00,1,14,True,175,active,0,True,0,2,True,True,,,2020-08-14 22:09:40,2020
150,176,2020-08-14 21:59:49+00:00,4,11,True,176,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
151,177,2020-08-14 22:07:03+00:00,2,17,True,177,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
152,178,2020-08-14 22:06:15+00:00,2,16,True,178,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
153,179,2020-08-14 22:09:18+00:00,11,14,True,179,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
154,180,2020-08-14 22:05:00+00:00,13,6,True,180,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
155,181,2020-08-14 22:00:08+00:00,11,8,True,181,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
156,182,2020-08-14 21:53:06+00:00,1,18,True,182,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
157,183,2020-08-14 21:50:06+00:00,13,6,True,183,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
158,184,2020-08-14 22:01:58+00:00,6,13,True,184,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
159,185,2020-08-14 22:09:16+00:00,4,11,True,185,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
160,186,2020-08-14 22:03:38+00:00,13,2,True,186,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
161,187,2020-08-14 22:06:02+00:00,3,12,True,187,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
162,188,2020-08-14 19:52:11+00:00,10,5,True,188,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
163,189,2020-08-14 22:07:52+00:00,4,18,True,189,active,0,True,0,1,True,True,,,2020-08-14 22:09:40,2020
164,190,2020-08-14 22:07:18+00:00,14,21,True,190,active,0,True,0,2,True,True,,,2020-08-14 22:09:40,2020
165,191,2020-08-14 21:32:09+00:00,7,8,True,191,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
166,192,2020-08-14 22:09:25+00:00,8,10,True,192,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
167,193,2020-08-14 21:52:18+00:00,11,3,True,193,active,0,True,0,1,True,True,,,2020-08-14 22:09:40,2020
168,194,2020-08-14 20:20:15+00:00,2,17,True,194,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
169,195,2020-08-14 22:00:50+00:00,6,17,True,195,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
170,196,2020-08-14 20:17:07+00:00,1,9,True,196,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
171,197,2020-08-14 20:02:18+00:00,2,13,True,197,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
172,199,2020-08-14 20:27:09+00:00,7,8,True,199,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
173,200,2020-08-14 21:46:12+00:00,17,2,True,200,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
174,201,2020-08-14 19:03:19+00:00,8,7,True,201,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
175,202,2020-08-14 21:28:21+00:00,6,8,True,202,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
176,203,2020-08-14 08:10:00+00:00,0,15,True,203,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
177,204,2020-08-14 14:37:30+00:00,0,15,True,204,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
178,205,2020-08-14 21:51:33+00:00,4,11,True,205,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
179,206,2020-08-14 22:07:00+00:00,0,22,True,206,active,0,True,0,1,True,True,,,2020-08-14 22:09:40,2020
180,208,2020-08-14 21:30:18+00:00,7,7,True,208,active,0,True,0,1,True,True,,,2020-08-14 22:09:40,2020
181,209,2020-08-14 19:06:29+00:00,8,7,True,209,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
182,210,2020-08-14 20:10:22+00:00,3,12,True,210,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
183,211,2020-08-14 22:02:25+00:00,7,12,True,211,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
184,212,2020-08-14 22:05:30+00:00,20,12,True,212,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
185,213,2020-08-14 20:09:43+00:00,5,11,True,213,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
186,214,2020-08-14 22:07:34+00:00,4,11,True,214,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
187,215,2020-08-14 21:57:48+00:00,7,8,True,215,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
188,216,2020-08-14 17:44:26+00:00,18,0,True,216,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
189,217,2020-08-14 21:53:04+00:00,5,14,True,217,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
190,218,2020-08-14 21:51:00+00:00,15,0,True,218,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
191,219,2020-08-14 17:45:00+00:00,5,9,True,219,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
192,221,2020-08-14 17:42:04+00:00,5,14,True,221,active,0,False,0,0,False,False,,,2020-08-14 22:09:40,2020
193,222,2020-08-14 21:46:21+00:00,2,12,True,222,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
194,224,2020-08-14 21:55:08+00:00,15,1,True,224,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
195,225,2020-08-14 22:00:54+00:00,4,15,True,225,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
196,226,2020-08-14 21:45:25+00:00,0,15,True,226,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
197,227,2020-08-14 22:03:42+00:00,11,7,True,227,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
198,228,2020-08-14 22:04:53+00:00,2,17,True,228,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
199,232,2020-08-14 17:17:58+00:00,4,7,True,232,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
