,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
170,8,196,2,True,True,active,0,True,True,2020-08-13 03:29:50+00:00,196,0,0,2020-08-13 05:28:25,2020
171,9,197,5,True,True,active,0,True,False,2020-08-13 03:23:40+00:00,197,1,0,2020-08-13 05:28:25,2020
172,11,199,4,True,True,active,0,True,False,2020-08-13 04:03:08+00:00,199,0,0,2020-08-13 05:28:25,2020
173,3,200,15,True,True,active,0,True,False,2020-08-13 05:18:34+00:00,200,1,0,2020-08-13 05:28:25,2020
174,15,201,0,True,True,active,0,True,False,2020-08-13 03:24:32+00:00,201,0,0,2020-08-13 05:28:25,2020
175,10,202,5,True,True,active,0,True,False,2020-08-13 03:24:58+00:00,202,0,0,2020-08-13 05:28:25,2020
176,14,203,1,True,True,active,0,True,False,2020-08-13 03:23:40+00:00,203,0,0,2020-08-13 05:28:25,2020
177,14,204,0,True,True,active,0,True,False,2020-08-13 04:10:02+00:00,204,1,0,2020-08-13 05:28:25,2020
178,13,205,2,True,True,active,0,True,False,2020-08-13 03:23:54+00:00,205,0,0,2020-08-13 05:28:25,2020
179,22,206,0,True,True,active,0,True,True,2020-08-13 04:00:20+00:00,206,1,0,2020-08-13 05:28:25,2020
180,9,208,5,True,True,active,0,True,True,2020-08-13 05:18:56+00:00,208,1,0,2020-08-13 05:28:25,2020
181,10,209,5,True,True,active,0,True,False,2020-08-13 04:02:38+00:00,209,0,0,2020-08-13 05:28:25,2020
182,12,210,3,True,True,active,0,True,False,2020-08-13 04:34:35+00:00,210,0,0,2020-08-13 05:28:25,2020
183,15,211,4,True,True,active,0,True,False,2020-08-13 04:03:01+00:00,211,0,0,2020-08-13 05:28:25,2020
184,2,212,31,True,True,active,0,True,False,2020-08-13 03:56:57+00:00,212,0,0,2020-08-13 05:28:25,2020
185,13,213,3,True,True,active,0,True,True,2020-08-13 03:28:10+00:00,213,0,0,2020-08-13 05:28:25,2020
186,11,214,4,True,True,active,0,True,False,2020-08-13 03:58:45+00:00,214,0,0,2020-08-13 05:28:25,2020
