,eightd_has_available_keys,num_docks_available,num_bikes_available,num_docks_disabled,station_id,station_status,legacy_id,last_reported,num_bikes_disabled,is_installed,is_renting,num_ebikes_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
119,False,13,10,0,133,active,133,2020-08-06 22:35:49+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
120,False,7,10,0,135,active,135,2020-08-06 22:23:40+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
121,False,17,2,0,136,active,136,2020-08-06 22:54:51+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
122,False,15,0,0,137,active,137,2020-08-06 21:42:29+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
123,False,10,5,0,138,active,138,2020-08-06 22:23:16+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
124,False,17,2,0,139,active,139,2020-08-06 23:00:51+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
125,False,4,11,0,140,active,140,2020-08-06 22:49:14+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
126,False,13,2,0,141,active,141,2020-08-06 23:02:05+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
127,False,17,4,0,142,active,142,2020-08-06 22:46:28+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
128,False,20,1,0,143,active,143,2020-08-06 23:02:40+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
129,False,6,13,0,144,active,144,2020-08-06 22:59:31+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
130,False,16,3,0,145,active,145,2020-08-06 22:58:34+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
131,False,14,4,0,146,active,146,2020-08-06 22:46:35+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
132,True,4,14,0,149,active,149,2020-08-06 23:03:00+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
133,False,15,3,0,150,active,150,2020-08-06 22:54:52+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
134,False,6,13,0,151,active,151,2020-08-06 22:39:16+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
135,True,0,15,0,152,active,152,2020-08-06 23:02:38+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
136,False,12,3,0,156,active,156,2020-08-06 22:55:41+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
137,False,2,12,0,157,active,157,2020-08-06 23:00:46+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
138,False,9,6,0,159,active,159,2020-08-06 22:49:11+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
139,True,12,2,0,160,active,160,2020-08-06 23:03:58+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
