,num_ebikes_available,last_reported,station_id,num_bikes_disabled,is_installed,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_status,num_docks_disabled,legacy_id,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
126,0,2020-08-06 08:12:52+00:00,141,0,True,True,True,5,False,active,0,141,10,,,2020-08-06 08:46:00,2020
127,0,2020-08-06 02:47:37+00:00,142,3,True,True,True,10,False,active,0,142,10,,,2020-08-06 08:46:00,2020
128,0,2020-08-06 03:43:52+00:00,143,1,True,True,True,8,False,active,0,143,14,,,2020-08-06 08:46:00,2020
129,0,2020-08-06 03:00:28+00:00,144,0,True,True,True,8,False,active,0,144,11,,,2020-08-06 08:46:00,2020
130,0,2020-08-06 04:18:25+00:00,145,0,True,True,True,7,False,active,0,145,12,,,2020-08-06 08:46:00,2020
131,0,2020-08-06 08:18:23+00:00,146,1,True,True,True,10,False,active,0,146,8,,,2020-08-06 08:46:00,2020
132,0,2020-08-06 08:13:08+00:00,149,0,True,True,True,18,True,active,0,149,0,,,2020-08-06 08:46:00,2020
133,0,2020-08-06 08:02:29+00:00,150,0,True,True,True,0,False,active,0,150,19,,,2020-08-06 08:46:00,2020
134,0,2020-08-06 04:00:16+00:00,151,0,True,True,True,6,False,active,0,151,13,,,2020-08-06 08:46:00,2020
135,0,2020-08-06 01:32:46+00:00,152,0,True,True,True,12,True,active,0,152,3,,,2020-08-06 08:46:00,2020
136,0,2020-08-06 08:43:26+00:00,156,0,True,True,True,7,False,active,0,156,8,,,2020-08-06 08:46:00,2020
137,0,2020-08-06 08:37:07+00:00,157,1,True,True,True,2,False,active,0,157,12,,,2020-08-06 08:46:00,2020
138,0,2020-08-06 08:28:05+00:00,159,0,True,True,True,9,False,active,0,159,6,,,2020-08-06 08:46:00,2020
139,0,2020-08-06 08:38:25+00:00,160,0,True,True,True,5,True,active,0,160,9,,,2020-08-06 08:46:00,2020
140,0,2020-08-06 05:01:44+00:00,161,0,True,True,True,22,True,active,0,161,1,,,2020-08-06 08:46:00,2020
141,0,2020-08-06 08:03:24+00:00,162,0,True,True,True,9,False,active,0,162,6,,,2020-08-06 08:46:00,2020
142,0,2020-08-06 08:42:00+00:00,163,0,True,True,True,10,True,active,0,163,9,,,2020-08-06 08:46:00,2020
143,0,2020-08-06 08:06:52+00:00,167,0,True,True,True,5,False,active,0,167,10,,,2020-08-06 08:46:00,2020
144,0,2020-08-06 01:33:06+00:00,169,1,True,True,True,13,False,active,0,169,5,,,2020-08-06 08:46:00,2020
145,0,2020-08-05 18:31:26+00:00,170,0,True,True,True,0,True,active,0,170,14,,,2020-08-06 08:46:00,2020
146,0,2020-08-05 22:21:58+00:00,171,0,True,True,True,8,True,active,0,171,15,,,2020-08-06 08:46:00,2020
147,0,2020-08-06 08:16:44+00:00,173,0,True,True,True,7,True,active,0,173,7,,,2020-08-06 08:46:00,2020
148,0,2020-08-06 08:28:19+00:00,174,2,True,True,True,2,False,active,0,174,11,,,2020-08-06 08:46:00,2020
149,0,2020-08-06 08:21:53+00:00,175,0,True,True,True,3,True,active,0,175,14,,,2020-08-06 08:46:00,2020
150,0,2020-08-06 02:06:46+00:00,176,0,True,True,True,13,False,active,0,176,2,,,2020-08-06 08:46:00,2020
151,0,2020-08-06 08:17:13+00:00,177,0,True,True,True,5,False,active,0,177,14,,,2020-08-06 08:46:00,2020
152,0,2020-08-06 08:18:10+00:00,178,0,True,True,True,7,False,active,0,178,12,,,2020-08-06 08:46:00,2020
153,0,2020-08-06 07:37:14+00:00,179,0,True,True,True,6,False,active,0,179,19,,,2020-08-06 08:46:00,2020
154,0,2020-08-06 08:17:02+00:00,180,0,True,True,True,10,False,active,0,180,9,,,2020-08-06 08:46:00,2020
155,0,2020-08-06 08:01:36+00:00,181,0,True,True,True,19,False,active,0,181,0,,,2020-08-06 08:46:00,2020
156,0,2020-08-06 00:45:33+00:00,182,0,True,True,True,4,True,active,0,182,15,,,2020-08-06 08:46:00,2020
157,0,2020-08-06 02:51:50+00:00,183,0,True,True,True,7,False,active,0,183,12,,,2020-08-06 08:46:00,2020
158,0,2020-08-06 08:42:48+00:00,184,0,True,True,True,7,False,active,0,184,12,,,2020-08-06 08:46:00,2020
159,0,2020-08-06 08:27:00+00:00,185,0,True,True,True,7,False,active,0,185,8,,,2020-08-06 08:46:00,2020
160,0,2020-08-06 03:08:29+00:00,186,0,True,True,True,5,True,active,0,186,10,,,2020-08-06 08:46:00,2020
161,0,2020-08-06 08:31:58+00:00,187,0,True,True,True,15,False,active,0,187,0,,,2020-08-06 08:46:00,2020
162,0,2020-08-06 08:36:42+00:00,188,0,True,True,True,12,False,active,0,188,3,,,2020-08-06 08:46:00,2020
163,0,2020-08-06 08:32:54+00:00,189,2,True,True,True,0,True,active,0,189,21,,,2020-08-06 08:46:00,2020
164,0,2020-08-06 04:10:46+00:00,190,1,True,True,True,9,True,active,0,190,27,,,2020-08-06 08:46:00,2020
165,0,2020-08-06 08:33:09+00:00,191,0,True,True,True,3,False,active,0,191,12,,,2020-08-06 08:46:00,2020
166,0,2020-08-06 03:22:07+00:00,192,0,True,True,True,7,False,active,0,192,12,,,2020-08-06 08:46:00,2020
167,0,2020-08-06 08:33:28+00:00,193,1,True,True,True,2,True,active,0,193,12,,,2020-08-06 08:46:00,2020
168,0,2020-08-06 07:31:30+00:00,194,0,True,True,True,7,False,active,0,194,12,,,2020-08-06 08:46:00,2020
169,0,2020-08-06 08:24:41+00:00,195,1,True,True,True,13,False,active,0,195,9,,,2020-08-06 08:46:00,2020
170,0,2020-08-06 07:25:35+00:00,196,0,True,True,True,1,True,active,0,196,9,,,2020-08-06 08:46:00,2020
171,0,2020-08-06 04:36:22+00:00,197,0,True,True,True,2,False,active,0,197,13,,,2020-08-06 08:46:00,2020
172,0,2020-08-05 22:16:32+00:00,199,0,True,True,True,5,False,active,0,199,10,,,2020-08-06 08:46:00,2020
173,0,2020-08-06 08:38:21+00:00,200,1,True,True,True,14,False,active,0,200,4,,,2020-08-06 08:46:00,2020
174,0,2020-08-06 08:23:22+00:00,201,0,True,True,True,5,False,active,0,201,10,,,2020-08-06 08:46:00,2020
175,0,2020-08-06 01:49:29+00:00,202,0,True,True,True,8,False,active,0,202,7,,,2020-08-06 08:46:00,2020
176,0,2020-08-06 08:26:46+00:00,203,0,True,True,True,5,False,active,0,203,10,,,2020-08-06 08:46:00,2020
177,0,2020-08-06 08:42:29+00:00,204,1,True,True,True,8,False,active,0,204,6,,,2020-08-06 08:46:00,2020
178,0,2020-08-06 01:22:06+00:00,205,0,True,True,True,8,False,active,0,205,7,,,2020-08-06 08:46:00,2020
179,0,2020-08-06 01:50:08+00:00,206,0,True,False,False,0,False,active,0,206,23,,,2020-08-06 08:46:00,2020
180,0,2020-08-06 08:27:51+00:00,208,0,True,True,True,12,True,active,0,208,3,,,2020-08-06 08:46:00,2020
