,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
115,4,True,active,0,15,128,0,2020-08-20 22:24:30+00:00,128,True,True,0,False,,,2020-08-20 23:03:00,2020
116,3,True,active,0,16,129,0,2020-08-20 21:35:50+00:00,129,True,True,0,False,,,2020-08-20 23:03:00,2020
117,11,True,active,0,4,130,0,2020-08-20 22:53:38+00:00,130,True,True,0,False,,,2020-08-20 23:03:00,2020
118,14,True,active,0,4,131,0,2020-08-20 23:02:20+00:00,131,True,True,0,False,,,2020-08-20 23:03:00,2020
119,12,True,active,0,11,133,0,2020-08-20 22:37:48+00:00,133,True,True,0,False,,,2020-08-20 23:03:00,2020
120,0,True,active,0,17,135,0,2020-08-20 21:39:52+00:00,135,True,True,0,False,,,2020-08-20 23:03:00,2020
121,0,True,active,0,19,136,0,2020-08-20 21:34:48+00:00,136,True,True,0,False,,,2020-08-20 23:03:00,2020
122,5,True,active,0,10,137,0,2020-08-20 22:47:05+00:00,137,True,True,0,False,,,2020-08-20 23:03:00,2020
123,3,True,active,0,10,138,2,2020-08-20 22:20:11+00:00,138,True,True,0,False,,,2020-08-20 23:03:00,2020
124,6,True,active,0,13,139,0,2020-08-20 23:00:14+00:00,139,True,True,0,False,,,2020-08-20 23:03:00,2020
125,11,True,active,0,6,140,0,2020-08-20 22:43:58+00:00,140,True,True,0,False,,,2020-08-20 23:03:00,2020
126,5,True,active,0,10,141,0,2020-08-20 22:44:58+00:00,141,True,True,0,False,,,2020-08-20 23:03:00,2020
127,16,True,active,0,7,142,0,2020-08-20 22:55:19+00:00,142,True,True,0,False,,,2020-08-20 23:03:00,2020
128,11,True,active,0,12,143,0,2020-08-20 23:02:29+00:00,143,True,True,0,False,,,2020-08-20 23:03:00,2020
129,17,True,active,0,2,144,0,2020-08-20 21:35:30+00:00,144,True,True,0,False,,,2020-08-20 23:03:00,2020
130,18,True,active,0,1,145,0,2020-08-20 22:40:59+00:00,145,True,True,0,False,,,2020-08-20 23:03:00,2020
131,9,True,active,0,10,146,0,2020-08-20 22:58:09+00:00,146,True,True,0,False,,,2020-08-20 23:03:00,2020
132,5,True,active,0,11,149,2,2020-08-20 23:02:11+00:00,149,True,True,0,True,,,2020-08-20 23:03:00,2020
133,8,True,active,0,11,150,0,2020-08-20 22:41:50+00:00,150,True,True,0,False,,,2020-08-20 23:03:00,2020
134,2,True,active,0,17,151,0,2020-08-20 23:02:52+00:00,151,True,True,0,False,,,2020-08-20 23:03:00,2020
135,12,True,active,0,3,152,0,2020-08-20 22:56:13+00:00,152,True,True,0,True,,,2020-08-20 23:03:00,2020
