,station_status,is_renting,is_returning,last_reported,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_available,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
147,active,True,True,2020-08-18 17:51:29+00:00,True,173,0,0,173,5,0,9,True,,,2020-08-18 18:03:00,2020
148,active,True,True,2020-08-18 16:40:49+00:00,False,174,0,0,174,12,0,3,True,,,2020-08-18 18:03:00,2020
149,active,True,True,2020-08-18 17:44:58+00:00,True,175,0,0,175,9,0,8,True,,,2020-08-18 18:03:00,2020
150,active,True,True,2020-08-18 17:40:54+00:00,False,176,0,0,176,8,0,7,True,,,2020-08-18 18:03:00,2020
151,active,True,True,2020-08-18 17:56:20+00:00,False,177,0,0,177,9,0,10,True,,,2020-08-18 18:03:00,2020
152,active,True,True,2020-08-18 18:01:46+00:00,False,178,0,0,178,15,0,4,True,,,2020-08-18 18:03:00,2020
153,active,True,True,2020-08-18 18:00:27+00:00,False,179,0,0,179,10,0,15,True,,,2020-08-18 18:03:00,2020
154,active,True,True,2020-08-18 14:22:20+00:00,False,180,0,0,180,3,0,16,True,,,2020-08-18 18:03:00,2020
155,active,True,True,2020-08-18 17:51:03+00:00,False,181,0,0,181,11,0,8,True,,,2020-08-18 18:03:00,2020
156,active,True,True,2020-08-18 17:45:36+00:00,True,182,0,0,182,11,0,8,True,,,2020-08-18 18:03:00,2020
157,active,True,True,2020-08-18 14:33:39+00:00,False,183,0,0,183,4,0,15,True,,,2020-08-18 18:03:00,2020
158,active,True,True,2020-08-18 18:02:35+00:00,False,184,0,0,184,5,0,14,True,,,2020-08-18 18:03:00,2020
159,active,True,True,2020-08-18 17:51:00+00:00,False,185,1,0,185,11,0,3,True,,,2020-08-18 18:03:00,2020
160,active,True,True,2020-08-18 16:21:46+00:00,True,186,0,0,186,13,0,2,True,,,2020-08-18 18:03:00,2020
161,active,True,True,2020-08-18 17:37:44+00:00,False,187,0,0,187,4,0,11,True,,,2020-08-18 18:03:00,2020
162,active,True,True,2020-08-18 18:00:13+00:00,False,188,0,0,188,5,0,10,True,,,2020-08-18 18:03:00,2020
163,active,True,True,2020-08-18 17:58:22+00:00,True,189,1,0,189,5,0,17,True,,,2020-08-18 18:03:00,2020
164,active,True,True,2020-08-18 17:59:20+00:00,False,190,1,0,190,23,0,13,True,,,2020-08-18 18:03:00,2020
165,active,True,True,2020-08-18 13:28:06+00:00,False,191,0,0,191,13,0,2,True,,,2020-08-18 18:03:00,2020
166,active,True,True,2020-08-18 18:02:33+00:00,False,192,0,0,192,7,0,12,True,,,2020-08-18 18:03:00,2020
167,active,True,True,2020-08-18 18:01:08+00:00,True,193,0,0,193,8,0,7,True,,,2020-08-18 18:03:00,2020
168,active,True,True,2020-08-18 17:57:38+00:00,False,194,3,0,194,16,0,0,True,,,2020-08-18 18:03:00,2020
169,active,True,True,2020-08-18 17:48:17+00:00,False,195,0,0,195,20,0,3,True,,,2020-08-18 18:03:00,2020
170,active,True,True,2020-08-18 17:21:47+00:00,False,196,0,0,196,9,0,1,True,,,2020-08-18 18:03:00,2020
171,active,True,True,2020-08-18 17:49:51+00:00,False,197,0,0,197,8,0,7,True,,,2020-08-18 18:03:00,2020
172,active,True,True,2020-08-18 15:32:08+00:00,False,199,0,0,199,8,0,7,True,,,2020-08-18 18:03:00,2020
173,active,True,True,2020-08-18 17:18:39+00:00,False,200,0,0,200,5,0,14,True,,,2020-08-18 18:03:00,2020
174,active,True,True,2020-08-18 17:55:13+00:00,False,201,0,0,201,10,0,5,True,,,2020-08-18 18:03:00,2020
175,active,True,True,2020-08-18 17:54:31+00:00,False,202,0,0,202,11,0,4,True,,,2020-08-18 18:03:00,2020
176,active,True,True,2020-08-18 08:39:35+00:00,False,203,0,0,203,7,0,8,True,,,2020-08-18 18:03:00,2020
177,active,True,True,2020-08-18 17:59:58+00:00,False,204,0,0,204,11,0,4,True,,,2020-08-18 18:03:00,2020
178,active,True,True,2020-08-18 17:34:04+00:00,False,205,0,0,205,11,0,4,True,,,2020-08-18 18:03:00,2020
179,active,True,True,2020-08-18 17:55:01+00:00,True,206,1,0,206,5,0,17,True,,,2020-08-18 18:03:00,2020
