,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
144,False,16,active,2020-08-09 20:18:48+00:00,0,True,True,169,0,169,3,True,0,2020-08-10 01:41:50,2020
145,True,0,active,2020-08-09 17:19:21+00:00,0,True,True,170,0,170,14,True,0,2020-08-10 01:41:50,2020
146,True,5,active,2020-08-10 01:29:48+00:00,0,True,True,171,0,171,18,True,0,2020-08-10 01:41:50,2020
147,True,5,active,2020-08-10 00:40:08+00:00,0,True,True,173,0,173,9,True,0,2020-08-10 01:41:50,2020
148,False,2,active,2020-08-10 01:40:44+00:00,0,True,True,174,0,174,13,True,0,2020-08-10 01:41:50,2020
149,True,0,active,2020-08-09 23:59:39+00:00,0,True,True,175,0,175,17,True,0,2020-08-10 01:41:50,2020
150,False,12,active,2020-08-10 01:16:33+00:00,0,True,True,176,0,176,3,True,0,2020-08-10 01:41:50,2020
151,False,13,active,2020-08-10 01:30:07+00:00,0,True,True,177,2,177,4,True,0,2020-08-10 01:41:50,2020
152,False,7,active,2020-08-10 01:38:41+00:00,0,True,True,178,0,178,12,True,0,2020-08-10 01:41:50,2020
153,False,13,active,2020-08-10 01:40:58+00:00,0,True,True,179,0,179,12,True,0,2020-08-10 01:41:50,2020
154,False,9,active,2020-08-10 00:15:17+00:00,0,True,True,180,0,180,10,True,0,2020-08-10 01:41:50,2020
155,False,9,active,2020-08-09 23:44:35+00:00,0,True,True,181,0,181,10,True,0,2020-08-10 01:41:50,2020
156,True,6,active,2020-08-10 00:58:45+00:00,0,True,True,182,0,182,13,True,0,2020-08-10 01:41:50,2020
157,False,6,active,2020-08-10 00:52:13+00:00,0,True,True,183,0,183,13,True,0,2020-08-10 01:41:50,2020
158,False,1,active,2020-08-10 01:30:49+00:00,0,True,True,184,0,184,18,True,0,2020-08-10 01:41:50,2020
159,False,13,active,2020-08-10 01:12:30+00:00,0,True,True,185,0,185,2,True,0,2020-08-10 01:41:50,2020
160,True,5,active,2020-08-10 01:05:53+00:00,0,True,True,186,3,186,7,True,0,2020-08-10 01:41:50,2020
161,False,12,active,2020-08-10 00:37:35+00:00,0,True,True,187,0,187,3,True,0,2020-08-10 01:41:50,2020
162,False,10,active,2020-08-10 01:40:49+00:00,0,True,True,188,0,188,5,True,0,2020-08-10 01:41:50,2020
163,True,7,active,2020-08-10 01:34:10+00:00,0,True,True,189,0,189,16,True,0,2020-08-10 01:41:50,2020
164,True,12,active,2020-08-10 01:17:33+00:00,0,True,True,190,3,190,22,True,0,2020-08-10 01:41:50,2020
165,False,1,active,2020-08-10 00:22:23+00:00,0,True,True,191,0,191,14,True,0,2020-08-10 01:41:50,2020
166,False,2,active,2020-08-10 01:02:34+00:00,0,True,True,192,0,192,17,True,0,2020-08-10 01:41:50,2020
167,True,10,active,2020-08-10 01:34:55+00:00,0,True,True,193,0,193,5,True,0,2020-08-10 01:41:50,2020
168,False,3,active,2020-08-10 00:16:19+00:00,0,True,True,194,0,194,16,True,0,2020-08-10 01:41:50,2020
169,False,12,active,2020-08-10 01:21:13+00:00,0,True,True,195,0,195,11,True,0,2020-08-10 01:41:50,2020
170,True,4,active,2020-08-10 01:28:25+00:00,0,True,True,196,0,196,6,True,0,2020-08-10 01:41:50,2020
171,False,5,active,2020-08-10 01:37:42+00:00,0,True,True,197,0,197,10,True,0,2020-08-10 01:41:50,2020
172,False,2,active,2020-08-09 23:35:16+00:00,0,True,True,199,0,199,13,True,0,2020-08-10 01:41:50,2020
173,False,6,active,2020-08-10 00:02:37+00:00,0,True,True,200,1,200,12,True,0,2020-08-10 01:41:50,2020
174,False,4,active,2020-08-10 01:07:54+00:00,0,True,True,201,0,201,11,True,0,2020-08-10 01:41:50,2020
175,False,7,active,2020-08-10 01:30:00+00:00,0,True,True,202,0,202,8,True,0,2020-08-10 01:41:50,2020
176,False,2,active,2020-08-09 23:26:38+00:00,0,True,True,203,1,203,12,True,0,2020-08-10 01:41:50,2020
177,False,2,active,2020-08-09 21:19:36+00:00,0,True,True,204,0,204,13,True,0,2020-08-10 01:41:50,2020
178,False,6,active,2020-08-09 22:01:29+00:00,0,True,True,205,1,205,8,True,0,2020-08-10 01:41:50,2020
179,False,4,active,2020-08-10 01:08:04+00:00,0,True,True,206,0,206,19,True,0,2020-08-10 01:41:50,2020
180,True,2,active,2020-08-09 22:48:59+00:00,0,True,True,208,0,208,13,True,0,2020-08-10 01:41:50,2020
181,False,12,active,2020-08-10 00:19:03+00:00,0,True,True,209,0,209,3,True,0,2020-08-10 01:41:50,2020
182,False,2,active,2020-08-09 19:39:21+00:00,0,True,True,210,0,210,13,True,0,2020-08-10 01:41:50,2020
183,False,11,active,2020-08-09 22:08:07+00:00,0,True,True,211,1,211,7,True,0,2020-08-10 01:41:50,2020
184,False,22,active,2020-08-10 01:28:41+00:00,0,True,True,212,1,212,10,True,0,2020-08-10 01:41:50,2020
