,is_renting,is_returning,legacy_id,num_ebikes_available,station_status,num_docks_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_id,num_bikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
190,True,True,218,0,active,7,0,True,2020-08-13 22:25:56+00:00,0,218,8,False,,,2020-08-13 22:29:40,2020
191,True,True,219,0,active,8,1,True,2020-08-13 21:23:46+00:00,0,219,6,False,,,2020-08-13 22:29:40,2020
192,True,True,221,0,active,14,0,True,2020-08-13 21:49:11+00:00,0,221,5,False,,,2020-08-13 22:29:40,2020
193,True,True,222,0,active,11,0,True,2020-08-13 22:29:30+00:00,0,222,3,True,,,2020-08-13 22:29:40,2020
194,True,True,224,0,active,3,1,True,2020-08-13 21:39:27+00:00,0,224,13,False,,,2020-08-13 22:29:40,2020
195,True,True,225,0,active,15,0,True,2020-08-13 22:26:11+00:00,0,225,4,False,,,2020-08-13 22:29:40,2020
196,True,True,226,0,active,15,0,True,2020-08-13 22:10:46+00:00,0,226,0,False,,,2020-08-13 22:29:40,2020
197,True,True,227,0,active,6,3,True,2020-08-13 22:28:19+00:00,0,227,10,False,,,2020-08-13 22:29:40,2020
198,True,True,228,0,active,13,0,True,2020-08-13 21:56:48+00:00,0,228,6,False,,,2020-08-13 22:29:40,2020
199,True,True,232,0,active,4,0,True,2020-08-13 03:23:26+00:00,0,232,7,False,,,2020-08-13 22:29:40,2020
200,True,True,233,0,active,1,0,True,2020-08-13 22:28:52+00:00,0,233,14,False,,,2020-08-13 22:29:40,2020
201,True,True,234,0,active,13,0,True,2020-08-13 20:50:39+00:00,0,234,2,False,,,2020-08-13 22:29:40,2020
202,True,True,235,0,active,8,0,True,2020-08-13 21:34:16+00:00,0,235,7,False,,,2020-08-13 22:29:40,2020
203,True,True,236,0,active,0,0,True,2020-08-13 22:05:55+00:00,0,236,15,False,,,2020-08-13 22:29:40,2020
204,True,True,239,0,active,9,0,True,2020-08-13 22:04:40+00:00,0,239,6,False,,,2020-08-13 22:29:40,2020
205,True,True,255,0,active,5,0,True,2020-08-13 12:33:28+00:00,0,255,10,False,,,2020-08-13 22:29:40,2020
206,True,True,258,0,active,2,0,True,2020-08-13 21:23:48+00:00,0,258,13,False,,,2020-08-13 22:29:40,2020
207,True,True,259,0,active,1,0,True,2020-08-13 18:35:59+00:00,0,259,14,False,,,2020-08-13 22:29:40,2020
208,True,True,260,0,active,1,0,True,2020-08-13 22:09:18+00:00,0,260,14,False,,,2020-08-13 22:29:40,2020
209,True,True,271,0,active,6,0,True,2020-08-13 19:07:23+00:00,0,271,9,False,,,2020-08-13 22:29:40,2020
210,True,True,272,0,active,10,1,True,2020-08-13 19:51:34+00:00,0,272,8,False,,,2020-08-13 22:29:40,2020
211,True,True,273,0,active,21,0,True,2020-08-13 22:05:10+00:00,0,273,19,False,,,2020-08-13 22:29:40,2020
212,True,True,279,0,active,1,0,True,2020-08-13 22:27:54+00:00,0,279,18,False,,,2020-08-13 22:29:40,2020
213,True,True,280,0,active,11,1,True,2020-08-13 22:10:44+00:00,0,280,7,False,,,2020-08-13 22:29:40,2020
214,True,True,282,0,active,7,1,True,2020-08-13 22:11:19+00:00,0,282,7,False,,,2020-08-13 22:29:40,2020
215,True,True,296,0,active,12,0,True,2020-08-13 22:11:35+00:00,0,296,11,False,,,2020-08-13 22:29:40,2020
216,True,True,318,0,active,16,1,True,2020-08-13 22:26:51+00:00,0,318,2,False,,,2020-08-13 22:29:40,2020
