,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
226,True,2,335,0,True,0,active,True,17,335,2020-08-14 00:22:09+00:00,False,0,,,2020-08-14 00:52:45,2020
227,True,4,336,0,True,0,active,True,11,336,2020-08-13 23:42:32+00:00,False,0,,,2020-08-14 00:52:45,2020
228,True,12,337,0,True,0,active,True,3,337,2020-08-14 00:41:18+00:00,False,0,,,2020-08-14 00:52:45,2020
229,True,6,338,1,True,0,active,True,8,338,2020-08-14 00:00:40+00:00,False,0,,,2020-08-14 00:52:45,2020
230,True,14,339,1,True,0,active,True,0,339,2020-08-14 00:01:08+00:00,False,0,,,2020-08-14 00:52:45,2020
231,True,17,340,0,True,0,active,True,2,340,2020-08-14 00:38:49+00:00,False,0,,,2020-08-14 00:52:45,2020
232,True,14,341,1,True,0,active,True,0,341,2020-08-13 22:55:21+00:00,True,0,,,2020-08-14 00:52:45,2020
233,True,14,342,0,True,0,active,True,1,342,2020-08-14 00:44:50+00:00,False,0,,,2020-08-14 00:52:45,2020
234,True,4,343,0,True,0,active,True,11,343,2020-08-13 04:04:08+00:00,False,0,,,2020-08-14 00:52:45,2020
235,True,10,344,0,True,0,active,True,9,344,2020-08-14 00:19:53+00:00,False,0,,,2020-08-14 00:52:45,2020
236,True,8,345,1,True,0,active,True,10,345,2020-08-14 00:30:05+00:00,False,0,,,2020-08-14 00:52:45,2020
237,True,1,346,0,True,0,active,True,14,346,2020-08-14 00:13:13+00:00,False,0,,,2020-08-14 00:52:45,2020
238,True,11,347,0,True,0,active,True,4,347,2020-08-13 19:13:37+00:00,False,0,,,2020-08-14 00:52:45,2020
239,True,2,348,1,True,0,active,True,12,348,2020-08-13 22:14:09+00:00,False,0,,,2020-08-14 00:52:45,2020
240,True,6,349,1,True,0,active,True,10,349,2020-08-13 23:48:05+00:00,True,0,,,2020-08-14 00:52:45,2020
241,True,14,350,0,True,0,active,True,3,350,2020-08-13 19:02:49+00:00,False,0,,,2020-08-14 00:52:45,2020
242,True,5,351,0,True,0,active,True,10,351,2020-08-14 00:20:33+00:00,False,0,,,2020-08-14 00:52:45,2020
243,True,12,352,0,True,0,active,True,3,352,2020-08-14 00:41:45+00:00,False,0,,,2020-08-14 00:52:45,2020
244,True,8,353,0,True,0,active,True,7,353,2020-08-13 22:34:11+00:00,True,0,,,2020-08-14 00:52:45,2020
245,True,9,354,1,True,0,active,True,5,354,2020-08-14 00:05:42+00:00,False,0,,,2020-08-14 00:52:45,2020
246,True,11,355,0,True,0,active,True,6,355,2020-08-14 00:16:16+00:00,False,0,,,2020-08-14 00:52:45,2020
247,True,14,356,0,True,0,active,True,9,356,2020-08-14 00:45:14+00:00,False,0,,,2020-08-14 00:52:45,2020
248,True,5,357,0,True,0,active,True,10,357,2020-08-13 23:47:14+00:00,False,0,,,2020-08-14 00:52:45,2020
249,True,15,358,0,True,0,active,True,4,358,2020-08-13 23:53:59+00:00,False,0,,,2020-08-14 00:52:45,2020
250,True,1,359,0,True,0,active,True,14,359,2020-08-14 00:35:19+00:00,False,0,,,2020-08-14 00:52:45,2020
251,True,5,360,0,True,0,active,True,10,360,2020-08-14 00:43:29+00:00,False,0,,,2020-08-14 00:52:45,2020
252,True,17,361,0,True,0,active,True,2,361,2020-08-14 00:13:29+00:00,False,0,,,2020-08-14 00:52:45,2020
253,True,13,362,1,True,0,active,True,5,362,2020-08-14 00:38:51+00:00,False,0,,,2020-08-14 00:52:45,2020
254,True,19,363,0,True,0,active,True,0,363,2020-08-14 00:04:07+00:00,False,0,,,2020-08-14 00:52:45,2020
255,True,16,364,0,True,0,active,True,3,364,2020-08-14 00:35:21+00:00,False,0,,,2020-08-14 00:52:45,2020
256,True,1,365,0,True,0,active,True,18,365,2020-08-14 00:00:52+00:00,False,0,,,2020-08-14 00:52:45,2020
257,True,6,366,0,True,0,active,True,9,366,2020-08-13 23:41:51+00:00,False,0,,,2020-08-14 00:52:45,2020
258,True,10,367,0,True,0,active,True,9,367,2020-08-13 23:45:57+00:00,False,0,,,2020-08-14 00:52:45,2020
259,True,5,368,1,True,0,active,True,9,368,2020-08-14 00:09:16+00:00,False,0,,,2020-08-14 00:52:45,2020
260,True,7,369,0,True,0,active,True,8,369,2020-08-14 00:17:27+00:00,False,0,,,2020-08-14 00:52:45,2020
