,num_bikes_available,eightd_has_available_keys,is_installed,station_status,num_docks_disabled,legacy_id,is_returning,num_docks_available,num_bikes_disabled,num_ebikes_available,is_renting,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
175,2,False,True,active,0,202,True,13,0,0,True,2020-08-20 14:09:56+00:00,202,,,2020-08-20 15:02:25,2020
176,6,False,True,active,0,203,True,8,1,0,True,2020-08-20 08:45:01+00:00,203,,,2020-08-20 15:02:25,2020
177,6,False,True,active,0,204,True,9,0,0,True,2020-08-20 14:47:14+00:00,204,,,2020-08-20 15:02:25,2020
178,1,False,True,active,0,205,True,14,0,0,True,2020-08-20 11:38:19+00:00,205,,,2020-08-20 15:02:25,2020
179,15,True,True,active,0,206,True,8,0,0,True,2020-08-20 13:23:46+00:00,206,,,2020-08-20 15:02:25,2020
180,12,True,True,active,0,208,True,3,0,0,True,2020-08-20 14:43:44+00:00,208,,,2020-08-20 15:02:25,2020
181,13,False,True,active,0,209,True,1,1,0,True,2020-08-20 14:43:40+00:00,209,,,2020-08-20 15:02:25,2020
182,2,False,True,active,0,210,True,12,1,0,True,2020-08-20 09:06:47+00:00,210,,,2020-08-20 15:02:25,2020
183,9,False,True,active,0,211,True,10,0,0,True,2020-08-20 14:16:42+00:00,211,,,2020-08-20 15:02:25,2020
184,8,False,True,active,0,212,True,25,0,0,True,2020-08-20 15:02:08+00:00,212,,,2020-08-20 15:02:25,2020
185,2,True,True,active,0,213,True,14,0,0,True,2020-08-20 14:48:39+00:00,213,,,2020-08-20 15:02:25,2020
186,6,False,True,active,0,214,True,9,0,0,True,2020-08-20 14:54:18+00:00,214,,,2020-08-20 15:02:25,2020
187,10,False,True,active,0,215,True,3,2,0,True,2020-08-20 13:40:57+00:00,215,,,2020-08-20 15:02:25,2020
188,11,False,True,active,0,216,True,8,0,0,True,2020-08-20 11:05:27+00:00,216,,,2020-08-20 15:02:25,2020
189,3,False,True,active,0,217,True,16,0,0,True,2020-08-20 15:02:02+00:00,217,,,2020-08-20 15:02:25,2020
190,0,False,True,active,0,218,True,15,0,0,True,2020-08-20 14:54:53+00:00,218,,,2020-08-20 15:02:25,2020
191,2,False,True,active,0,219,True,13,0,0,True,2020-08-20 09:16:47+00:00,219,,,2020-08-20 15:02:25,2020
192,6,False,True,active,0,221,True,11,2,0,True,2020-08-20 14:46:19+00:00,221,,,2020-08-20 15:02:25,2020
