,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,valet,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,timestamp_of_data_read_request,year_station_last_reported
23,26,True,0,0,False,2020-08-02 16:07:20+00:00,,0,True,,26,True,6,9,active,2020-08-02 16:14:50,2020
24,27,True,0,2,False,2020-08-02 15:43:50+00:00,,0,True,,27,True,6,15,active,2020-08-02 16:14:50,2020
25,29,True,0,0,False,2020-08-02 10:58:33+00:00,,0,True,,29,True,8,7,active,2020-08-02 16:14:50,2020
26,30,True,0,2,False,2020-08-02 16:14:17+00:00,,0,True,,30,True,10,3,active,2020-08-02 16:14:50,2020
27,31,True,0,0,True,2020-08-02 16:06:04+00:00,,0,True,,31,True,14,5,active,2020-08-02 16:14:50,2020
28,32,True,0,3,False,2020-08-02 16:04:41+00:00,,0,True,,32,True,3,9,active,2020-08-02 16:14:50,2020
29,33,True,0,1,False,2020-08-02 15:45:50+00:00,,0,True,,33,True,6,20,active,2020-08-02 16:14:50,2020
30,35,True,0,0,False,2020-08-02 16:08:41+00:00,,0,True,,35,True,2,21,active,2020-08-02 16:14:50,2020
31,36,True,0,1,True,2020-08-02 15:54:37+00:00,,0,True,,36,True,7,25,active,2020-08-02 16:14:50,2020
32,37,True,0,0,True,2020-08-02 16:10:20+00:00,,0,True,,37,True,7,8,active,2020-08-02 16:14:50,2020
33,39,True,0,0,False,2020-08-02 16:09:37+00:00,,0,True,,39,True,20,3,active,2020-08-02 16:14:50,2020
34,40,True,0,3,False,2020-08-02 16:14:45+00:00,,0,True,,40,True,3,13,active,2020-08-02 16:14:50,2020
35,41,True,0,5,True,2020-08-02 16:11:56+00:00,,0,True,,41,True,6,16,active,2020-08-02 16:14:50,2020
36,42,True,0,1,False,2020-08-02 15:46:01+00:00,,0,True,,42,True,2,20,active,2020-08-02 16:14:50,2020
37,43,True,0,0,True,2020-08-02 15:57:47+00:00,,0,True,,43,True,12,3,active,2020-08-02 16:14:50,2020
38,44,True,0,0,False,2020-08-02 15:56:09+00:00,,0,True,,44,True,19,4,active,2020-08-02 16:14:50,2020
39,46,True,0,1,False,2020-08-02 16:13:05+00:00,,0,True,,46,True,9,9,active,2020-08-02 16:14:50,2020
40,47,True,0,0,True,2020-08-02 16:12:42+00:00,,0,True,,47,True,0,19,active,2020-08-02 16:14:50,2020
41,48,True,0,0,False,2020-08-02 16:08:20+00:00,,0,True,,48,True,2,17,active,2020-08-02 16:14:50,2020
42,49,True,0,0,False,2020-08-02 15:47:02+00:00,,0,True,,49,True,3,15,active,2020-08-02 16:14:50,2020
43,50,True,0,0,False,2020-08-02 16:13:51+00:00,,0,True,,50,True,9,6,active,2020-08-02 16:14:50,2020
44,51,True,0,0,False,2020-08-02 16:05:34+00:00,,0,True,,51,True,11,4,active,2020-08-02 16:14:50,2020
45,52,True,0,1,True,2020-08-02 16:09:39+00:00,,0,True,,52,True,5,17,active,2020-08-02 16:14:50,2020
46,53,True,0,2,False,2020-08-02 15:50:10+00:00,,0,True,,53,True,3,14,active,2020-08-02 16:14:50,2020
47,54,True,0,0,False,2020-08-02 15:58:36+00:00,,0,True,,54,True,10,5,active,2020-08-02 16:14:50,2020
48,55,True,0,0,False,2020-08-02 15:44:32+00:00,,0,True,,55,True,3,12,active,2020-08-02 16:14:50,2020
49,56,True,0,0,True,2020-08-02 15:33:38+00:00,,0,True,,56,True,11,7,active,2020-08-02 16:14:50,2020
50,57,True,0,0,True,2020-08-02 16:09:04+00:00,,0,True,,57,True,7,7,active,2020-08-02 16:14:50,2020
51,58,True,0,0,True,2020-08-02 16:13:00+00:00,,0,True,,58,True,7,12,active,2020-08-02 16:14:50,2020
52,59,True,0,0,True,2020-08-02 15:08:54+00:00,,0,True,,59,True,5,14,active,2020-08-02 16:14:50,2020
53,60,True,0,2,False,2020-08-02 16:11:42+00:00,,0,True,,60,True,5,12,active,2020-08-02 16:14:50,2020
54,61,True,0,0,False,2020-08-02 16:12:13+00:00,,0,True,,61,True,10,9,active,2020-08-02 16:14:50,2020
55,63,True,0,0,False,2020-08-02 15:46:18+00:00,,0,True,,63,True,0,15,active,2020-08-02 16:14:50,2020
56,64,True,0,0,False,2020-08-02 15:36:41+00:00,,0,True,,64,True,0,19,active,2020-08-02 16:14:50,2020
57,65,True,0,0,False,2020-08-02 16:14:22+00:00,,0,True,,65,True,21,2,active,2020-08-02 16:14:50,2020
58,66,True,0,1,False,2020-08-02 16:05:51+00:00,,0,True,,66,True,11,3,active,2020-08-02 16:14:50,2020
59,67,True,0,1,True,2020-08-02 16:10:04+00:00,,0,True,,67,True,6,20,active,2020-08-02 16:14:50,2020
60,68,True,0,0,True,2020-08-02 16:07:15+00:00,,0,True,,68,True,14,5,active,2020-08-02 16:14:50,2020
61,69,True,0,1,True,2020-08-02 16:11:28+00:00,,0,True,,69,True,5,13,active,2020-08-02 16:14:50,2020
