,num_docks_available,station_id,is_installed,last_reported,num_bikes_disabled,station_status,num_ebikes_available,legacy_id,is_returning,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,timestamp_of_data_read_request,year_station_last_reported
289,14,401,True,2020-08-12 17:45:16+00:00,0,active,0,401,True,0,False,1,True,2020-08-12 19:35:50,2020
290,6,402,True,2020-08-12 18:47:27+00:00,0,active,0,402,True,0,False,9,True,2020-08-12 19:35:50,2020
291,11,403,True,2020-08-12 19:27:33+00:00,1,active,0,403,True,0,False,3,True,2020-08-12 19:35:50,2020
292,13,404,True,2020-08-12 19:29:51+00:00,0,active,0,404,True,0,False,3,True,2020-08-12 19:35:50,2020
293,11,405,True,2020-08-12 19:09:59+00:00,0,active,0,405,True,0,False,8,True,2020-08-12 19:35:50,2020
294,3,406,True,2020-08-12 14:38:06+00:00,0,active,0,406,True,0,False,16,True,2020-08-12 19:35:50,2020
295,14,407,True,2020-08-12 17:55:16+00:00,1,active,0,407,True,0,False,4,True,2020-08-12 19:35:50,2020
296,13,408,True,2020-08-12 19:06:37+00:00,0,active,0,408,True,0,False,2,True,2020-08-12 19:35:50,2020
297,6,409,True,2020-08-12 19:02:07+00:00,0,active,0,409,True,0,False,13,True,2020-08-12 19:35:50,2020
298,9,410,True,2020-08-12 12:17:00+00:00,0,active,0,410,True,0,False,10,True,2020-08-12 19:35:50,2020
299,10,411,True,2020-08-12 18:06:43+00:00,0,active,0,411,True,0,False,5,True,2020-08-12 19:35:50,2020
300,10,412,True,2020-08-12 19:26:06+00:00,1,active,0,412,True,0,False,8,True,2020-08-12 19:35:50,2020
301,13,413,True,2020-08-12 19:31:31+00:00,0,active,0,413,True,0,False,6,True,2020-08-12 19:35:50,2020
302,22,414,True,2020-08-12 17:49:00+00:00,0,active,0,414,True,0,False,1,True,2020-08-12 19:35:50,2020
303,7,415,True,2020-08-12 17:50:33+00:00,2,active,0,415,True,0,False,10,True,2020-08-12 19:35:50,2020
304,5,416,True,2020-08-12 19:23:34+00:00,0,active,0,416,True,0,False,10,True,2020-08-12 19:35:50,2020
305,11,417,True,2020-08-12 19:27:33+00:00,0,active,0,417,True,0,False,8,True,2020-08-12 19:35:50,2020
306,1,419,True,2020-08-12 19:33:50+00:00,0,active,0,419,True,0,False,14,True,2020-08-12 19:35:50,2020
307,0,420,False,1970-01-02 00:00:00+00:00,0,out_of_service,0,420,False,0,False,0,False,2020-08-12 19:35:50,1970
308,5,421,True,2020-08-12 15:32:38+00:00,0,active,0,421,True,0,False,14,True,2020-08-12 19:35:50,2020
309,13,422,True,2020-08-12 13:17:00+00:00,0,active,0,422,True,0,False,2,True,2020-08-12 19:35:50,2020
310,16,423,True,2020-08-12 16:21:54+00:00,0,active,0,423,True,0,False,3,True,2020-08-12 19:35:50,2020
311,15,424,True,2020-08-12 19:35:43+00:00,0,active,0,424,True,0,False,4,True,2020-08-12 19:35:50,2020
312,14,425,True,2020-08-12 18:43:20+00:00,0,active,0,425,True,0,False,2,True,2020-08-12 19:35:50,2020
313,19,426,True,2020-08-12 19:31:49+00:00,0,active,0,426,True,0,False,8,True,2020-08-12 19:35:50,2020
314,13,427,True,2020-08-12 17:36:02+00:00,0,active,0,427,True,0,False,6,True,2020-08-12 19:35:50,2020
315,3,428,True,2020-08-12 18:19:05+00:00,0,active,0,428,True,0,False,16,True,2020-08-12 19:35:50,2020
316,4,430,True,2020-08-12 17:49:33+00:00,0,active,0,430,True,0,False,15,True,2020-08-12 19:35:50,2020
317,13,431,True,2020-08-12 18:30:58+00:00,0,active,0,431,True,0,False,2,True,2020-08-12 19:35:50,2020
318,11,432,True,2020-08-11 21:53:01+00:00,0,active,0,432,True,0,False,8,True,2020-08-12 19:35:50,2020
319,18,433,True,2020-08-12 08:57:31+00:00,0,active,0,433,True,0,False,1,True,2020-08-12 19:35:50,2020
320,19,434,True,2020-08-12 08:57:54+00:00,0,active,0,434,True,0,False,0,True,2020-08-12 19:35:50,2020
321,9,435,True,2020-08-12 10:48:20+00:00,0,active,0,435,True,0,False,6,True,2020-08-12 19:35:50,2020
322,11,436,True,2020-08-12 14:50:15+00:00,0,active,0,436,True,0,False,4,True,2020-08-12 19:35:50,2020
323,18,437,True,2020-08-12 19:27:58+00:00,0,active,0,437,True,0,False,1,True,2020-08-12 19:35:50,2020
324,5,440,True,2020-08-12 19:13:48+00:00,0,active,0,440,True,0,False,12,True,2020-08-12 19:35:50,2020
325,4,441,True,2020-08-12 19:31:15+00:00,1,active,0,441,True,0,False,14,True,2020-08-12 19:35:50,2020
326,4,442,True,2020-08-12 15:16:32+00:00,1,active,0,442,True,0,False,10,True,2020-08-12 19:35:50,2020
327,15,443,True,2020-08-12 18:41:18+00:00,0,active,0,443,True,0,False,4,True,2020-08-12 19:35:50,2020
328,10,445,True,2020-08-12 16:44:50+00:00,0,active,0,445,True,0,False,9,True,2020-08-12 19:35:50,2020
329,1,446,True,2020-08-12 19:25:05+00:00,0,active,0,446,True,0,False,11,True,2020-08-12 19:35:50,2020
330,14,447,True,2020-08-12 13:58:04+00:00,0,active,0,447,True,0,False,5,True,2020-08-12 19:35:50,2020
331,8,448,True,2020-08-12 08:59:09+00:00,0,active,0,448,True,0,False,3,True,2020-08-12 19:35:50,2020
332,0,449,False,1970-01-02 00:00:00+00:00,0,out_of_service,0,449,True,0,False,0,True,2020-08-12 19:35:50,1970
333,6,450,True,2020-08-12 18:57:57+00:00,0,active,0,450,True,0,False,9,True,2020-08-12 19:35:50,2020
334,10,451,True,2020-08-12 19:31:57+00:00,0,active,0,451,True,0,False,5,True,2020-08-12 19:35:50,2020
335,9,452,True,2020-08-12 19:19:54+00:00,0,active,0,452,True,0,False,6,True,2020-08-12 19:35:50,2020
336,10,453,True,2020-08-12 19:26:32+00:00,1,active,0,453,True,0,False,4,True,2020-08-12 19:35:50,2020
337,10,454,True,2020-08-12 19:19:50+00:00,0,active,0,454,True,0,False,5,True,2020-08-12 19:35:50,2020
338,10,455,True,2020-08-12 15:54:30+00:00,1,active,0,455,True,0,False,1,True,2020-08-12 19:35:50,2020
339,10,456,True,2020-08-12 18:22:14+00:00,1,active,0,456,True,0,False,8,True,2020-08-12 19:35:50,2020
340,9,457,True,2020-08-12 19:18:10+00:00,0,active,0,457,True,0,False,2,True,2020-08-12 19:35:50,2020
341,5,458,True,2020-08-12 18:43:37+00:00,1,active,0,458,True,0,False,5,True,2020-08-12 19:35:50,2020
