,is_returning,station_status,station_id,num_docks_disabled,num_ebikes_available,num_docks_available,is_installed,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,legacy_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
150,True,active,176,0,0,5,True,2020-08-21 19:50:08+00:00,False,1,9,176,True,,,2020-08-21 19:56:40,2020
151,True,active,177,0,0,9,True,2020-08-21 19:51:06+00:00,False,2,8,177,True,,,2020-08-21 19:56:40,2020
152,True,active,178,0,0,19,True,2020-08-21 19:37:06+00:00,False,0,0,178,True,,,2020-08-21 19:56:40,2020
153,True,active,179,0,0,1,True,2020-08-21 19:54:39+00:00,False,0,24,179,True,,,2020-08-21 19:56:40,2020
154,True,active,180,0,0,4,True,2020-08-21 19:51:46+00:00,False,0,15,180,True,,,2020-08-21 19:56:40,2020
155,True,active,181,0,0,18,True,2020-08-21 19:50:25+00:00,False,0,1,181,True,,,2020-08-21 19:56:40,2020
156,True,active,182,0,0,10,True,2020-08-21 19:04:25+00:00,True,0,9,182,True,,,2020-08-21 19:56:40,2020
157,True,active,183,0,0,14,True,2020-08-21 18:57:23+00:00,False,0,5,183,True,,,2020-08-21 19:56:40,2020
158,True,active,184,0,0,16,True,2020-08-21 19:51:18+00:00,False,0,3,184,True,,,2020-08-21 19:56:40,2020
159,True,active,185,0,0,13,True,2020-08-21 19:48:13+00:00,False,0,2,185,True,,,2020-08-21 19:56:40,2020
160,True,active,186,0,0,15,True,2020-08-21 19:36:08+00:00,True,0,0,186,True,,,2020-08-21 19:56:40,2020
161,True,active,187,0,0,14,True,2020-08-21 19:39:54+00:00,False,1,0,187,True,,,2020-08-21 19:56:40,2020
162,True,active,188,0,0,6,True,2020-08-21 18:58:51+00:00,False,0,9,188,True,,,2020-08-21 19:56:40,2020
163,True,active,189,0,0,5,True,2020-08-21 19:39:42+00:00,True,1,17,189,True,,,2020-08-21 19:56:40,2020
164,True,active,190,0,0,23,True,2020-08-21 19:52:38+00:00,True,1,13,190,True,,,2020-08-21 19:56:40,2020
165,True,active,191,0,0,15,True,2020-08-21 19:47:55+00:00,False,0,0,191,True,,,2020-08-21 19:56:40,2020
166,True,active,192,0,0,11,True,2020-08-21 18:51:23+00:00,False,0,8,192,True,,,2020-08-21 19:56:40,2020
167,True,active,193,0,0,15,True,2020-08-21 19:36:58+00:00,True,0,0,193,True,,,2020-08-21 19:56:40,2020
168,True,active,194,0,0,17,True,2020-08-21 18:41:49+00:00,False,0,2,194,True,,,2020-08-21 19:56:40,2020
169,True,active,195,0,0,22,True,2020-08-21 19:41:21+00:00,False,0,1,195,True,,,2020-08-21 19:56:40,2020
170,True,active,196,0,0,8,True,2020-08-21 13:55:16+00:00,False,0,2,196,True,,,2020-08-21 19:56:40,2020
171,True,active,197,0,0,7,True,2020-08-21 18:10:37+00:00,False,0,8,197,True,,,2020-08-21 19:56:40,2020
